case_id,method,family,type,seed,execution,run_id
C00,LC01,身份门,C00,NA,IDENTITY_NATIVE,BY2__LC01__LIT__C00__NA
C00,EXT05C,身份门,C00,NA,IDENTITY_NATIVE,BY2__EXT05C__LIT__C00__NA
C00,LC01-BR,身份门,C00,NA,IDENTITY_NATIVE,BY2__LC01-BR__LIT__C00__NA
D14_seed_00,LC01,位置噪声,D14,seed_00,NATIVE,BY2__LC01__LIT__D14_seed_00__seed_00
D14_seed_00,EXT05C,位置噪声,D14,seed_00,NATIVE,BY2__EXT05C__LIT__D14_seed_00__seed_00
D14_seed_01,LC01,位置噪声,D14,seed_01,NATIVE,BY2__LC01__LIT__D14_seed_01__seed_01
D14_seed_01,EXT05C,位置噪声,D14,seed_01,NATIVE,BY2__EXT05C__LIT__D14_seed_01__seed_01
D14_seed_02,LC01,位置噪声,D14,seed_02,NATIVE,BY2__LC01__LIT__D14_seed_02__seed_02
D14_seed_02,EXT05C,位置噪声,D14,seed_02,NATIVE,BY2__EXT05C__LIT__D14_seed_02__seed_02
D14_seed_03,LC01,位置噪声,D14,seed_03,NATIVE,BY2__LC01__LIT__D14_seed_03__seed_03
D14_seed_03,EXT05C,位置噪声,D14,seed_03,NATIVE,BY2__EXT05C__LIT__D14_seed_03__seed_03
D14_seed_04,LC01,位置噪声,D14,seed_04,NATIVE,BY2__LC01__LIT__D14_seed_04__seed_04
D14_seed_04,EXT05C,位置噪声,D14,seed_04,NATIVE,BY2__EXT05C__LIT__D14_seed_04__seed_04
D14_seed_05,LC01,位置噪声,D14,seed_05,NATIVE,BY2__LC01__LIT__D14_seed_05__seed_05
D14_seed_05,EXT05C,位置噪声,D14,seed_05,NATIVE,BY2__EXT05C__LIT__D14_seed_05__seed_05
D14_seed_06,LC01,位置噪声,D14,seed_06,NATIVE,BY2__LC01__LIT__D14_seed_06__seed_06
D14_seed_06,EXT05C,位置噪声,D14,seed_06,NATIVE,BY2__EXT05C__LIT__D14_seed_06__seed_06
D14_seed_07,LC01,位置噪声,D14,seed_07,NATIVE,BY2__LC01__LIT__D14_seed_07__seed_07
D14_seed_07,EXT05C,位置噪声,D14,seed_07,NATIVE,BY2__EXT05C__LIT__D14_seed_07__seed_07
D14_seed_08,LC01,位置噪声,D14,seed_08,NATIVE,BY2__LC01__LIT__D14_seed_08__seed_08
D14_seed_08,EXT05C,位置噪声,D14,seed_08,NATIVE,BY2__EXT05C__LIT__D14_seed_08__seed_08
D21_seed_00,LC01,位置噪声,D21,seed_00,NATIVE,BY2__LC01__LIT__D21_seed_00__seed_00
D21_seed_00,EXT05C,位置噪声,D21,seed_00,NATIVE,BY2__EXT05C__LIT__D21_seed_00__seed_00
D21_seed_01,LC01,位置噪声,D21,seed_01,NATIVE,BY2__LC01__LIT__D21_seed_01__seed_01
D21_seed_01,EXT05C,位置噪声,D21,seed_01,NATIVE,BY2__EXT05C__LIT__D21_seed_01__seed_01
D21_seed_02,LC01,位置噪声,D21,seed_02,NATIVE,BY2__LC01__LIT__D21_seed_02__seed_02
D21_seed_02,EXT05C,位置噪声,D21,seed_02,NATIVE,BY2__EXT05C__LIT__D21_seed_02__seed_02
D21_seed_03,LC01,位置噪声,D21,seed_03,NATIVE,BY2__LC01__LIT__D21_seed_03__seed_03
D21_seed_03,EXT05C,位置噪声,D21,seed_03,NATIVE,BY2__EXT05C__LIT__D21_seed_03__seed_03
D21_seed_04,LC01,位置噪声,D21,seed_04,NATIVE,BY2__LC01__LIT__D21_seed_04__seed_04
D21_seed_04,EXT05C,位置噪声,D21,seed_04,NATIVE,BY2__EXT05C__LIT__D21_seed_04__seed_04
