parameter,value,unit,source_type,source_path_or_equation,paper_or_code_identity,used_in_official_example,proposed_for_BY2,trace_tuned
gravity_symbol,g,world_acceleration,PAPER_DIRECT,IJRR_Eqs_8_14_24_28_50,HARTLEY_IJRR2020_ARXIV1904.09251V2,true,true,false
gravity_numeric_vector,[0;0;-9.81],m/s^2,OFFICIAL_CODE,RossHartley/invariant-ekf@ef16e8a1/src/InEKF.cpp:43-52,HARTLEY_CPP_EF16E8A1,true,true,false
linear_acceleration_noise_std,0.04,m/s^2,PAPER_DIRECT,IJRR_Table_1,HARTLEY_IJRR2020_ARXIV1904.09251V2,false,false,false
angular_velocity_noise_std,0.002,rad/s,PAPER_DIRECT,IJRR_Table_1,HARTLEY_IJRR2020_ARXIV1904.09251V2,false,false,false
accelerometer_bias_random_walk_std,0.001,m/s^3,PAPER_DIRECT,IJRR_Table_1,HARTLEY_IJRR2020_ARXIV1904.09251V2,false,false,false
gyroscope_bias_random_walk_std,0.001,rad/s^2,PAPER_DIRECT,IJRR_Table_1,HARTLEY_IJRR2020_ARXIV1904.09251V2,false,false,false
contact_linear_velocity_noise_std,0.05,m/s,PAPER_DIRECT,IJRR_Table_1,HARTLEY_IJRR2020_ARXIV1904.09251V2,false,false,false
joint_encoder_noise_std,1.0,deg,PAPER_DIRECT,IJRR_Table_1,HARTLEY_IJRR2020_ARXIV1904.09251V2,false,false,false
initial_orientation_std,30.0,deg,PAPER_DIRECT,IJRR_Table_1,HARTLEY_IJRR2020_ARXIV1904.09251V2,false,false,false
initial_velocity_std,1.0,m/s,PAPER_DIRECT,IJRR_Table_1,HARTLEY_IJRR2020_ARXIV1904.09251V2,false,false,false
initial_imu_position_std,0.1,m,PAPER_DIRECT,IJRR_Table_1,HARTLEY_IJRR2020_ARXIV1904.09251V2,false,false,false
initial_right_foot_position_std,0.1,m,PAPER_DIRECT,IJRR_Table_1,HARTLEY_IJRR2020_ARXIV1904.09251V2,false,false,false
initial_left_foot_position_std,0.1,m,PAPER_DIRECT,IJRR_Table_1,HARTLEY_IJRR2020_ARXIV1904.09251V2,false,false,false
initial_gyroscope_bias_std,0.005,rad/s,PAPER_DIRECT,IJRR_Table_1,HARTLEY_IJRR2020_ARXIV1904.09251V2,false,false,false
initial_accelerometer_bias_std,0.05,m/s^2,PAPER_DIRECT,IJRR_Table_1,HARTLEY_IJRR2020_ARXIV1904.09251V2,false,false,false
deterministic_contact_velocity,0,m/s,PAPER_DIRECT,IJRR_Section_5_2,HARTLEY_IJRR2020_ARXIV1904.09251V2,true,true,false
imu_zero_order_hold,true,boolean,PAPER_DIRECT,IJRR_Appendix_A,HARTLEY_IJRR2020_ARXIV1904.09251V2,true,true,false
state_discretization,Gamma_0_Gamma_1_Gamma_2,formula,PAPER_DIRECT,IJRR_Eq_50_FULL_IJRR_MATHEMATICAL_TARGET,HARTLEY_IJRR2020_ARXIV1904.09251V2,false,true,false
state_transition_discretization,analytical_Phi_r,formula,PAPER_DIRECT,IJRR_Eqs_58_or_60_FULL_IJRR_MATHEMATICAL_TARGET,HARTLEY_IJRR2020_ARXIV1904.09251V2,false,true,false
process_noise_discretization_full_target,separately_verified_numerical_integral_Phi_Q_PhiT,formula,PAPER_DIRECT,IJRR_Eq_52_FULL_IJRR_MATHEMATICAL_TARGET,HARTLEY_IJRR2020_ARXIV1904.09251V2,false,true,false
process_noise_discretization_paper_reported_approx,Phi_Qbar_k_PhiT_dt,formula,PAPER_DIRECT,IJRR_Eq_61_PAPER_REPORTED_EQ61_REGRESSION,HARTLEY_IJRR2020_ARXIV1904.09251V2,false,false,false
official_example_noise_defaults,"gyro=0.01;accel=0.1;gyro_bias=1e-5;accel_bias=1e-4;landmark=0.1;contact=0.1",mixed_code_native_std_inputs,OFFICIAL_CODE,"RossHartley/invariant-ekf@ef16e8a1/src/NoiseParams.cpp:22-29;src/examples/kinematics.cpp:57-66;src/examples/landmarks.cpp:56-65",HARTLEY_CPP_EF16E8A1,true,false,false
official_default_gyroscope_noise_std,0.01,code_native_std,OFFICIAL_CODE,RossHartley/invariant-ekf@ef16e8a1/src/NoiseParams.cpp:22-23,HARTLEY_CPP_EF16E8A1,true,false,false
official_default_accelerometer_noise_std,0.1,code_native_std,OFFICIAL_CODE,RossHartley/invariant-ekf@ef16e8a1/src/NoiseParams.cpp:22-24,HARTLEY_CPP_EF16E8A1,true,false,false
official_default_gyroscope_bias_noise_std,1e-5,code_native_std,OFFICIAL_CODE,RossHartley/invariant-ekf@ef16e8a1/src/NoiseParams.cpp:22-25,HARTLEY_CPP_EF16E8A1,true,false,false
official_default_accelerometer_bias_noise_std,1e-4,code_native_std,OFFICIAL_CODE,RossHartley/invariant-ekf@ef16e8a1/src/NoiseParams.cpp:22-26,HARTLEY_CPP_EF16E8A1,true,false,false
official_default_landmark_noise_std,0.1,code_native_std,OFFICIAL_CODE,RossHartley/invariant-ekf@ef16e8a1/src/NoiseParams.cpp:22-27,HARTLEY_CPP_EF16E8A1,true,false,false
official_default_contact_noise_std,0.1,code_native_std,OFFICIAL_CODE,RossHartley/invariant-ekf@ef16e8a1/src/NoiseParams.cpp:22-28,HARTLEY_CPP_EF16E8A1,false,false,false
