source_id,role,title,authors,year,doi,official_or_attributable_url,access_status,pages,bytes,sha256,license_or_rights,equation_relevance,provenance
CHANG2021_VOR,PRIMARY_METHOD,"A new fuzzy strong tracking cubature Kalman filter for INS/GNSS","Yuanzhi Chang; Yongqing Wang; Yuyao Shen; Chunguo Ji",2021,10.1007/s10291-021-01148-5,https://link.springer.com/article/10.1007/s10291-021-01148-5,USER_SUPPLIED_SUBSCRIPTION_VOR_BYTE_VERIFIED,15,9843279,8c9b65fe3842f9580b69ffd02f728412861c932c166d1cb4fc9950fa0aaf1da7,"authors under exclusive licence to Springer-Verlag GmbH Germany part of Springer Nature 2021",Eqs1-30 Figs1-14 Tables1-7,PAPER_DIRECT
SPRINGER_ARTICLE_RECORD,OFFICIAL_METADATA,"A new fuzzy strong tracking cubature Kalman filter for INS/GNSS","Chang et al.",2021,10.1007/s10291-021-01148-5,https://link.springer.com/article/10.1007/s10291-021-01148-5,OFFICIAL_RECORD_ACCESSED,,,,Springer subscription record,publication identity and supplement/code boundary,PAPER_DIRECT
ZHAO2016_ARTICLE,CITED_CKF_SOURCE,"Performance evaluation of cubature Kalman filter in a GPS/IMU tightly-coupled navigation system","Yuanxin Zhao",2016,10.1016/j.sigpro.2015.07.014,https://www.sciencedirect.com/science/article/pii/S0165168415002823,OFFICIAL_PREVIEW_ACCESSED,,,,publisher terms,CKF identity lineage,CITED_SOURCE_COMPLETION
ZHAO2015_DISSERTATION,CITED_CKF_PRIMARY,"Optimized filter design for integrated navigation with low-cost sensors","Yuanxin Zhao",2015,10.26083/tuprints-00004929,https://tuprints.ulb.tu-darmstadt.de/entities/publication/af2c522b-193a-48b5-a9f8-82ecc160ef22,OPEN_INSTITUTIONAL_FULL_TEXT_ACCESSED,141,5847502,132234b83bef92940a03e928be8600479859eec4cbbc9f8ef18e7dd5c2cbe8d7,institutional dissertation terms,"full 2n cubature construction and CKF-to-EKF-to-KF linear equivalence",CITED_SOURCE_COMPLETION
YANG2018_ARTICLE,CITED_BASE_MODEL_SOURCE,"Correlational inference-based adaptive unscented Kalman filter with application in GNSS/IMU-integrated navigation","Chun Yang; Wenzhong Shi; Wu Chen",2018,10.1007/s10291-018-0766-2,https://research.polyu.edu.hk/en/publications/correlational-inference-based-adaptive-unscented-kalman-filter-wi,OFFICIAL_INSTITUTION_RECORD_ACCESSED,,,,institutional metadata,Chang Eq1 cited model lineage,CITED_SOURCE_COMPLETION
YANG2018_THESIS,CITED_BASE_MODEL_FULL_TEXT,"Correlational inference for positioning and navigation","Chun Yang",2018,,https://theses.lib.polyu.edu.hk/bitstream/200/9127/1/991021965758003411.pdf,OPEN_INSTITUTIONAL_FULL_TEXT_ACCESSED,187,4765873,009b6f20548a3c95a0cb1120b8eda7c8f832231861cefd7717d2fd04e91cf840,research/private-study copyright restricted,"ENU/body definitions and nominal mechanization; materially different 7-state/attitude convention",CITED_SOURCE_COMPLETION
CUI2017,CITED_CKF_SOURCE,"Improved cubature Kalman filter for GNSS/INS based on transformation of posterior sigma-points error","Bing Cui; Xiyuan Chen; Xiaojing Tang",2017,10.1109/TSP.2017.2679685,https://doi.org/10.1109/TSP.2017.2679685,OFFICIAL_METADATA_PAYWALLED,,,,IEEE rights,Chang Eqs5-9 citation; nonlinear CKF context,CITED_SOURCE_COMPLETION
ARASARATNAM2009,NONCITED_CKF_PRIMARY,"Cubature Kalman Filters","Ienkaran Arasaratnam; Simon Haykin",2009,10.1109/TAC.2009.2019800,https://www.researchgate.net/publication/224471882_Cubature_Kalman_Filters,ATTRIBUTABLE_AUTHOR_UPLOAD_INSPECTED,,,,license unstated,standard spherical-radial 2n-point nonlinear CKF,CITED_SOURCE_COMPLETION
ZHOU_FRANK1996,CITED_STF_SOURCE,"Strong tracking filtering of nonlinear time-varying stochastic systems with coloured noise","D. H. Zhou; P. M. Frank",1996,10.1080/00207179608921698,https://www.tandfonline.com/doi/abs/10.1080/00207179608921698,OFFICIAL_ABSTRACT_PAYWALLED,,,,publisher terms,strong-tracking lineage; no rectangular-H inverse closure,CITED_SOURCE_COMPLETION
GENG_WANG2008,CITED_MULTIPLE_FADING_SOURCE,"Adaptive estimation of multiple fading factors in Kalman filter for navigation applications","Yanfei Geng; Jinling Wang",2008,10.1007/s10291-007-0084-6,https://link.springer.com/article/10.1007/s10291-007-0084-6,OFFICIAL_RECORD_SUBSCRIPTION_REQUEST_ONLY,,,,Springer terms,multiple fading factors; no Chang Eq12 repair,CITED_SOURCE_COMPLETION
HUANG2016,CITED_MULTIPLE_FADING_SOURCE,"A robust strong tracking cubature Kalman filter for spacecraft attitude estimation with quaternion constraint","Weiguo Huang; Hongwei Xie; Can Shen; Jie Li",2016,10.1016/j.actaastro.2016.01.009,https://www.sciencedirect.com/science/article/pii/S0094576516000102,OFFICIAL_RECORD_ACCESSED,,,,publisher terms,nonlinear quaternion CKF and two fading matrices,CITED_SOURCE_COMPLETION
