record_scope,class_or_topic,commit_identity,path_identity,status,active_evidence_allowed,performance_values_recorded_in_this_triage,source_semantics,runtime_activation,classification_access_status,classification_basis
HISTORICAL_ATTEMPT,OLD_OFFICIAL_SOURCE_LOCK,1d5bfcda3fa2e0733f86b1c74d3f3057d71bdf5c,suanfahengxiangduibi/PAPER9C_R1_LC_FIFTH_UNIQUE_PAPER_GINAV_BY2_120_OR_REPLACEMENT_CLOSURE/03_ginav_source_and_matlab_environment/PAPER9C_R1_GINAV_SOURCE_HASH_LOCK.md,SUPERSEDED_PROVENANCE_ONLY,false,false,SUPERSEDED_BY_CURRENT_PIN,HISTORICAL_NOT_ACTIVE,INCIDENTAL_HISTORICAL_CONTENT_OPENED_COUNT_NOT_EXACTLY_RECONSTRUCTED,NO_PERFORMANCE_VALUE_TRANSCRIBED_IMPORTED_OR_USED
HISTORICAL_ATTEMPT,OLD_ADAPTER,82be3f08cf865df7882cf370246dfd4f5a076445,suanfahengxiangduibi/PAPER9C_R2_GINAV_ADAPTER_CONTRACT_DEBUG_AND_NATIVE_ROUTE_DECISION/05_route_A_official_imu_adapter/PAPER9C_R2_GINAV_IMU_ADAPTER_AUDIT.csv|suanfahengxiangduibi/PAPER9C_R2_GINAV_ADAPTER_CONTRACT_DEBUG_AND_NATIVE_ROUTE_DECISION/07_route_B_external_solution_adapter_audit/PAPER9C_R2_GNSS1_STATUS_TO_GINAV_EXTERNAL_SOLUTION_MAPPING.csv,HISTORICAL_ONLY_NOT_ACTIVE_ADAPTER,false,false,SUPERSEDED_OR_FORBIDDEN,HISTORICAL_NOT_ACTIVE,INCIDENTAL_HISTORICAL_CONTENT_OPENED_COUNT_NOT_EXACTLY_RECONSTRUCTED,CURRENT_ROUTE_FORBIDS_INVENTED_EXTERNAL_PVT_AND_REQUIRES_SOURCE_EXPLICIT_ADAPTERS
HISTORICAL_ATTEMPT,OLD_SAMPLE_RESULT,1d5bfcda3fa2e0733f86b1c74d3f3057d71bdf5c,suanfahengxiangduibi/PAPER9C_R1_LC_FIFTH_UNIQUE_PAPER_GINAV_BY2_120_OR_REPLACEMENT_CLOSURE/06_ginav_by2_normal_repair_and_validation/PAPER9C_R1_GINAV_SAMPLE_SMOKE_REPORT.md,HISTORICAL_RESULT_ACTIVE_EVIDENCE_DENIED,false,false,HISTORICAL_ONLY,HISTORICAL_NOT_ACTIVE,INCIDENTAL_HISTORICAL_CONTENT_OPENED_COUNT_NOT_EXACTLY_RECONSTRUCTED,OFFICIAL_SAMPLE_REGRESSION_AVAILABLE_BUT_CURRENTLY_NOT_EXECUTED
HISTORICAL_ATTEMPT,OLD_BY2_NORMAL_RESULT,1d5bfcda3fa2e0733f86b1c74d3f3057d71bdf5c,suanfahengxiangduibi/PAPER9C_R1_LC_FIFTH_UNIQUE_PAPER_GINAV_BY2_120_OR_REPLACEMENT_CLOSURE/06_ginav_by2_normal_repair_and_validation/PAPER9C_R1_GINAV_BY2_NORMAL_DECISION.yaml|suanfahengxiangduibi/PAPER9C_R1_LC_FIFTH_UNIQUE_PAPER_GINAV_BY2_120_OR_REPLACEMENT_CLOSURE/06_ginav_by2_normal_repair_and_validation/PAPER9C_R1_GINAV_BY2_NORMAL_METRICS.csv,HISTORICAL_RESULT_ACTIVE_EVIDENCE_DENIED,false,false,HISTORICAL_ONLY,HISTORICAL_NOT_ACTIVE,INCIDENTAL_HISTORICAL_CONTENT_OPENED_COUNT_NOT_EXACTLY_RECONSTRUCTED,NO_OLD_BY2_RESULT_IS_ACTIVE_EVIDENCE
HISTORICAL_ATTEMPT,OLD_120_CASE_STATUS,1d5bfcda3fa2e0733f86b1c74d3f3057d71bdf5c,suanfahengxiangduibi/PAPER9C_R1_LC_FIFTH_UNIQUE_PAPER_GINAV_BY2_120_OR_REPLACEMENT_CLOSURE/08_ginav_by2_120_execution/PAPER9C_R1_GINAV_BY2_120_BLOCKED_WITH_PROOF.md|suanfahengxiangduibi/PAPER9C_R1_LC_FIFTH_UNIQUE_PAPER_GINAV_BY2_120_OR_REPLACEMENT_CLOSURE/08_ginav_by2_120_execution/PAPER9C_R1_GINAV_BY2_120_RUNTIME_INDEX.csv,HISTORICAL_BLOCKED_STATUS_ACTIVE_EVIDENCE_DENIED,false,false,HISTORICAL_ONLY,HISTORICAL_NOT_ACTIVE,INCIDENTAL_HISTORICAL_CONTENT_OPENED_COUNT_NOT_EXACTLY_RECONSTRUCTED,NO_OLD_120_CASE_STATUS_OR_VALUE_IS_ACTIVE_EVIDENCE
HISTORICAL_ATTEMPT,OLD_BLOCKER,82be3f08cf865df7882cf370246dfd4f5a076445,suanfahengxiangduibi/PAPER9C_R2_GINAV_ADAPTER_CONTRACT_DEBUG_AND_NATIVE_ROUTE_DECISION/09_root_cause_315m/PAPER9C_R2_315M_ROOT_CAUSE_REPORT.md|suanfahengxiangduibi/PAPER9C_R2_GINAV_ADAPTER_CONTRACT_DEBUG_AND_NATIVE_ROUTE_DECISION/10_by2_120_permission_decision/PAPER9C_R2_GINAV_BY2_120_PERMISSION_DECISION.md|suanfahengxiangduibi/PAPER9C_R2_GINAV_ADAPTER_CONTRACT_DEBUG_AND_NATIVE_ROUTE_DECISION/11_optional_by2_120_if_normal_pass/PAPER9C_R2_GINAV_BY2_120_BLOCKED_WITH_PROOF.md,HISTORICAL_STATIC_BLOCKER_CLASSIFICATION_ONLY,false,false,SUPERSEDED_FOR_CURRENT_ADMISSION_LEVEL_STATIC_SEMANTICS,HISTORICAL_NOT_ACTIVE,INCIDENTAL_HISTORICAL_CONTENT_OPENED_COUNT_NOT_EXACTLY_RECONSTRUCTED,CURRENT_STATIC_CLOSURE_DOES_NOT_CONVERT_OLD_RUNTIME_TO_ACTIVE_EVIDENCE
CURRENT_STATIC_CLOSURE,GO2_BODY_FRAME,27c5647abe5ab253d8a4db2b602d8682a8a63b8f|bc6b3ab6c40db996a4fd8e8ca5b748fe21a23666,docs/paper_rebuild/DATA_ROLES.md|conf/LC/GINav_SPP_LC_CPT.ini,CURRENT_STATIC_ADMISSION_SEMANTICS_CLOSED,true,false,CLOSED,NOT_EXECUTED_FUTURE_VALIDATION,CURRENT_SOURCE_ONLY,ACTIVE_GO2_FLU_BODY_IDENTITY_AND_OFFICIAL_RFU_INTERFACE_CLOSE_SOURCE_EXPLICIT_VECTOR_ADAPTER
CURRENT_STATIC_CLOSURE,INITIAL_ATTITUDE,bc6b3ab6c40db996a4fd8e8ca5b748fe21a23666,src/ins/ins_align.m|src/ins/tdcp2vel.m,CURRENT_STATIC_ADMISSION_SEMANTICS_CLOSED,true,false,CLOSED,NOT_EXECUTED_FUTURE_VALIDATION,CURRENT_SOURCE_ONLY,OFFICIAL_TDCP_MOTION_ALIGNMENT_CLOSES_INITIAL_ATTITUDE_SOURCE_SEMANTICS_WITHOUT_GO2_ORIENTATION
CURRENT_STATIC_CLOSURE,LEVER_ARM,27c5647abe5ab253d8a4db2b602d8682a8a63b8f|bc6b3ab6c40db996a4fd8e8ca5b748fe21a23666,docs/paper_rebuild/METHOD_SCOPE.md|conf/LC/GINav_SPP_LC_CPT.ini|src/gnss_ins_lc/gnss_ins_lc.m,CURRENT_STATIC_ADMISSION_SEMANTICS_CLOSED,true,false,CLOSED,NOT_EXECUTED_FUTURE_VALIDATION,CURRENT_SOURCE_ONLY,ACTIVE_FRD_LEVER_PROVENANCE_AND_OFFICIAL_RFU_MEASUREMENT_CONVENTION_CLOSE_MAPPING
CURRENT_STATIC_CLOSURE,TIME_AND_NONINTEGER_POLICY,bc6b3ab6c40db996a4fd8e8ca5b748fe21a23666,src/main_func/gi_processor.m|src/ins/ins_time_updata.m,CURRENT_STATIC_ADMISSION_SEMANTICS_CLOSED,true,false,CLOSED,NOT_EXECUTED_FUTURE_VALIDATION,CURRENT_SOURCE_ONLY,OFFICIAL_PROCESSOR_AND_TIME_UPDATE_CLOSE_SOURCE_BEHAVIOR_WHILE_RUNTIME_VALIDATION_REMAINS_FUTURE_GATED
CURRENT_STATIC_CLOSURE,OFFICIAL_GNSS_SOLUTION_ROUTE,bc6b3ab6c40db996a4fd8e8ca5b748fe21a23666,src/main_func/gi_Loose.m|src/main_func/gi_processor.m|src/main_func/gnss_solver.m|src/gnss_ins_lc/gnss_ins_lc.m,CURRENT_STATIC_ADMISSION_SEMANTICS_CLOSED,true,false,CLOSED,NOT_EXECUTED_FUTURE_VALIDATION,CURRENT_SOURCE_ONLY,OFFICIAL_RINEX_TO_INTERNAL_GNSS_SOLVER_TO_LC_ROUTE_CLOSED_AND_EXTERNAL_PVT_INVENTION_FORBIDDEN
