gate,requirement,LC02A_JIANG2021_ADAPTIVE_FADING_CKF,LC02B_TAGHIZADEH2023_AHINF_CKF,LC02C_GINAV2021_OFFICIAL_SPP_INS_LC
G1,PUBLISHED_FAMILY,PASS,PASS,PASS
G2,SOLUTION_LEVEL_LC_GNSS_INS,NOT_EVALUATED_SOURCE_UNAVAILABLE,NOT_EVALUATED_SOURCE_UNAVAILABLE,PASS
G3,DISTINCT_FROM_LC01,PASS,PASS,PASS
G4,COMPLETE_NOMINAL_AND_MECHANIZATION,NOT_EVALUATED_SOURCE_UNAVAILABLE,NOT_EVALUATED_SOURCE_UNAVAILABLE,PASS
G5,PROCESS_NOISE_AND_DISCRETIZATION,NOT_EVALUATED_SOURCE_UNAVAILABLE,NOT_EVALUATED_SOURCE_UNAVAILABLE,PASS
G6,MEASUREMENT_AND_PHYSICAL_POINT,NOT_EVALUATED_SOURCE_UNAVAILABLE,NOT_EVALUATED_SOURCE_UNAVAILABLE,PASS
G7,PREDICTION_UPDATE_AND_COVARIANCE,NOT_EVALUATED_SOURCE_UNAVAILABLE,NOT_EVALUATED_SOURCE_UNAVAILABLE,PASS
G8,UNIQUE_ADAPTIVE_ROBUST_FADING_OR_HINF_SEMANTICS,FAIL,NOT_EVALUATED_SOURCE_UNAVAILABLE,PASS
G9,EXECUTABLE_INITIALIZATION_FEEDBACK_AND_RESET,NOT_EVALUATED_SOURCE_UNAVAILABLE,NOT_EVALUATED_SOURCE_UNAVAILABLE,PASS
G10,BY2_REQUIRED_FIELDS,NOT_EVALUATED_SOURCE_UNAVAILABLE,NOT_EVALUATED_SOURCE_UNAVAILABLE,PASS
G11,NO_REFERENCE_OR_ERROR_COMPLETION,PASS,PASS,PASS
G12,FORMAL_REPRODUCTION_LEVEL,FAIL,FAIL,PASS
