comparison,candidate_method_id,reference_method_id,metric_name,case_id,degradation_id,case_family,seed_id,candidate_value,reference_value,delta_candidate_minus_reference,relative_change_percent,candidate_better,tie,evaluator_version,source_table,source_table_row,source_sha256
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_10s_seed_00,D61,A1,seed_00,12.25027219080347,12.244050075006994,0.006222115796475691,0.05081746446934665,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,2,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_10s_seed_00,D61,A1,seed_00,27.807713050794145,27.422085002307593,0.3856280484865522,1.4062681537676702,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,3,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_10s_seed_01,D61,A1,seed_01,4.2764723393479755,3.8226755436211333,0.4537967957268423,11.871182645466451,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,4,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_10s_seed_01,D61,A1,seed_01,8.696478400776787,7.720499927178883,0.9759784735979036,12.641389583621587,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,5,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_10s_seed_02,D61,A1,seed_02,8.602873339575652,7.8601031960955785,0.7427701434800733,9.449877755409577,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,6,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_10s_seed_02,D61,A1,seed_02,20.945045262687568,19.304588139646473,1.6404571230410951,8.497757689385944,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,7,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_10s_seed_03,D61,A1,seed_03,8.097305791916051,8.617682724837687,-0.5203769329216357,-6.038478666913755,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,8,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_10s_seed_03,D61,A1,seed_03,18.37965307446051,20.57019905911379,-2.19054598465328,-10.649123901806586,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,9,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_10s_seed_04,D61,A1,seed_04,9.354129931857843,9.696142896441431,-0.34201296458358854,-3.527309449091456,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,10,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_10s_seed_04,D61,A1,seed_04,21.633443215844157,22.42071266285175,-0.787269447007592,-3.5113488979857306,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,11,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
