comparison,metric_name,scope,family,paired_sample_count,mean_delta_candidate_minus_reference,median_delta_candidate_minus_reference,std_delta,p10_delta,p90_delta,mean_ci95_low,mean_ci95_high,median_ci95_low,median_ci95_high,wilcoxon_p,wilcoxon_zero_policy,wilcoxon_approximation,win_count,tie_count,loss_count,win_rate,bootstrap_n,bootstrap_seed,bootstrap_policy,delta_definition,mean_relative_change_percent,median_relative_change_percent,seed_direction_consistency,worst_negative_case,best_positive_case,total_case_count,finite_metric_statistics_only,evaluator_version,source_table,source_table_row,source_sha256
A03_vs_A06,fault_window_horizontal_rmse_m,family,A1,27,0.043032392976133656,0.03357216160308951,0.1890429810086697,-0.08910880606276521,0.1931992586688708,-0.031403804058673185,0.11288157178808639,0.0030805982374459973,0.07725919044693796,0.03348557708749912,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,6,0,21,0.2222222222222222,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,0.24253872384507036,0.08698500786712353,0.7777777777777778,D61_20s_seed_05,D61_30s_seed_07,27,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_SUMMARY.csv,2,765dfa8a029e216a5e014305ce44ed5268cf0b9e9a76d52a57b76db76f6e82a0
A03_vs_A06,fault_window_horizontal_rmse_m,family,A2,18,-10.819121359211122,-5.4320127898758415,10.25645562985617,-25.985378043391485,-1.2248151148380433,-15.659151207542386,-6.298340433427343,-20.092904055923842,-2.1660256307247967,7.62939453125e-06,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,18,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,-35.90272786170985,-38.863212707379105,1.0,D62_10s_seed_01,D62_20s_seed_00,18,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_SUMMARY.csv,3,765dfa8a029e216a5e014305ce44ed5268cf0b9e9a76d52a57b76db76f6e82a0
A03_vs_A06,fault_window_horizontal_rmse_m,overall,ALL,45,-4.301829107898769,-0.02942592473337413,8.391431783477827,-20.25946354860981,0.16207495701848276,-7.027461257925635,-2.045167801267821,-1.021644688893701,0.007365015111414408,0.006981511825401094,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,24,0,21,0.5333333333333333,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,-14.215567910376894,-0.14823319541172528,0.8888888888888888,D61_20s_seed_05,D62_20s_seed_00,45,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_SUMMARY.csv,4,765dfa8a029e216a5e014305ce44ed5268cf0b9e9a76d52a57b76db76f6e82a0
A03_vs_A06,outage_end_horizontal_error_m,family,A1,27,0.08117311001895057,0.06984928879836616,0.34956321652722766,-0.1701458410030142,0.3810832556985589,-0.05656114338782428,0.21104673101837898,0.0068027870131430745,0.12487399725436887,0.024682404270358796,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,5,0,22,0.18518518518518517,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,0.19382898607272256,0.07954561722913815,0.8148148148148148,D61_20s_seed_05,D61_30s_seed_07,27,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_SUMMARY.csv,5,765dfa8a029e216a5e014305ce44ed5268cf0b9e9a76d52a57b76db76f6e82a0
A03_vs_A06,outage_end_horizontal_error_m,family,A2,18,-31.099544122455143,-15.93226475708541,28.67125645223194,-72.46450298511616,-4.279670274001432,-44.61105931834474,-18.430986110517367,-56.65507341794774,-6.820738742289979,7.62939453125e-06,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,18,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,-46.861680562234504,-50.63214182042803,1.0,D62_10s_seed_01,D62_20s_seed_00,18,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_SUMMARY.csv,6,765dfa8a029e216a5e014305ce44ed5268cf0b9e9a76d52a57b76db76f6e82a0
A03_vs_A06,outage_end_horizontal_error_m,overall,ALL,45,-12.391113782970688,-0.05302638699349771,23.71131809488523,-57.391709842186124,0.29411274942547444,-20.096584431113893,-5.998092644726847,-3.5676811009513876,0.015917933673662787,0.008259169903869467,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,23,0,22,0.5111111111111111,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,-18.628374833250167,-0.1239821411415764,0.9074074074074074,D61_20s_seed_05,D62_20s_seed_00,45,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_SUMMARY.csv,7,765dfa8a029e216a5e014305ce44ed5268cf0b9e9a76d52a57b76db76f6e82a0
A03_vs_A07,fault_window_horizontal_rmse_m,family,A1,27,-0.1907475274470882,0.8226755619221233,10.09938233205562,-12.681886924627134,11.45151214058416,-4.310876401668931,3.4458196151783413,-1.8221320002052863,3.880775968471916,0.4935253774957197,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,10,0,17,0.37037037037037035,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,27.30940541591552,5.616326079892843,0.6296296296296297,D61_30s_seed_05,D61_30s_seed_07,27,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_SUMMARY.csv,8,765dfa8a029e216a5e014305ce44ed5268cf0b9e9a76d52a57b76db76f6e82a0
A03_vs_A07,fault_window_horizontal_rmse_m,family,A2,18,-11.49286223418018,-5.15308193229646,14.06237505794641,-35.76053658787467,1.0498516967290576,-18.36895977292231,-5.424664193733098,-17.275838101620906,-1.7311818755369304,0.00104522705078125,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,16,0,2,0.8888888888888888,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,-8.627785670885507,-37.884039886056414,0.8888888888888888,D62_20s_seed_08,D62_20s_seed_07,18,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_SUMMARY.csv,9,765dfa8a029e216a5e014305ce44ed5268cf0b9e9a76d52a57b76db76f6e82a0
A03_vs_A07,fault_window_horizontal_rmse_m,overall,ALL,45,-4.711593410140326,-1.7201271800264832,13.075004483523525,-21.617613630466476,5.653299318596213,-8.679504905554227,-1.0408895726085479,-2.2657566562703835,0.45589055062924366,0.07269820792261782,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,26,0,19,0.5777777777777777,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,12.934528981195111,-5.5396685814996,0.7592592592592593,D61_30s_seed_05,D62_20s_seed_07,45,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_SUMMARY.csv,10,765dfa8a029e216a5e014305ce44ed5268cf0b9e9a76d52a57b76db76f6e82a0
A03_vs_A07,outage_end_horizontal_error_m,family,A1,27,-1.1661311766155502,0.9820377475029876,19.82509903073656,-26.796045655064123,22.470967612013062,-9.238334627903644,6.000328047010608,-2.0490038529814285,4.237482963571068,0.5888091865408535,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,11,0,16,0.4074074074074074,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,36.53420157693332,4.512125828888183,0.5925925925925926,D61_30s_seed_05,D61_30s_seed_07,27,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_SUMMARY.csv,11,765dfa8a029e216a5e014305ce44ed5268cf0b9e9a76d52a57b76db76f6e82a0
A03_vs_A07,outage_end_horizontal_error_m,family,A2,18,-34.01584443695913,-13.574506180149083,36.88385073413003,-97.03729822039134,-1.4301681647434072,-51.828364528509844,-18.004947287226393,-55.5144939531873,-6.469159602157331,0.00019073486328125,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,17,0,1,0.9444444444444444,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,-10.708024771099158,-44.15638434240867,0.9444444444444444,D62_10s_seed_08,D62_20s_seed_06,18,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_SUMMARY.csv,12,765dfa8a029e216a5e014305ce44ed5268cf0b9e9a76d52a57b76db76f6e82a0
