comparison,metric_name,duration_s,seed_id,A1_delta,A2_delta,A2_minus_A1_delta,status,evaluator_version,source_table,source_table_row,source_sha256
A04_vs_F03,fault_window_horizontal_rmse_m,10,seed_00,0.006222115796475691,-4.56699283955415,-4.573214955350625,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,2,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,outage_end_horizontal_error_m,10,seed_00,0.3856280484865522,-13.20080258351897,-13.586430632005522,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,3,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,fault_window_horizontal_rmse_m,10,seed_01,0.4537967957268423,-0.6168430254233854,-1.0706398211502277,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,4,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,outage_end_horizontal_error_m,10,seed_01,0.9759784735979036,-2.174160793446749,-3.1501392670446524,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,5,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,fault_window_horizontal_rmse_m,10,seed_02,0.7427701434800733,-4.489301235598102,-5.232071379078175,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,6,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,outage_end_horizontal_error_m,10,seed_02,1.6404571230410951,-13.69076225354939,-15.331219376590486,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,7,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,fault_window_horizontal_rmse_m,10,seed_03,-0.5203769329216357,-3.7614989403558905,-3.241122007434255,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,8,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,outage_end_horizontal_error_m,10,seed_03,-2.19054598465328,-11.953189331014972,-9.762643346361692,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,9,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,fault_window_horizontal_rmse_m,10,seed_04,-0.34201296458358854,-2.7669669407742425,-2.424953976190654,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,10,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,outage_end_horizontal_error_m,10,seed_04,-0.787269447007592,-8.803937435935161,-8.01666798892757,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,11,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
