comparison,metric_name,duration_s,registered_count,complete,paired_sample_count,mean_delta_candidate_minus_reference,median_delta_candidate_minus_reference,std_delta,p10_delta,p90_delta,mean_ci95_low,mean_ci95_high,median_ci95_low,median_ci95_high,wilcoxon_p,wilcoxon_zero_policy,wilcoxon_approximation,win_count,tie_count,loss_count,win_rate,bootstrap_n,bootstrap_seed,bootstrap_policy,delta_definition,evaluator_version,source_table,source_table_row,source_sha256
A04_vs_F03,fault_window_horizontal_rmse_m,ALL,18,True,18,-15.635744111302781,-8.339708852262174,14.109870574877473,-36.45738104249897,-2.2979811907980534,-22.261900072977216,-9.45476894439111,-26.842468393733572,-3.8962687051135902,7.62939453125e-06,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,18,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,2,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_F03,fault_window_horizontal_rmse_m,10,9,True,9,-3.358664307887424,-3.241122007434255,1.287823198147417,-4.704986240096136,-1.815497050802301,-4.169979829337121,-2.5029855488483714,-4.573214955350625,-2.0017113582153194,0.00390625,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,9,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,3,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_F03,fault_window_horizontal_rmse_m,20,9,True,9,-27.912823914718143,-27.548363900321682,9.750129726882667,-38.922310617898866,-14.152206930348518,-34.07173308183464,-21.347161724498825,-38.49380028939806,-14.828422081574105,0.00390625,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,9,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,4,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_F03,outage_end_horizontal_error_m,ALL,18,True,18,-42.21263742448305,-23.019631662404144,36.97053852880831,-95.57728101071753,-7.592067806542472,-59.59032161473791,-25.975945552670005,-69.33323333586122,-11.14240584472872,7.62939453125e-06,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,18,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,5,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_F03,outage_end_horizontal_error_m,10,9,True,9,-10.086796857434782,-9.762643346361692,3.591658586266495,-13.935388380922515,-5.911095091524063,-12.314987152495268,-7.67109464230153,-13.586430632005522,-6.601334047643917,0.00390625,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,9,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,6,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_F03,outage_end_horizontal_error_m,20,9,True,9,-74.3384779915313,-71.26783310978831,25.624249502006705,-105.91194890660756,-38.278269912450064,-90.42688174613538,-57.16884981576128,-104.72180520976362,-40.17082640350813,0.00390625,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,9,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,7,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A06,fault_window_horizontal_rmse_m,ALL,18,True,18,-14.376691144158375,-7.755326348881495,12.745503783740322,-33.11847279784589,-2.1584363357341507,-20.33329960036023,-8.74382704558581,-25.280751515764475,-3.566440336472982,7.62939453125e-06,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,18,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,8,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A06,fault_window_horizontal_rmse_m,10,9,True,9,-3.1216040914628924,-3.154355601464184,1.157526373543913,-4.288644097901639,-1.806087644727093,-3.8470419271190557,-2.358288589532637,-4.133613827241037,-2.0155367029451083,0.00390625,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,9,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,9,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A06,fault_window_horizontal_rmse_m,20,9,True,9,-25.63177819685386,-25.89256127661065,8.378657229516012,-34.65599771704422,-14.413739655302871,-30.872990207788597,-19.990833431068584,-34.14678168259803,-15.366702689823855,0.00390625,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,9,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,10,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A06,outage_end_horizontal_error_m,ALL,18,True,18,-38.609187520041935,-21.46207498570044,33.047128913899506,-85.96494173351586,-7.179960391884625,-54.075229351210126,-24.015139889788493,-65.03364626286402,-10.329306282138223,7.62939453125e-06,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,18,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,11,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A06,outage_end_horizontal_error_m,10,9,True,9,-9.408955054284755,-9.488478379493017,3.2375065594148564,-12.732199380722138,-5.898239600901267,-11.424023893396965,-7.253671851017592,-12.302412660065228,-6.657802125999602,0.00390625,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,9,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,12,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A06,outage_end_horizontal_error_m,20,9,True,9,-67.80941998579912,-66.76194214270805,21.643402183414036,-93.53032518034676,-39.024464887056446,-81.41268109181735,-53.26018923133414,-92.10213057846022,-41.662380181807784,0.00390625,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,9,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,13,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A07,fault_window_horizontal_rmse_m,ALL,18,True,18,-15.636406078872291,-8.340214508085488,14.110485473117542,-36.45740214451902,-2.298548069018432,-22.26187512152641,-9.455320292504592,-26.844656385268237,-3.896618434215584,7.62939453125e-06,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,18,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,14,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
