comparison,candidate_method_id,reference_method_id,metric_name,case_id,degradation_id,case_family,seed_id,candidate_state,reference_state,candidate_value,reference_value,delta_candidate_minus_reference,pair_status,candidate_algorithm_failure,reference_algorithm_failure,duration_s,sign,evaluator_version,source_table,source_table_row,source_sha256
full_vs_no_Go2,F04,A07,fault_window_horizontal_rmse_m,D61_10s_seed_00,D61,A1,seed_00,SUCCESS,SUCCESS,12.791583855927126,12.086813289891051,0.7047705660360748,FINITE_LOSS,False,False,10,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,2,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,outage_end_horizontal_error_m,D61_10s_seed_00,D61,A1,seed_00,SUCCESS,SUCCESS,28.90162699006463,27.122034102325376,1.7795928877392555,FINITE_LOSS,False,False,10,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,3,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,fault_window_horizontal_rmse_m,D61_10s_seed_01,D61,A1,seed_01,SUCCESS,SUCCESS,4.280957944950035,3.826513380743453,0.4544445642065815,FINITE_LOSS,False,False,10,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,4,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,outage_end_horizontal_error_m,D61_10s_seed_01,D61,A1,seed_01,SUCCESS,SUCCESS,8.708284429784639,7.729242800833674,0.9790416289509647,FINITE_LOSS,False,False,10,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,5,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,fault_window_horizontal_rmse_m,D61_10s_seed_02,D61,A1,seed_02,SUCCESS,SUCCESS,8.981761076107095,7.816514698276145,1.1652463778309494,FINITE_LOSS,False,False,10,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,6,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,outage_end_horizontal_error_m,D61_10s_seed_02,D61,A1,seed_02,SUCCESS,SUCCESS,21.773015158243936,19.220689357444787,2.5523258007991494,FINITE_LOSS,False,False,10,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,7,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,fault_window_horizontal_rmse_m,D61_10s_seed_03,D61,A1,seed_03,SUCCESS,SUCCESS,8.765765172758329,8.47001990776605,0.29574526499227893,FINITE_LOSS,False,False,10,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,8,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,outage_end_horizontal_error_m,D61_10s_seed_03,D61,A1,seed_03,SUCCESS,SUCCESS,19.986509300434598,20.30078148849075,-0.314272188056151,FINITE_WIN,False,False,10,BENEFIT,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,9,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,fault_window_horizontal_rmse_m,D61_10s_seed_04,D61,A1,seed_04,SUCCESS,SUCCESS,9.482258991579684,9.702935076833077,-0.22067608525339288,FINITE_WIN,False,False,10,BENEFIT,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,10,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,outage_end_horizontal_error_m,D61_10s_seed_04,D61,A1,seed_04,SUCCESS,SUCCESS,21.929852274268228,22.437132825867256,-0.5072805515990275,FINITE_WIN,False,False,10,BENEFIT,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,11,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
