comparison,metric_name,scope,family,paired_sample_count,total_case_count,mean_delta_candidate_minus_reference,median_delta_candidate_minus_reference,mean_ci95_low,mean_ci95_high,median_ci95_low,median_ci95_high,win_count,tie_count,loss_count,win_rate,wilcoxon_p,wilcoxon_zero_policy,wilcoxon_approximation,bootstrap_n,bootstrap_seed,bootstrap_policy,delta_definition,failure_aware_comparable_count,failure_aware_win_count,failure_aware_loss_count,failure_aware_tie_count,failure_aware_win_rate,failure_aware_win_rate_denominator,all_registered_case_win_rate_sensitivity,all_registered_case_denominator,both_algorithm_failure_count,candidate_algorithm_failure_count,reference_algorithm_failure_count,technical_missing_count,evaluation_suspect_count,finite_metric_unavailable_count,denominator_policy,evaluator_version,source_table,source_table_row,source_sha256,failure_source_table,failure_source_table_row,failure_source_sha256
A04_vs_F03,fault_window_horizontal_rmse_m,family,A1,27,27,-1.4319196772638956,0.29550640425496866,-6.137852865882474,2.514576443775861,-3.124692826178725,2.522209668205484,12,0,15,0.4444444444444444,0.9712524588767892,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,27,12,15,0,0.4444444444444444,27,0.4444444444444444,27,0,0,0,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/PAIRWISE_SUMMARY.csv,2,b31b250a5af7fee5cc5b9a0e078f79ce52a51266daa400c9d7db8de3cba9a2ae,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_AWARE_PAIRWISE_SUMMARY.csv,2,80b8860c4a418e82f60b7ec01f19b3234aa5fecd889a0e1e7dc5ad6c39f29ff5
A04_vs_F03,fault_window_horizontal_rmse_m,family,A2,18,18,-15.75883231363328,-7.460806838733115,-24.299336593386542,-8.221363544494862,-23.8159452855576,-3.6281340881861723,16,0,2,0.8888888888888888,0.00032806396484375,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,18,16,2,0,0.8888888888888888,18,0.8888888888888888,18,0,0,0,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/PAIRWISE_SUMMARY.csv,3,b31b250a5af7fee5cc5b9a0e078f79ce52a51266daa400c9d7db8de3cba9a2ae,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_AWARE_PAIRWISE_SUMMARY.csv,3,80b8860c4a418e82f60b7ec01f19b3234aa5fecd889a0e1e7dc5ad6c39f29ff5
A04_vs_F03,horizontal_rmse_m,family,A1,27,27,-0.5205081135153011,0.04542964613829126,-2.0517804906442114,0.7281539404180835,-0.6487671226018736,0.6676395381853588,12,0,15,0.4444444444444444,0.9139064562592599,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,27,12,15,0,0.4444444444444444,27,0.4444444444444444,27,0,0,0,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/PAIRWISE_SUMMARY.csv,5,b31b250a5af7fee5cc5b9a0e078f79ce52a51266daa400c9d7db8de3cba9a2ae,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_AWARE_PAIRWISE_SUMMARY.csv,5,80b8860c4a418e82f60b7ec01f19b3234aa5fecd889a0e1e7dc5ad6c39f29ff5
A04_vs_F03,horizontal_rmse_m,family,A2,18,18,-4.158721170155584,-1.563473888904642,-6.518413904341616,-2.0753602939665905,-6.1437783252765845,-0.6966047033029277,16,0,2,0.8888888888888888,0.00067138671875,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,18,16,2,0,0.8888888888888888,18,0.8888888888888888,18,0,0,0,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/PAIRWISE_SUMMARY.csv,6,b31b250a5af7fee5cc5b9a0e078f79ce52a51266daa400c9d7db8de3cba9a2ae,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_AWARE_PAIRWISE_SUMMARY.csv,6,80b8860c4a418e82f60b7ec01f19b3234aa5fecd889a0e1e7dc5ad6c39f29ff5
A04_vs_F03,max_horizontal_error_in_window_m,family,A1,27,27,-4.090794017965565,-0.3421565692818689,-13.268074467873774,3.5688053352417155,-6.702908812301679,3.439420334972837,14,0,13,0.5185185185185185,0.8008381797069951,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,27,14,13,0,0.5185185185185185,27,0.5185185185185185,27,0,0,0,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/PAIRWISE_SUMMARY.csv,8,b31b250a5af7fee5cc5b9a0e078f79ce52a51266daa400c9d7db8de3cba9a2ae,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_AWARE_PAIRWISE_SUMMARY.csv,8,80b8860c4a418e82f60b7ec01f19b3234aa5fecd889a0e1e7dc5ad6c39f29ff5
A04_vs_F03,max_horizontal_error_in_window_m,family,A2,18,18,-41.56320851972171,-18.364346281595896,-62.04906809944439,-23.08560802882986,-66.48239821436029,-10.033827781706952,17,0,1,0.9444444444444444,3.814697265625e-05,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,18,17,1,0,0.9444444444444444,18,0.9444444444444444,18,0,0,0,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/PAIRWISE_SUMMARY.csv,9,b31b250a5af7fee5cc5b9a0e078f79ce52a51266daa400c9d7db8de3cba9a2ae,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_AWARE_PAIRWISE_SUMMARY.csv,9,80b8860c4a418e82f60b7ec01f19b3234aa5fecd889a0e1e7dc5ad6c39f29ff5
A04_vs_F03,outage_end_horizontal_error_m,family,A1,27,27,-4.077469321211281,-0.3421565692818689,-13.244677397244864,3.5733057078467403,-6.702908812301679,3.439420334972837,14,0,13,0.5185185185185185,0.8008381797069951,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,27,14,13,0,0.5185185185185185,27,0.5185185185185185,27,0,0,0,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/PAIRWISE_SUMMARY.csv,11,b31b250a5af7fee5cc5b9a0e078f79ce52a51266daa400c9d7db8de3cba9a2ae,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_AWARE_PAIRWISE_SUMMARY.csv,11,80b8860c4a418e82f60b7ec01f19b3234aa5fecd889a0e1e7dc5ad6c39f29ff5
A04_vs_F03,outage_end_horizontal_error_m,family,A2,18,18,-43.15902838736181,-19.30738252905445,-64.05486618356542,-24.353135425115088,-67.78460145301574,-11.002370009727066,17,0,1,0.9444444444444444,3.814697265625e-05,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,18,17,1,0,0.9444444444444444,18,0.9444444444444444,18,0,0,0,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/PAIRWISE_SUMMARY.csv,12,b31b250a5af7fee5cc5b9a0e078f79ce52a51266daa400c9d7db8de3cba9a2ae,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_AWARE_PAIRWISE_SUMMARY.csv,12,80b8860c4a418e82f60b7ec01f19b3234aa5fecd889a0e1e7dc5ad6c39f29ff5
A04_vs_F03,post_window_horizontal_rmse_m,family,A1,27,27,-0.19525495041238286,-0.0022759051501090033,-0.6999739563326222,0.25451944774698476,-0.025320298372080607,0.13001388470366093,15,0,12,0.5555555555555556,0.9329868657677283,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,27,15,12,0,0.5555555555555556,27,0.5555555555555556,27,0,0,0,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/PAIRWISE_SUMMARY.csv,14,b31b250a5af7fee5cc5b9a0e078f79ce52a51266daa400c9d7db8de3cba9a2ae,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_AWARE_PAIRWISE_SUMMARY.csv,14,80b8860c4a418e82f60b7ec01f19b3234aa5fecd889a0e1e7dc5ad6c39f29ff5
A04_vs_F03,post_window_horizontal_rmse_m,family,A2,18,18,-1.4999942014951997,-0.7053484909699397,-2.451431222353896,-0.7012477546310384,-2.3868825075093234,-0.32311721103521396,17,0,1,0.9444444444444444,0.00025177001953125,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,18,17,1,0,0.9444444444444444,18,0.9444444444444444,18,0,0,0,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/PAIRWISE_SUMMARY.csv,15,b31b250a5af7fee5cc5b9a0e078f79ce52a51266daa400c9d7db8de3cba9a2ae,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_AWARE_PAIRWISE_SUMMARY.csv,15,80b8860c4a418e82f60b7ec01f19b3234aa5fecd889a0e1e7dc5ad6c39f29ff5
A04_vs_F03,up_rmse_m,family,A1,27,27,0.07002133488711362,0.001707943097959852,-0.007644029481053737,0.1571811411073194,-0.018118701285614935,0.06580869346919839,13,0,14,0.48148148148148145,0.3805341859058945,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,27,13,14,0,0.48148148148148145,27,0.48148148148148145,27,0,0,0,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/PAIRWISE_SUMMARY.csv,17,b31b250a5af7fee5cc5b9a0e078f79ce52a51266daa400c9d7db8de3cba9a2ae,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/FAILURE_AWARE_PAIRWISE_SUMMARY.csv,17,80b8860c4a418e82f60b7ec01f19b3234aa5fecd889a0e1e7dc5ad6c39f29ff5
