comparison,candidate_method_id,reference_method_id,metric_name,case_id,degradation_id,case_family,seed_id,candidate_state,reference_state,candidate_value,reference_value,delta_candidate_minus_reference,pair_status,candidate_algorithm_failure,reference_algorithm_failure,duration_s,sign,evaluator_version,source_table,source_table_row,source_sha256
full_vs_no_HV,F04,A06,fault_window_horizontal_rmse_m,D61_10s_seed_00,D61,A1,seed_00,SUCCESS,SUCCESS,12.791583855927126,12.794898051404303,-0.003314195477177151,FINITE_WIN,False,False,10,BENEFIT,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/SEED_SIGNS.csv,2,9c875ffd31680e3a97fc01f80dd31f0b3cfa8f65365f1e8cc9e5f94a8c084101
full_vs_no_HV,F04,A06,outage_end_horizontal_error_m,D61_10s_seed_00,D61,A1,seed_00,SUCCESS,SUCCESS,28.90162699006463,28.9082201446123,-0.0065931545476694,FINITE_WIN,False,False,10,BENEFIT,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/SEED_SIGNS.csv,3,9c875ffd31680e3a97fc01f80dd31f0b3cfa8f65365f1e8cc9e5f94a8c084101
full_vs_no_HV,F04,A06,post_window_horizontal_rmse_m,D61_10s_seed_00,D61,A1,seed_00,SUCCESS,SUCCESS,0.1352769208192554,0.13533504518825562,-5.8124369000212006e-05,FINITE_WIN,False,False,10,BENEFIT,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/SEED_SIGNS.csv,4,9c875ffd31680e3a97fc01f80dd31f0b3cfa8f65365f1e8cc9e5f94a8c084101
full_vs_no_HV,F04,A06,horizontal_rmse_m,D61_10s_seed_00,D61,A1,seed_00,SUCCESS,SUCCESS,2.3138217436827313,2.3144229043115105,-0.0006011606287792404,FINITE_WIN,False,False,10,BENEFIT,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/SEED_SIGNS.csv,5,9c875ffd31680e3a97fc01f80dd31f0b3cfa8f65365f1e8cc9e5f94a8c084101
full_vs_no_HV,F04,A06,up_rmse_m,D61_10s_seed_00,D61,A1,seed_00,SUCCESS,SUCCESS,0.3535510538249501,0.3535362161058174,1.483771913268761e-05,FINITE_LOSS,False,False,10,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/SEED_SIGNS.csv,6,9c875ffd31680e3a97fc01f80dd31f0b3cfa8f65365f1e8cc9e5f94a8c084101
full_vs_no_HV,F04,A06,yaw_rmse_deg,D61_10s_seed_00,D61,A1,seed_00,SUCCESS,SUCCESS,2.2314203513600073,2.231435703215715,-1.535185570755715e-05,FINITE_WIN,False,False,10,BENEFIT,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/SEED_SIGNS.csv,7,9c875ffd31680e3a97fc01f80dd31f0b3cfa8f65365f1e8cc9e5f94a8c084101
full_vs_no_HV,F04,A06,max_horizontal_error_in_window_m,D61_10s_seed_00,D61,A1,seed_00,SUCCESS,SUCCESS,28.90162699006463,28.9082201446123,-0.0065931545476694,FINITE_WIN,False,False,10,BENEFIT,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/SEED_SIGNS.csv,8,9c875ffd31680e3a97fc01f80dd31f0b3cfa8f65365f1e8cc9e5f94a8c084101
full_vs_no_HV,F04,A06,fault_window_horizontal_rmse_m,D61_10s_seed_01,D61,A1,seed_01,SUCCESS,SUCCESS,4.280957944950035,4.27985323736164,0.00110470758839476,FINITE_LOSS,False,False,10,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/SEED_SIGNS.csv,9,9c875ffd31680e3a97fc01f80dd31f0b3cfa8f65365f1e8cc9e5f94a8c084101
full_vs_no_HV,F04,A06,outage_end_horizontal_error_m,D61_10s_seed_01,D61,A1,seed_01,SUCCESS,SUCCESS,8.708284429784639,8.706213330281146,0.0020710995034924906,FINITE_LOSS,False,False,10,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/SEED_SIGNS.csv,10,9c875ffd31680e3a97fc01f80dd31f0b3cfa8f65365f1e8cc9e5f94a8c084101
full_vs_no_HV,F04,A06,post_window_horizontal_rmse_m,D61_10s_seed_01,D61,A1,seed_01,SUCCESS,SUCCESS,0.2984324486220575,0.2983965326122762,3.5916009781256086e-05,FINITE_LOSS,False,False,10,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/SEED_SIGNS.csv,11,9c875ffd31680e3a97fc01f80dd31f0b3cfa8f65365f1e8cc9e5f94a8c084101
