dataset_id,case_id,method_id,run_id,terminal_status,exit_code,failure_type,failure,solver_seconds,runtime_seconds,solver_output_bytes,retry_count,code_commit
BY2,C00_clean_normal,F01,RUN_00001,COMPLETED,0,,,7.438543800000161,12.684471610999935,70152149,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2,C00_clean_normal,F02,RUN_00002,COMPLETED,0,,,7.442002972999944,13.2197688440001,70175152,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2,C00_clean_normal,F03,RUN_00003,COMPLETED,0,,,7.743084110000154,13.868442436999885,70188844,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2,C00_clean_normal,F04,RUN_00004,COMPLETED,0,,,10.053701309999951,35.01685151399988,74721109,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2,C00_clean_normal,A03,RUN_00005,COMPLETED,0,,,9.760655871999916,33.495418224000105,73987193,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2,C00_clean_normal,A04,RUN_00006,COMPLETED,0,,,10.05026485899998,34.55217913399997,70198519,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2,C00_clean_normal,A05,RUN_00007,COMPLETED,0,,,8.526186086000052,29.26105936099998,73758443,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2,C00_clean_normal,A06,RUN_00008,COMPLETED,0,,,7.948059802999978,27.869753444000025,73754799,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2,C00_clean_normal,A07,RUN_00009,COMPLETED,0,,,7.409260491000168,17.189982809999947,72792017,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2,C00_clean_normal,A08,RUN_00010,COMPLETED,0,,,7.363290665000022,16.750937905,70191198,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2,C00_clean_normal,A09,RUN_00011,COMPLETED,0,,,7.730865354999878,14.258134939000001,72058590,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2H,CLEAN5_BY2H_NATURAL,F01,SEQUENCE_BY2H_F01,FAILED_TECHNICAL,0,KeyError,'runtime_role',7.8172121259999585,13.106617792999941,72552847,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2H,CLEAN5_BY2H_NATURAL,F02,SEQUENCE_BY2H_F02,FAILED_TECHNICAL,0,KeyError,'runtime_role',7.634638654000128,13.185388368999838,72578684,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2H,CLEAN5_BY2H_NATURAL,F03,SEQUENCE_BY2H_F03,FAILED_TECHNICAL,0,KeyError,'runtime_role',7.790255405000153,13.223030134000055,72592601,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2H,CLEAN5_BY2H_NATURAL,F04,SEQUENCE_BY2H_F04,FAILED_TECHNICAL,0,KeyError,'runtime_role',10.389967701999922,34.70144486100003,76909051,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2H,CLEAN5_BY2H_NATURAL,A03,SEQUENCE_BY2H_A03,FAILED_TECHNICAL,0,KeyError,'runtime_role',9.894771348999939,31.178435028999957,76336968,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2H,CLEAN5_BY2H_NATURAL,A04,SEQUENCE_BY2H_A04,FAILED_TECHNICAL,0,KeyError,'runtime_role',10.224025700000084,34.521471896000094,72623116,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2H,CLEAN5_BY2H_NATURAL,A05,SEQUENCE_BY2H_A05,FAILED_TECHNICAL,0,KeyError,'runtime_role',8.721195622000096,28.05914671200003,75952123,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2H,CLEAN5_BY2H_NATURAL,A06,SEQUENCE_BY2H_A06,FAILED_TECHNICAL,0,KeyError,'runtime_role',8.10704915999986,27.02754971299987,75957870,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2H,CLEAN5_BY2H_NATURAL,A07,SEQUENCE_BY2H_A07,FAILED_TECHNICAL,0,KeyError,'runtime_role',7.588942391000046,14.881808017999901,75000461,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2H,CLEAN5_BY2H_NATURAL,A08,SEQUENCE_BY2H_A08,FAILED_TECHNICAL,0,KeyError,'runtime_role',7.551846573000148,15.023884213999963,72592766,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2H,CLEAN5_BY2H_NATURAL,A09,SEQUENCE_BY2H_A09,FAILED_TECHNICAL,0,KeyError,'runtime_role',7.954184438999846,13.101530018999938,74430057,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2O,CLEAN5_BY2O_NATURAL,F01,SEQUENCE_BY2O_F01,FAILED_TECHNICAL,0,KeyError,'runtime_role',10.034802113000069,15.58485335499995,95194469,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
BY2O,CLEAN5_BY2O_NATURAL,F02,SEQUENCE_BY2O_F02,FAILED_TECHNICAL,0,KeyError,'runtime_role',9.994476503999977,15.40724348599997,95228678,0,b26569185638fabdd2ad121fc25cf784d5a8fdb3
