dataset_id,case_family,degradation_id,method_id,effective_configuration_id,terminal_status,run_count
BY2,clean,CLEAN,A03,AB0111,COMPLETED,1
BY2,clean,CLEAN,A04,AB1011,COMPLETED,1
BY2,clean,CLEAN,A05,AB1101,COMPLETED,1
BY2,clean,CLEAN,A06,AB1110,COMPLETED,1
BY2,clean,CLEAN,A07,AB1100,COMPLETED,1
BY2,clean,CLEAN,A08,AB1000,COMPLETED,1
BY2,clean,CLEAN,A09,AB0100,COMPLETED,1
BY2,clean,CLEAN,F01,single_antenna_EKF,COMPLETED,1
BY2,clean,CLEAN,F02,basic_dual_yaw_EKF,COMPLETED,1
BY2,clean,CLEAN,F03,AB0000,COMPLETED,1
BY2,clean,CLEAN,F04,AB1111,COMPLETED,1
BY2,dual_yaw,D30,A03,AB0111,COMPLETED,9
BY2,dual_yaw,D30,A04,AB1011,COMPLETED,9
BY2,dual_yaw,D30,A05,AB1101,COMPLETED,9
BY2,dual_yaw,D30,A06,AB1110,COMPLETED,9
BY2,dual_yaw,D30,A07,AB1100,COMPLETED,9
BY2,dual_yaw,D30,A08,AB1000,COMPLETED,9
BY2,dual_yaw,D30,A09,AB0100,COMPLETED,9
BY2,dual_yaw,D30,F01,single_antenna_EKF,COMPLETED,9
BY2,dual_yaw,D30,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,dual_yaw,D30,F03,AB0000,COMPLETED,9
BY2,dual_yaw,D30,F04,AB1111,COMPLETED,9
BY2,dual_yaw,D31,A03,AB0111,COMPLETED,9
BY2,dual_yaw,D31,A04,AB1011,COMPLETED,9
BY2,dual_yaw,D31,A05,AB1101,COMPLETED,9
BY2,dual_yaw,D31,A06,AB1110,COMPLETED,9
BY2,dual_yaw,D31,A07,AB1100,COMPLETED,9
BY2,dual_yaw,D31,A08,AB1000,COMPLETED,9
BY2,dual_yaw,D31,A09,AB0100,COMPLETED,9
BY2,dual_yaw,D31,F01,single_antenna_EKF,COMPLETED,9
BY2,dual_yaw,D31,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,dual_yaw,D31,F03,AB0000,COMPLETED,9
BY2,dual_yaw,D31,F04,AB1111,COMPLETED,9
BY2,dual_yaw,D32,A03,AB0111,COMPLETED,9
BY2,dual_yaw,D32,A04,AB1011,COMPLETED,9
BY2,dual_yaw,D32,A05,AB1101,COMPLETED,9
BY2,dual_yaw,D32,A06,AB1110,COMPLETED,9
BY2,dual_yaw,D32,A07,AB1100,COMPLETED,9
BY2,dual_yaw,D32,A08,AB1000,COMPLETED,9
BY2,dual_yaw,D32,A09,AB0100,COMPLETED,9
BY2,dual_yaw,D32,F01,single_antenna_EKF,COMPLETED,9
BY2,dual_yaw,D32,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,dual_yaw,D32,F03,AB0000,COMPLETED,9
BY2,dual_yaw,D32,F04,AB1111,COMPLETED,9
BY2,dual_yaw,D33,A03,AB0111,COMPLETED,9
BY2,dual_yaw,D33,A04,AB1011,COMPLETED,9
BY2,dual_yaw,D33,A05,AB1101,COMPLETED,9
BY2,dual_yaw,D33,A06,AB1110,COMPLETED,9
BY2,dual_yaw,D33,A07,AB1100,COMPLETED,9
BY2,dual_yaw,D33,A08,AB1000,COMPLETED,9
BY2,dual_yaw,D33,A09,AB0100,COMPLETED,9
BY2,dual_yaw,D33,F01,single_antenna_EKF,COMPLETED,9
BY2,dual_yaw,D33,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,dual_yaw,D33,F03,AB0000,COMPLETED,9
BY2,dual_yaw,D33,F04,AB1111,COMPLETED,9
BY2,dual_yaw,D34,A03,AB0111,COMPLETED,9
BY2,dual_yaw,D34,A04,AB1011,COMPLETED,9
BY2,dual_yaw,D34,A05,AB1101,COMPLETED,9
BY2,dual_yaw,D34,A06,AB1110,COMPLETED,9
BY2,dual_yaw,D34,A07,AB1100,COMPLETED,9
BY2,dual_yaw,D34,A08,AB1000,COMPLETED,9
BY2,dual_yaw,D34,A09,AB0100,COMPLETED,9
BY2,dual_yaw,D34,F01,single_antenna_EKF,COMPLETED,9
BY2,dual_yaw,D34,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,dual_yaw,D34,F03,AB0000,COMPLETED,9
BY2,dual_yaw,D34,F04,AB1111,COMPLETED,9
BY2,dual_yaw,D35,A03,AB0111,COMPLETED,9
BY2,dual_yaw,D35,A04,AB1011,COMPLETED,9
BY2,dual_yaw,D35,A05,AB1101,COMPLETED,9
BY2,dual_yaw,D35,A06,AB1110,COMPLETED,9
BY2,dual_yaw,D35,A07,AB1100,COMPLETED,9
BY2,dual_yaw,D35,A08,AB1000,COMPLETED,9
BY2,dual_yaw,D35,A09,AB0100,COMPLETED,9
BY2,dual_yaw,D35,F01,single_antenna_EKF,COMPLETED,9
BY2,dual_yaw,D35,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,dual_yaw,D35,F03,AB0000,COMPLETED,9
BY2,dual_yaw,D35,F04,AB1111,COMPLETED,9
BY2,dual_yaw,D36,A03,AB0111,COMPLETED,9
BY2,dual_yaw,D36,A04,AB1011,COMPLETED,9
BY2,dual_yaw,D36,A05,AB1101,COMPLETED,9
BY2,dual_yaw,D36,A06,AB1110,COMPLETED,9
BY2,dual_yaw,D36,A07,AB1100,COMPLETED,9
BY2,dual_yaw,D36,A08,AB1000,COMPLETED,9
BY2,dual_yaw,D36,A09,AB0100,COMPLETED,9
BY2,dual_yaw,D36,F01,single_antenna_EKF,COMPLETED,9
BY2,dual_yaw,D36,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,dual_yaw,D36,F03,AB0000,COMPLETED,9
BY2,dual_yaw,D36,F04,AB1111,COMPLETED,9
BY2,dual_yaw,D37,A03,AB0111,COMPLETED,9
BY2,dual_yaw,D37,A04,AB1011,COMPLETED,9
BY2,dual_yaw,D37,A05,AB1101,COMPLETED,9
BY2,dual_yaw,D37,A06,AB1110,COMPLETED,9
BY2,dual_yaw,D37,A07,AB1100,COMPLETED,9
BY2,dual_yaw,D37,A08,AB1000,COMPLETED,9
BY2,dual_yaw,D37,A09,AB0100,COMPLETED,9
BY2,dual_yaw,D37,F01,single_antenna_EKF,COMPLETED,9
BY2,dual_yaw,D37,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,dual_yaw,D37,F03,AB0000,COMPLETED,9
BY2,dual_yaw,D37,F04,AB1111,COMPLETED,9
BY2,dual_yaw,D38,A03,AB0111,COMPLETED,9
BY2,dual_yaw,D38,A04,AB1011,COMPLETED,9
BY2,dual_yaw,D38,A05,AB1101,COMPLETED,9
BY2,dual_yaw,D38,A06,AB1110,COMPLETED,9
BY2,dual_yaw,D38,A07,AB1100,COMPLETED,9
BY2,dual_yaw,D38,A08,AB1000,COMPLETED,9
BY2,dual_yaw,D38,A09,AB0100,COMPLETED,9
BY2,dual_yaw,D38,F01,single_antenna_EKF,COMPLETED,9
BY2,dual_yaw,D38,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,dual_yaw,D38,F03,AB0000,COMPLETED,9
BY2,dual_yaw,D38,F04,AB1111,COMPLETED,9
BY2,dual_yaw,D39,A03,AB0111,COMPLETED,9
BY2,dual_yaw,D39,A04,AB1011,COMPLETED,9
BY2,dual_yaw,D39,A05,AB1101,COMPLETED,9
BY2,dual_yaw,D39,A06,AB1110,COMPLETED,9
BY2,dual_yaw,D39,A07,AB1100,COMPLETED,9
BY2,dual_yaw,D39,A08,AB1000,COMPLETED,9
BY2,dual_yaw,D39,A09,AB0100,COMPLETED,9
BY2,dual_yaw,D39,F01,single_antenna_EKF,COMPLETED,9
BY2,dual_yaw,D39,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,dual_yaw,D39,F03,AB0000,COMPLETED,9
BY2,dual_yaw,D39,F04,AB1111,COMPLETED,9
BY2,dual_yaw,D40,A03,AB0111,COMPLETED,9
BY2,dual_yaw,D40,A04,AB1011,COMPLETED,9
BY2,dual_yaw,D40,A05,AB1101,COMPLETED,9
BY2,dual_yaw,D40,A06,AB1110,COMPLETED,9
BY2,dual_yaw,D40,A07,AB1100,COMPLETED,9
BY2,dual_yaw,D40,A08,AB1000,COMPLETED,9
BY2,dual_yaw,D40,A09,AB0100,COMPLETED,9
BY2,dual_yaw,D40,F01,single_antenna_EKF,COMPLETED,9
BY2,dual_yaw,D40,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,dual_yaw,D40,F03,AB0000,COMPLETED,9
BY2,dual_yaw,D40,F04,AB1111,COMPLETED,9
BY2,dual_yaw,D41,A03,AB0111,COMPLETED,9
BY2,dual_yaw,D41,A04,AB1011,COMPLETED,9
BY2,dual_yaw,D41,A05,AB1101,COMPLETED,9
BY2,dual_yaw,D41,A06,AB1110,COMPLETED,9
BY2,dual_yaw,D41,A07,AB1100,COMPLETED,9
BY2,dual_yaw,D41,A08,AB1000,COMPLETED,9
BY2,dual_yaw,D41,A09,AB0100,COMPLETED,9
BY2,dual_yaw,D41,F01,single_antenna_EKF,COMPLETED,9
BY2,dual_yaw,D41,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,dual_yaw,D41,F03,AB0000,COMPLETED,9
BY2,dual_yaw,D41,F04,AB1111,COMPLETED,9
BY2,gnss_outage,D01,A03,AB0111,COMPLETED,9
BY2,gnss_outage,D01,A04,AB1011,COMPLETED,9
BY2,gnss_outage,D01,A05,AB1101,COMPLETED,9
BY2,gnss_outage,D01,A06,AB1110,COMPLETED,9
BY2,gnss_outage,D01,A07,AB1100,COMPLETED,9
BY2,gnss_outage,D01,A08,AB1000,COMPLETED,9
BY2,gnss_outage,D01,A09,AB0100,COMPLETED,9
BY2,gnss_outage,D01,F01,single_antenna_EKF,COMPLETED,9
BY2,gnss_outage,D01,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,gnss_outage,D01,F03,AB0000,COMPLETED,9
BY2,gnss_outage,D01,F04,AB1111,COMPLETED,9
BY2,gnss_outage,D02,A03,AB0111,COMPLETED,9
BY2,gnss_outage,D02,A04,AB1011,COMPLETED,9
BY2,gnss_outage,D02,A05,AB1101,COMPLETED,9
BY2,gnss_outage,D02,A06,AB1110,COMPLETED,9
BY2,gnss_outage,D02,A07,AB1100,COMPLETED,9
BY2,gnss_outage,D02,A08,AB1000,COMPLETED,9
BY2,gnss_outage,D02,A09,AB0100,COMPLETED,9
BY2,gnss_outage,D02,F01,single_antenna_EKF,COMPLETED,9
BY2,gnss_outage,D02,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,gnss_outage,D02,F03,AB0000,COMPLETED,9
BY2,gnss_outage,D02,F04,AB1111,COMPLETED,9
BY2,gnss_outage,D03,A03,AB0111,COMPLETED,9
BY2,gnss_outage,D03,A04,AB1011,COMPLETED,9
BY2,gnss_outage,D03,A05,AB1101,COMPLETED,9
BY2,gnss_outage,D03,A06,AB1110,COMPLETED,9
BY2,gnss_outage,D03,A07,AB1100,COMPLETED,9
BY2,gnss_outage,D03,A08,AB1000,COMPLETED,9
BY2,gnss_outage,D03,A09,AB0100,COMPLETED,9
BY2,gnss_outage,D03,F01,single_antenna_EKF,COMPLETED,9
BY2,gnss_outage,D03,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,gnss_outage,D03,F03,AB0000,COMPLETED,9
BY2,gnss_outage,D03,F04,AB1111,COMPLETED,9
BY2,gnss_outage,D04,A03,AB0111,COMPLETED,9
BY2,gnss_outage,D04,A04,AB1011,COMPLETED,9
BY2,gnss_outage,D04,A05,AB1101,COMPLETED,9
BY2,gnss_outage,D04,A06,AB1110,COMPLETED,9
BY2,gnss_outage,D04,A07,AB1100,COMPLETED,9
BY2,gnss_outage,D04,A08,AB1000,COMPLETED,9
BY2,gnss_outage,D04,A09,AB0100,COMPLETED,9
BY2,gnss_outage,D04,F01,single_antenna_EKF,COMPLETED,9
BY2,gnss_outage,D04,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,gnss_outage,D04,F03,AB0000,COMPLETED,9
BY2,gnss_outage,D04,F04,AB1111,COMPLETED,9
BY2,gnss_outage,D05,A03,AB0111,COMPLETED,9
BY2,gnss_outage,D05,A04,AB1011,COMPLETED,9
BY2,gnss_outage,D05,A05,AB1101,COMPLETED,9
BY2,gnss_outage,D05,A06,AB1110,COMPLETED,9
BY2,gnss_outage,D05,A07,AB1100,COMPLETED,9
BY2,gnss_outage,D05,A08,AB1000,COMPLETED,9
BY2,gnss_outage,D05,A09,AB0100,COMPLETED,9
BY2,gnss_outage,D05,F01,single_antenna_EKF,COMPLETED,9
BY2,gnss_outage,D05,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,gnss_outage,D05,F03,AB0000,COMPLETED,9
BY2,gnss_outage,D05,F04,AB1111,COMPLETED,9
BY2,gnss_outage,D06,A03,AB0111,COMPLETED,9
BY2,gnss_outage,D06,A04,AB1011,COMPLETED,9
