batch,status,result_path,run_count,completed,all_yaw_rejected,technical_failures,evaluator_records,archive_verified,archive_pending,wall_seconds,wall_scope,original_batch8_partial_wall_seconds,recovery_wall_seconds,nproc,solver_pool,evaluator_pool_sizes,archive_write_pool,available_memory_start_bytes,cpu_utilization_fraction,archive_cpu_utilization_fraction,archive_cpu_below_40_percent,host_used_memory_peak_bytes,owned_process_tree_peak_rss_bytes,scratch_peak_growth_bytes,g_peak_growth_bytes,cleaned_files,cleaned_bytes,scientific_code_commit,io_fix_code_commit,omitted_original_fragment_sampled_elapsed_seconds,omitted_original_fragment_count,omitted_original_fragment_details_json,full_batch_accounted_seconds,full_batch_accounted_time_scope,omitted_fragment_cpu_utilization_fraction,full_batch_sampled_cpu_utilization_fraction,full_batch_sampled_cpu_tick_delta,full_batch_sampled_idle_tick_delta,full_batch_sampled_cpu_scope,omitted_fragment_host_used_memory_peak_bytes,full_batch_host_used_memory_peak_bytes,omitted_fragment_owned_process_tree_peak_rss_bytes,full_batch_owned_process_tree_peak_rss_bytes,full_batch_rebased_scratch_peak_growth_bytes,full_batch_rebased_g_peak_growth_bytes,full_batch_rebased_simultaneous_combined_peak_growth_bytes,full_batch_disk_rebase_json,archive_recorded_successful_attempt_count,archive_duplicate_success_events,archive_conflicting_duplicate_timings,archive_component_timing_scope,hash_wall_seconds,hash_cpu_seconds,compress_wall_seconds,compress_cpu_seconds,copy_wall_seconds,copy_cpu_seconds,largest_measured_archive_component,archive_passes_wall_seconds,archive_passes_wall_scope,providers_phase_wall_seconds,providers_omitted_fragment_sampled_span_seconds,providers_full_batch_accounted_seconds,providers_phase_cpu_utilization_fraction,solver_phase_wall_seconds,solver_omitted_fragment_sampled_span_seconds,solver_full_batch_accounted_seconds,solver_phase_cpu_utilization_fraction,evaluation_phase_wall_seconds,evaluation_omitted_fragment_sampled_span_seconds,evaluation_full_batch_accounted_seconds,evaluation_phase_cpu_utilization_fraction,archive_cleanup_phase_wall_seconds,archive_cleanup_omitted_fragment_sampled_span_seconds,archive_cleanup_full_batch_accounted_seconds,archive_cleanup_phase_cpu_utilization_fraction,full_batch_phase_accounting_scope
1,PASS,<CANONICAL541_V2_ROOT>/BATCHES/BATCH_001/BATCH_RESULT.json,256,256,0,0,512,256,0,2079.1257006410005,batch,,,24,22,22,UNAVAILABLE,23816892416,0.11849640346090072,0.01891956509167617,True,6897106944,6288302080,28446859264,6332088320,11369,31099985587,737a0fb5a4a5418500824855b89b0d25af69824a,ea478eea88aaf9739823dfc152fa108dd17f8d0c,0,0,[],2079.1257006410005,selected batch final wall,UNAVAILABLE,UNAVAILABLE,,,sum of first-to-last host visible-affinity CPU tick deltas across original and selected recovery sample fragments; no wall weighting; inter-fragment gaps and unsampled start/end tails excluded; concurrent host activity included,UNAVAILABLE,6897106944,UNAVAILABLE,6288302080,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,null,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,selected persisted batch component timings only; absent values unavailable,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,selected result archive passes only; successful component timings may cover original and recovery attempts,4.212464510000245,UNAVAILABLE,4.212464510000245,0.0110803324099723,229.3730548859994,UNAVAILABLE,229.3730548859994,0.33164180578337843,1362.0967333489998,UNAVAILABLE,1362.0967333489998,0.11847453769191994,483.32667955500074,UNAVAILABLE,483.32667955500074,0.01891956509167617,selected saved phase wall plus omitted fragment within-phase sampled spans; transition gaps and unsaved tails not allocated
2,PASS,<CANONICAL541_V2_ROOT>/BATCHES/BATCH_002/BATCH_RESULT.json,256,256,0,0,512,256,0,2114.7994708279984,batch,,,24,22,22,UNAVAILABLE,24002736128,0.124906870416823,0.0183934133612308,True,14183485440,13437378560,30615265280,6347030528,11404,30581798216,737a0fb5a4a5418500824855b89b0d25af69824a,ea478eea88aaf9739823dfc152fa108dd17f8d0c,0,0,[],2114.7994708279984,selected batch final wall,UNAVAILABLE,UNAVAILABLE,,,sum of first-to-last host visible-affinity CPU tick deltas across original and selected recovery sample fragments; no wall weighting; inter-fragment gaps and unsampled start/end tails excluded; concurrent host activity included,UNAVAILABLE,14183485440,UNAVAILABLE,13437378560,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,null,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,selected persisted batch component timings only; absent values unavailable,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,selected result archive passes only; successful component timings may cover original and recovery attempts,31.309751242000857,UNAVAILABLE,31.309751242000857,0.28870770594635253,262.89147808899907,UNAVAILABLE,262.89147808899907,0.33223320577383525,1326.3930484030006,UNAVAILABLE,1326.3930484030006,0.11986598665292171,494.06982741199863,UNAVAILABLE,494.06982741199863,0.0183934133612308,selected saved phase wall plus omitted fragment within-phase sampled spans; transition gaps and unsaved tails not allocated
3,PASS,<CANONICAL541_V2_ROOT>/BATCHES/BATCH_003/BATCH_RESULT.json,256,256,0,0,512,256,0,2133.0914860599987,batch,,,24,22,22,UNAVAILABLE,22024740864,0.12362515894187115,0.01781851126140362,True,16960389120,16249077760,30606417920,6347816960,11405,30573635634,737a0fb5a4a5418500824855b89b0d25af69824a,ea478eea88aaf9739823dfc152fa108dd17f8d0c,0,0,[],2133.0914860599987,selected batch final wall,UNAVAILABLE,UNAVAILABLE,,,sum of first-to-last host visible-affinity CPU tick deltas across original and selected recovery sample fragments; no wall weighting; inter-fragment gaps and unsampled start/end tails excluded; concurrent host activity included,UNAVAILABLE,16960389120,UNAVAILABLE,16249077760,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,null,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,selected persisted batch component timings only; absent values unavailable,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,selected result archive passes only; successful component timings may cover original and recovery attempts,33.28448923900032,UNAVAILABLE,33.28448923900032,0.29134535157138886,270.9728956710005,UNAVAILABLE,270.9728956710005,0.3194768705683223,1333.772752832001,UNAVAILABLE,1333.772752832001,0.11914617834314983,494.93707715600067,UNAVAILABLE,494.93707715600067,0.01781851126140362,selected saved phase wall plus omitted fragment within-phase sampled spans; transition gaps and unsaved tails not allocated
4,PASS,<CANONICAL541_V2_ROOT>/BATCHES/BATCH_004/BATCH_RESULT.json,256,256,0,0,512,256,0,2003.7816390460011,batch,,,24,22,22,UNAVAILABLE,21524357120,0.12974353858649876,0.020355073583688273,True,16092962816,15471624192,30374273024,6326059008,11403,30342381861,737a0fb5a4a5418500824855b89b0d25af69824a,ea478eea88aaf9739823dfc152fa108dd17f8d0c,0,0,[],2003.7816390460011,selected batch final wall,UNAVAILABLE,UNAVAILABLE,,,sum of first-to-last host visible-affinity CPU tick deltas across original and selected recovery sample fragments; no wall weighting; inter-fragment gaps and unsampled start/end tails excluded; concurrent host activity included,UNAVAILABLE,16092962816,UNAVAILABLE,15471624192,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,null,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,selected persisted batch component timings only; absent values unavailable,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,selected result archive passes only; successful component timings may cover original and recovery attempts,31.81411864599977,UNAVAILABLE,31.81411864599977,0.29404055914433974,249.66336681100074,UNAVAILABLE,249.66336681100074,0.3354650042315008,1336.2213420120006,UNAVAILABLE,1336.2213420120006,0.1191213678242936,385.9886297079993,UNAVAILABLE,385.9886297079993,0.020355073583688273,selected saved phase wall plus omitted fragment within-phase sampled spans; transition gaps and unsaved tails not allocated
5,PASS,<CANONICAL541_V2_ROOT>/BATCHES/BATCH_005/BATCH_RESULT.json,256,256,0,0,512,256,0,2033.922233039999,batch,,,24,22,22,UNAVAILABLE,21412581376,0.12871352887412058,0.02031683752299989,True,17825808384,17167241216,30475337728,6332088320,11403,30440499370,737a0fb5a4a5418500824855b89b0d25af69824a,ea478eea88aaf9739823dfc152fa108dd17f8d0c,0,0,[],2033.922233039999,selected batch final wall,UNAVAILABLE,UNAVAILABLE,,,sum of first-to-last host visible-affinity CPU tick deltas across original and selected recovery sample fragments; no wall weighting; inter-fragment gaps and unsampled start/end tails excluded; concurrent host activity included,UNAVAILABLE,17825808384,UNAVAILABLE,17167241216,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,null,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,selected persisted batch component timings only; absent values unavailable,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,selected result archive passes only; successful component timings may cover original and recovery attempts,32.42590057699999,UNAVAILABLE,32.42590057699999,0.28535245294782374,261.69984775800185,UNAVAILABLE,261.69984775800185,0.3266068376615479,1349.3205289750003,UNAVAILABLE,1349.3205289750003,0.11809467764569023,390.38328222999917,UNAVAILABLE,390.38328222999917,0.02031683752299989,selected saved phase wall plus omitted fragment within-phase sampled spans; transition gaps and unsaved tails not allocated
6,PASS,<CANONICAL541_V2_ROOT>/BATCHES/BATCH_006/BATCH_RESULT.json,256,197,59,0,512,256,0,1631.4230295820016,batch,,,24,22,22,UNAVAILABLE,21340442624,0.13253944006791032,0.02132357091383545,True,17561554944,16931737600,23645843456,5227937792,9593,23617848939,737a0fb5a4a5418500824855b89b0d25af69824a,ea478eea88aaf9739823dfc152fa108dd17f8d0c,0,0,[],1631.4230295820016,selected batch final wall,UNAVAILABLE,UNAVAILABLE,,,sum of first-to-last host visible-affinity CPU tick deltas across original and selected recovery sample fragments; no wall weighting; inter-fragment gaps and unsampled start/end tails excluded; concurrent host activity included,UNAVAILABLE,17561554944,UNAVAILABLE,16931737600,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,null,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,selected persisted batch component timings only; absent values unavailable,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,selected result archive passes only; successful component timings may cover original and recovery attempts,31.40457496199815,UNAVAILABLE,31.40457496199815,0.2827307192519458,256.62556790599774,UNAVAILABLE,256.62556790599774,0.32639931339659833,1025.4828292580023,UNAVAILABLE,1025.4828292580023,0.1140778658940924,317.82580146599867,UNAVAILABLE,317.82580146599867,0.02132357091383545,selected saved phase wall plus omitted fragment within-phase sampled spans; transition gaps and unsaved tails not allocated
7,PASS,<CANONICAL541_V2_ROOT>/BATCHES/BATCH_007/BATCH_RESULT.json,256,256,0,0,512,256,0,2036.727184381998,batch,,,24,22,22,UNAVAILABLE,20811395072,0.12948346256318258,0.020934095725262405,True,17045291008,16400093184,30351949824,6279135232,11404,30327707457,737a0fb5a4a5418500824855b89b0d25af69824a,ea478eea88aaf9739823dfc152fa108dd17f8d0c,0,0,[],2036.727184381998,selected batch final wall,UNAVAILABLE,UNAVAILABLE,,,sum of first-to-last host visible-affinity CPU tick deltas across original and selected recovery sample fragments; no wall weighting; inter-fragment gaps and unsampled start/end tails excluded; concurrent host activity included,UNAVAILABLE,17045291008,UNAVAILABLE,16400093184,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,null,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,selected persisted batch component timings only; absent values unavailable,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,selected result archive passes only; successful component timings may cover original and recovery attempts,31.19651826900008,UNAVAILABLE,31.19651826900008,0.2959073629721496,264.92170590000023,UNAVAILABLE,264.92170590000023,0.330634978401557,1354.4298328669975,UNAVAILABLE,1354.4298328669975,0.11745351207759314,386.096493953999,UNAVAILABLE,386.096493953999,0.020934095725262405,selected saved phase wall plus omitted fragment within-phase sampled spans; transition gaps and unsaved tails not allocated
8,PASS,<CANONICAL541_V2_ROOT>/IO_RECOVERY/IO_RECOVERY_20260912/BATCH_008_RECOVERY/BATCH_RESULT.json,256,256,0,0,512,256,0,433.67627953199553,recovery_only,1759.469879,433.67627953199553,24,REUSED,22,6,24001458176,0.005961365047808206,0.005962133099501569,True,1230815232,146178048,13615104,340262912,11443,30482617272,737a0fb5a4a5418500824855b89b0d25af69824a,ea478eea88aaf9739823dfc152fa108dd17f8d0c,0,0,[],2193.1461585319958,original batch8 recorded start-to-stop plus selected recovery final wall,UNAVAILABLE,UNAVAILABLE,,,sum of first-to-last host visible-affinity CPU tick deltas across original and selected recovery sample fragments; no wall weighting; inter-fragment gaps and unsampled start/end tails excluded; concurrent host activity included,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,null,1,0,0,"recorded successful ARCHIVED attempts only; deduplicated by (run_id,destination); failed/unrecorded attempt timing unavailable; operation walls may overlap across workers",0.09641527099302039,0.08989322599999999,0.13937638102652272,0.151263769,1.3821960010027396,0.04859499099999981,copy,1.7219411019977997,selected result archive passes only; successful component timings may cover original and recovery attempts,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,433.61816449400067,UNAVAILABLE,UNAVAILABLE,0.005962133099501569,selected saved phase wall plus omitted fragment within-phase sampled spans; transition gaps and unsaved tails not allocated
9,PASS,<CANONICAL541_V2_ROOT>/BATCHES/BATCH_009/BATCH_RESULT.json,256,247,9,0,512,256,0,2358.1806973420025,batch,,,24,22,22,6,24000413696,0.1041881058112849,0.009590883841707584,True,14002229248,13280698368,32895942656,6551240704,21057,32832305285,737a0fb5a4a5418500824855b89b0d25af69824a,ea478eea88aaf9739823dfc152fa108dd17f8d0c,0,0,[],2358.1806973420025,selected batch final wall,UNAVAILABLE,UNAVAILABLE,,,sum of first-to-last host visible-affinity CPU tick deltas across original and selected recovery sample fragments; no wall weighting; inter-fragment gaps and unsampled start/end tails excluded; concurrent host activity included,UNAVAILABLE,14002229248,UNAVAILABLE,13280698368,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,null,256,0,0,"recorded successful ARCHIVED attempts only; deduplicated by (run_id,destination); failed/unrecorded attempt timing unavailable; operation walls may overlap across workers",45.58042972902331,35.75945591400001,120.52554353190499,42.97163573100001,536.9643292518595,10.535360842000001,copy,129.9124804880048,selected result archive passes only; successful component timings may cover original and recovery attempts,28.464887438000005,UNAVAILABLE,28.464887438000005,0.29746078945834065,242.512996241996,UNAVAILABLE,242.512996241996,0.33878244254551243,1152.5184656689962,UNAVAILABLE,1152.5184656689962,0.12650266827933915,934.5744101550008,UNAVAILABLE,934.5744101550008,0.009590883841707584,selected saved phase wall plus omitted fragment within-phase sampled spans; transition gaps and unsaved tails not allocated
10,PASS,<CANONICAL541_V2_ROOT>/BATCHES/BATCH_010/BATCH_RESULT.json,256,256,0,0,512,256,0,2450.9172966360056,batch,,,24,22,20;21,6,22223540224,0.10205917157350193,0.00952979140897311,True,17072218112,16329019392,34059751424,6720847872,21528,33990660768,737a0fb5a4a5418500824855b89b0d25af69824a,ea478eea88aaf9739823dfc152fa108dd17f8d0c,0,0,[],2450.9172966360056,selected batch final wall,UNAVAILABLE,UNAVAILABLE,,,sum of first-to-last host visible-affinity CPU tick deltas across original and selected recovery sample fragments; no wall weighting; inter-fragment gaps and unsampled start/end tails excluded; concurrent host activity included,UNAVAILABLE,17072218112,UNAVAILABLE,16329019392,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,null,256,0,0,"recorded successful ARCHIVED attempts only; deduplicated by (run_id,destination); failed/unrecorded attempt timing unavailable; operation walls may overlap across workers",47.1063509376836,33.54978054000001,118.86853112396057,43.954206865999986,567.3726084371156,10.669063200999998,copy,133.96504576499865,selected result archive passes only; successful component timings may cover original and recovery attempts,31.790000460001465,UNAVAILABLE,31.790000460001465,0.29308771380892784,252.91519322000386,UNAVAILABLE,252.91519322000386,0.3258516001699673,1192.2318712850029,UNAVAILABLE,1192.2318712850029,0.12479019644075356,973.8591660349994,UNAVAILABLE,973.8591660349994,0.00952979140897311,selected saved phase wall plus omitted fragment within-phase sampled spans; transition gaps and unsaved tails not allocated
