evaluator_version,run_id,method_id,effective_configuration_id,case_id,horizontal_rmse_m,yaw_rmse_deg,yaw_p95_absolute_deg,up_rmse_m,position_3d_rmse_m
v3,RUN_00001,F01,single_antenna_EKF,C00_clean_normal,0.09177145533263088,8.089647422454789,12.27610934742262,0.04788054380877193,0.10351109355664635
v3,RUN_00002,F02,basic_dual_yaw_EKF,C00_clean_normal,0.10167042168391813,2.387502021110019,4.655190871138728,0.048059401787514736,0.11245701732466279
v3,RUN_00003,F03,AB0000,C00_clean_normal,0.09942874018593109,2.149759240837629,4.1455625467627115,0.04786529188581187,0.1103501723708457
v3,RUN_00004,F04,AB1111,C00_clean_normal,0.09833550004013293,2.102586167315052,4.006038149587637,0.049063986389418376,0.10989606602860731
v3,RUN_00005,A03,AB0111,C00_clean_normal,0.09847522816373407,2.105505983879497,4.011274320915989,0.048480987072923594,0.1097623645402397
v3,RUN_00006,A04,AB1011,C00_clean_normal,0.09788305204693296,2.116232431517562,4.011094923688486,0.05008585761522742,0.10995310369005244
v3,RUN_00007,A05,AB1101,C00_clean_normal,0.09934861183901708,2.142495659152857,4.136137083448499,0.04846576560455439,0.11053993445798353
v3,RUN_00008,A06,AB1110,C00_clean_normal,0.09840077868337765,2.1026043535494314,4.006002759690845,0.049063862581634546,0.10995442627254527
v3,RUN_00009,A07,AB1100,C00_clean_normal,0.09940664570877293,2.1425130368548366,4.1360596596485015,0.04846570808414467,0.1105920705618944
v3,RUN_00010,A08,AB1000,C00_clean_normal,0.09927202357740716,2.1494594930592696,4.1427785858783865,0.049451856181026946,0.11090726191238452
v3,RUN_00011,A09,AB0100,C00_clean_normal,0.09953171863064177,2.140686122857833,4.136626456102419,0.04785008286474118,0.11043637735697347
v2,RUN_00001,F01,single_antenna_EKF,C00_clean_normal,0.16370876455605474,8.089647422454789,12.27610934742262,0.3220045402437541,0.36123051301082143
v2,RUN_00002,F02,basic_dual_yaw_EKF,C00_clean_normal,0.16199576733266405,2.387502021110019,4.655190871138728,0.322614730809952,0.36100262210858863
v2,RUN_00003,F03,AB0000,C00_clean_normal,0.16075281247276993,2.149759240837629,4.1455625467627115,0.32202093768783296,0.35991519977246966
v2,RUN_00004,F04,AB1111,C00_clean_normal,0.16463851058060175,2.102586167315052,4.006038149587637,0.32325345979732867,0.3627652663047306
v2,RUN_00005,A03,AB0111,C00_clean_normal,0.16445875039983227,2.105505983879497,4.011274320915989,0.32309573647206263,0.3625431498587429
v2,RUN_00006,A04,AB1011,C00_clean_normal,0.16517094003705315,2.116232431517562,4.011094923688486,0.3235544541034858,0.363275273316157
v2,RUN_00007,A05,AB1101,C00_clean_normal,0.16095999996286645,2.142495659152857,4.136137083448499,0.32218120867594724,0.3601511527288789
v2,RUN_00008,A06,AB1110,C00_clean_normal,0.1646849174063171,2.1026043535494314,4.006002759690845,0.32325361821765136,0.3627864712360821
v2,RUN_00009,A07,AB1100,C00_clean_normal,0.16100313739082378,2.1425130368548366,4.1360596596485015,0.3221814045543118,0.36017060914277504
v2,RUN_00010,A08,AB1000,C00_clean_normal,0.16107283163830755,2.1494594930592696,4.1427785858783865,0.3223127850693883,0.3603192868986731
v2,RUN_00011,A09,AB0100,C00_clean_normal,0.16081255991034776,2.140686122857833,4.136626456102419,0.32202895123795017,0.3599490587018297
