evaluator_version,comparison,metric_name,metric_role,paired_sample_count,median_delta_candidate_minus_reference,median_ci95_low,median_ci95_high,win_rate,win_count,tie_count,loss_count,wilcoxon_p,bootstrap_n,bootstrap_seed,delta_definition,failure_aware_win_rate,failure_aware_win_rate_denominator,failure_aware_win_count,failure_aware_loss_count,failure_aware_tie_count,candidate_algorithm_failure_count,reference_algorithm_failure_count,both_algorithm_failure_count,technical_missing_count,evaluation_suspect_count,finite_metric_unavailable_count,denominator_policy
v3,full_vs_strong,horizontal_rmse_m,primary,523,-0.001096683881871216,-0.001107599967314632,-0.0010932401457981605,0.8795411089866156,460,0,63,4.089213695491062e-36,10000,20260904,candidate_minus_reference; negative_is_better,0.8632162661737524,541,467,68,6,11,13,6,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate
v3,full_vs_strong,yaw_rmse_deg,primary,523,-0.04717315123863042,-0.04722884105162617,-0.047173073522576825,0.9732313575525813,509,0,14,2.1809263537571274e-73,10000,20260904,candidate_minus_reference; negative_is_better,0.9537892791127541,541,516,19,6,11,13,6,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate
v3,full_vs_strong,yaw_p95_absolute_deg,primary,523,-0.1395243971750748,-0.13952505564051432,-0.1395243971750748,0.9789674952198852,512,0,11,7.072988653366094e-78,10000,20260904,candidate_minus_reference; negative_is_better,0.9593345656192237,541,519,16,6,11,13,6,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate
v3,full_vs_strong,up_rmse_m,secondary,523,0.0011986945036065039,0.0011986945036065039,0.001198783467344193,0.17973231357552583,94,0,429,1.7976092668015733e-17,10000,20260904,candidate_minus_reference; negative_is_better,0.1866913123844732,541,101,434,6,11,13,6,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate
v3,full_vs_strong,position_3d_rmse_m,secondary,523,-0.0004541814790363502,-0.00045812179981397083,-0.0004541063422383862,0.8183556405353728,428,0,95,1.0309547359538112e-24,10000,20260904,candidate_minus_reference; negative_is_better,0.8040665434380776,541,435,100,6,11,13,6,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate
v3,strong_vs_basic,horizontal_rmse_m,primary,528,-0.002298301593378467,-0.0026210318117438278,-0.002241681497987036,0.9015151515151515,476,0,52,6.254051168657045e-60,10000,20260904,candidate_minus_reference; negative_is_better,0.8798521256931608,541,476,65,0,13,0,0,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate
v3,strong_vs_basic,yaw_rmse_deg,primary,528,-0.23774278027239015,-0.23774278027239015,-0.23774278027239015,0.9356060606060606,494,0,34,1.982594841159595e-52,10000,20260904,candidate_minus_reference; negative_is_better,0.9131238447319778,541,494,47,0,13,0,0,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate
v3,strong_vs_basic,yaw_p95_absolute_deg,primary,528,-0.5096283243760169,-0.5096283243760169,-0.5096283243760169,0.9337121212121212,493,0,35,1.142277093109536e-53,10000,20260904,candidate_minus_reference; negative_is_better,0.911275415896488,541,493,48,0,13,0,0,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate
v3,strong_vs_basic,up_rmse_m,secondary,528,-0.00019418736485314267,-0.00019779655754482636,-0.00019410990170286302,0.9034090909090909,477,0,51,2.2114736706896885e-52,10000,20260904,candidate_minus_reference; negative_is_better,0.8817005545286506,541,477,64,0,13,0,0,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate
v3,strong_vs_basic,position_3d_rmse_m,secondary,528,-0.0021633647399792733,-0.0025207436483120544,-0.0021068449538170914,0.9015151515151515,476,0,52,2.8720408145499144e-60,10000,20260904,candidate_minus_reference; negative_is_better,0.8798521256931608,541,476,65,0,13,0,0,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate
v3,basic_vs_single,horizontal_rmse_m,primary,541,0.009898966351287244,0.009898966351287244,0.009925555533350158,0.07763401109057301,42,0,499,1.940512629030078e-74,10000,20260904,candidate_minus_reference; negative_is_better,0.07763401109057301,541,42,499,0,0,0,0,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate
v3,basic_vs_single,yaw_rmse_deg,primary,541,-5.70214540134477,-5.70214540134477,-5.70214540134477,0.9537892791127541,516,0,25,2.0976225833453105e-78,10000,20260904,candidate_minus_reference; negative_is_better,0.9537892791127541,541,516,25,0,0,0,0,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate
v3,basic_vs_single,yaw_p95_absolute_deg,primary,541,-7.620918476283892,-7.620918476283892,-7.620918476283892,0.9482439926062847,513,0,28,2.190277328910745e-74,10000,20260904,candidate_minus_reference; negative_is_better,0.9482439926062847,541,513,28,0,0,0,0,0,0,0,comparable terminals include algorithm failures and double-failure ties; technical/missing excluded and counted; all-registered sensitivity separate
