comparison,metric_name,metric_role,v1_protocol,v2_protocol,v1_finite_paired_count,v2_finite_paired_count,v1_median_delta,v2_median_delta,v1_win_rate,v2_win_rate,median_direction_status,win_direction_status,classification,v1_mean_ci95_low,v1_mean_ci95_high,v2_mean_ci95_low,v2_mean_ci95_high,v1_median_ci95_low,v1_median_ci95_high,v2_median_ci95_low,v2_median_ci95_high,full_case_comparison_complete,evaluator_version
A04_vs_F01,horizontal_rmse_m,primary,Canonical_541_v1,Canonical_541_protocol_v2_CAL,541,534,-0.002184013098215254,0.0059900744640894454,0.8872458410351202,0.20786516853932585,FLIPPED,FLIPPED,INCOMPLETE,-0.01472617575477245,-0.006335127315264121,-0.05251070760626963,0.012466659536956949,-0.0021945275819070242,-0.002184013098215254,0.005696762060210192,0.006065657467103289,False,v3
A04_vs_F01,position_3d_rmse_m,secondary,Canonical_541_v1,Canonical_541_protocol_v2_CAL,541,534,-0.0009905276092601056,0.006358918115123041,0.8964879852125693,0.23595505617977527,FLIPPED,FLIPPED,INCOMPLETE,-0.0125816328622742,-0.004484028426670907,-0.05234062424794394,0.01036563291798491,-0.0010028547477416438,-0.0009863698936066756,0.00612486231800486,0.0064242931356191454,False,v3
A04_vs_F01,up_rmse_m,secondary,Canonical_541_v1,Canonical_541_protocol_v2_CAL,541,534,-0.0001323812464480989,0.002205313806455493,0.9371534195933456,0.18164794007490637,FLIPPED,FLIPPED,INCOMPLETE,-0.003481696587637448,-0.0010256845121874966,-0.0024529918408748522,0.002720773331444116,-0.00013609528920610625,-0.00013116485241926323,0.002205313806455493,0.0022054805911361705,False,v3
A04_vs_F01,yaw_p95_absolute_deg,primary,Canonical_541_v1,Canonical_541_protocol_v2_CAL,541,534,-8.299384241017616,-8.262386692975708,0.9796672828096118,0.9887640449438202,MAINTAINED,MAINTAINED,INCOMPLETE,-12.019433824302642,-9.322882335456534,-14.193126226574048,-10.920077043022255,-8.299384241017616,-8.299384241017616,-8.264983963084102,-8.256469936818643,False,v3
A04_vs_F01,yaw_rmse_deg,primary,Canonical_541_v1,Canonical_541_protocol_v2_CAL,541,534,-4.993212109521214,-5.97175947187866,0.977818853974122,0.9906367041198502,MAINTAINED,MAINTAINED,INCOMPLETE,-8.151867070011264,-5.81130822406191,-10.594819942203495,-8.019675590721608,-4.993212109521214,-4.992879058242952,-5.973355152097448,-5.967899772436842,False,v3
A04_vs_F02,horizontal_rmse_m,primary,Canonical_541_v1,Canonical_541_protocol_v2_CAL,541,534,-0.0031622770030548253,-0.0038747616465310275,0.955637707948244,0.9063670411985019,MAINTAINED,MAINTAINED,INCOMPLETE,-0.19984012113490188,-0.07259143252605772,-0.47653843571901144,-0.20433915298446623,-0.0032259719558306865,-0.0031417578229815946,-0.004453979082939999,-0.003799940696428264,False,v3
A04_vs_F02,position_3d_rmse_m,secondary,Canonical_541_v1,Canonical_541_protocol_v2_CAL,541,534,-0.002754713084300975,-0.002608856429381738,0.9722735674676525,0.8895131086142322,MAINTAINED,MAINTAINED,INCOMPLETE,-0.1674601612575032,-0.05672910753186839,-0.5031323569114083,-0.2283764314535848,-0.002802800660761995,-0.002745024864371115,-0.0037605071401201617,-0.0025155001386481107,False,v3
A04_vs_F02,up_rmse_m,secondary,Canonical_541_v1,Canonical_541_protocol_v2_CAL,541,534,-0.0016309755199346299,0.0020264558277126865,0.9648798521256932,0.2958801498127341,FLIPPED,FLIPPED,INCOMPLETE,-0.009785301141387794,-0.005211245102239367,-0.10237985590375126,-0.059881241780045495,-0.0016330861320411616,-0.0016308766667169072,0.002025944583435149,0.0020264558277126865,False,v3
A04_vs_F02,yaw_p95_absolute_deg,primary,Canonical_541_v1,Canonical_541_protocol_v2_CAL,541,534,-0.9202200103025127,-0.6441298875684858,0.8724584103512015,0.9456928838951311,MAINTAINED,MAINTAINED,INCOMPLETE,-0.18016744456809836,1.6909667822648866,-3.9941270797115256,-0.9583475688273055,-0.9231504652866498,-0.9120536373080226,-0.6444087018066971,-0.6440959474502428,False,v3
A04_vs_F02,yaw_rmse_deg,primary,Canonical_541_v1,Canonical_541_protocol_v2_CAL,541,534,-0.4037874800773713,-0.27128358239389727,0.8761552680221811,0.9438202247191011,MAINTAINED,MAINTAINED,INCOMPLETE,0.034013685112863526,1.6280215434379313,-1.894578398143835,0.10137788090510957,-0.4043267814472671,-0.4007723131554437,-0.2713907437684657,-0.2712695895924573,False,v3
A04_vs_F03,horizontal_rmse_m,primary,Canonical_541_v1,Canonical_541_protocol_v2_CAL,541,526,-0.00014646267339729624,-0.0015456881389981358,0.8761552680221811,0.8954372623574145,MAINTAINED,MAINTAINED,INCOMPLETE,-0.0063483009922442055,-0.003040008368667895,-0.0572659587192058,0.010690598937689599,-0.00016257748432130237,-0.0001340509738952389,-0.001547640964913971,-0.0015456881389981358,False,v3
A04_vs_F03,position_3d_rmse_m,secondary,Canonical_541_v1,Canonical_541_protocol_v2_CAL,541,526,-0.00022874839941555702,-0.0003970686807932555,0.9482439926062847,0.7965779467680608,MAINTAINED,MAINTAINED,INCOMPLETE,-0.0049254803021925,-0.002486660234663228,-0.05639977633966175,0.009045706385750057,-0.0002370091244371375,-0.00022505507016190585,-0.0003970686807932555,-0.00039517397165141045,False,v3
A04_vs_F03,up_rmse_m,secondary,Canonical_541_v1,Canonical_541_protocol_v2_CAL,541,526,-0.000185944636680202,0.0022205657294155495,0.9759704251386322,0.16920152091254753,FLIPPED,FLIPPED,INCOMPLETE,-0.0010546763870743936,-0.0005976949098317889,-0.0021903503281043347,0.0031040275868504156,-0.00018618702920214503,-0.00018588869133051578,0.0022205657294155495,0.002220783319880487,False,v3
