run_id,runtime_seconds,solver_seconds,solver_output_bytes,solver_peak_rss_bytes,source_bytes,retained_bytes,retained_allocated_bytes,dataset_id,method_id,terminal_status,native_execution_code_commit,v3_evaluation_seconds,v2_evaluation_seconds,v3_evaluator_peak_rss_bytes,v2_evaluator_peak_rss_bytes
RUN_00001,12.684471610999935,7.438543800000161,70152149,,117674651,12784197,21757952,BY2,F01,COMPLETED,b26569185638fabdd2ad121fc25cf784d5a8fdb3,3.926643107000018,3.811821843999496,252833792,253054976
RUN_00002,13.2197688440001,7.442002972999944,70175152,,117722148,12796136,21757952,BY2,F02,COMPLETED,b26569185638fabdd2ad121fc25cf784d5a8fdb3,4.969988591999936,4.980832645999726,249446400,249180160
RUN_00003,13.868442436999885,7.743084110000154,70188844,,117734355,12795502,21757952,BY2,F03,COMPLETED,b26569185638fabdd2ad121fc25cf784d5a8fdb3,4.796860474000823,5.028521025999908,248418304,249212928
RUN_00004,35.01685151399988,10.053701309999951,74721109,,122237242,13185344,22282240,BY2,F04,COMPLETED,b26569185638fabdd2ad121fc25cf784d5a8fdb3,5.137040194999827,5.00556070499988,248315904,248950784
RUN_00005,33.495418224000105,9.760655871999916,73987193,,121500212,13093390,22282240,BY2,A03,COMPLETED,b26569185638fabdd2ad121fc25cf784d5a8fdb3,4.761422532999859,5.716698830000496,249233408,248733696
RUN_00006,34.55217913399997,10.05026485899998,70198519,,117620605,12777985,21757952,BY2,A04,COMPLETED,b26569185638fabdd2ad121fc25cf784d5a8fdb3,4.763037028999861,5.60838006799986,248631296,248242176
RUN_00007,29.26105936099998,8.526186086000052,73758443,,121306094,13122324,22282240,BY2,A05,COMPLETED,b26569185638fabdd2ad121fc25cf784d5a8fdb3,4.919544457000484,4.985013548999632,248434688,249004032
RUN_00008,27.869753444000025,7.948059802999978,73754799,,121272159,13122283,22282240,BY2,A06,COMPLETED,b26569185638fabdd2ad121fc25cf784d5a8fdb3,4.9888324949997696,5.013555636000092,248479744,248799232
RUN_00009,17.189982809999947,7.409260491000168,72792017,,120340150,13042746,22020096,BY2,A07,COMPLETED,b26569185638fabdd2ad121fc25cf784d5a8fdb3,5.025345479999487,5.063627344999986,248721408,249946112
RUN_00010,16.750937905,7.363290665000022,70191198,,117739764,12798154,21757952,BY2,A08,COMPLETED,b26569185638fabdd2ad121fc25cf784d5a8fdb3,5.078084566000143,4.974101362000511,249044992,248741888
