protocol_id,chain,dataset_id,case_id,run_id,method_id,effective_configuration_id,evaluator_version,evaluation_status,horizontal_rmse_m,position_3d_rmse_m,up_rmse_m,roll_rmse_deg,pitch_rmse_deg,yaw_rmse_deg,native_execution_code_commit,continuation_code_commit,eval_nav_sha256,native_nav_sha256,config_hash,evaluator_sha256,original_native_reused,synthetic_data_used,semisynthetic_data_used,trace_used_online
Canonical-541_protocol_v2_CAL,CAL,BY2,C00_clean_normal,RUN_00001,F01,single_antenna_EKF,v3,COMPLETED,0.09177145533263088,0.10351109355664635,0.04788054380877193,3.3312964026882526,2.933247658474164,8.089647422454789,b26569185638fabdd2ad121fc25cf784d5a8fdb3,737a0fb5a4a5418500824855b89b0d25af69824a,72408ef1a15b3f4878a76419ed7e267d7037453bf7891d8d660723b9e1baf623,c6e998618e492ecc429fa49c33c73976668c807e9d1dee1bd7a29e37eeafc3b1,8cd3ba50b9c6f49b3697931a517e29d85b63def9967d55e4868d92a73c6a71c2,aa0492482b6467cdd701bc8882aca11c4170bbe2e7c6bb5f932679dc204978da,True,False,False,False
Canonical-541_protocol_v2_CAL,CAL,BY2,C00_clean_normal,RUN_00002,F02,basic_dual_yaw_EKF,v3,COMPLETED,0.10167042168391813,0.11245701732466279,0.048059401787514736,3.3391608671104804,2.9183781859514593,2.387502021110019,b26569185638fabdd2ad121fc25cf784d5a8fdb3,737a0fb5a4a5418500824855b89b0d25af69824a,24230c3402d65cdd89173a009f748537dc06d5cfc1a6b7e493e3b073843403e3,cc751b65f38e672d91a387a84162cb57972b785216afb0ca3388f5281fbeed18,a90e6548be7c3942a3f3490f65e244fd74563fab5fa37cd2f907ed2a441cb2f8,aa0492482b6467cdd701bc8882aca11c4170bbe2e7c6bb5f932679dc204978da,True,False,False,False
Canonical-541_protocol_v2_CAL,CAL,BY2,C00_clean_normal,RUN_00003,F03,AB0000,v3,COMPLETED,0.09942874018593109,0.1103501723708457,0.04786529188581187,3.328437092242988,2.924679884999832,2.149759240837629,b26569185638fabdd2ad121fc25cf784d5a8fdb3,737a0fb5a4a5418500824855b89b0d25af69824a,6754f73e83ef6a5ece50efcf8eb287955bf429b4235799659a59bdd738955a1b,09a3b31e0343ba207ea855f7e786ee2b716861a0d7d4469b562a90d4d4968b08,77ecff4050cc9f9ca836c02cc7db96ef3ebd069d06a8f14191c38648191167e7,aa0492482b6467cdd701bc8882aca11c4170bbe2e7c6bb5f932679dc204978da,True,False,False,False
Canonical-541_protocol_v2_CAL,CAL,BY2,C00_clean_normal,RUN_00004,F04,AB1111,v3,COMPLETED,0.09833550004013293,0.10989606602860731,0.049063986389418376,2.217055880143145,2.282258852487293,2.102586167315052,b26569185638fabdd2ad121fc25cf784d5a8fdb3,737a0fb5a4a5418500824855b89b0d25af69824a,1bde8a23bb146185061c52918a6bd4c26a21302d5ab00592aab8b360ba650389,0c875d12bdae70bda9bb549f4af61e23e004c688f803e138f15619c0393354fa,12c5a879527d074f768e6fde4008493dbbff1fd86a92b76fa64a06ba5ae8002a,aa0492482b6467cdd701bc8882aca11c4170bbe2e7c6bb5f932679dc204978da,True,False,False,False
Canonical-541_protocol_v2_CAL,CAL,BY2,C00_clean_normal,RUN_00005,A03,AB0111,v3,COMPLETED,0.09847522816373407,0.1097623645402397,0.048480987072923594,2.2163053729766062,2.2821777719999243,2.105505983879497,b26569185638fabdd2ad121fc25cf784d5a8fdb3,737a0fb5a4a5418500824855b89b0d25af69824a,4ed7a51973e8e18896af7fa20e306dd570679f9f0c88d68e7170d8fa177ccd86,ca70276cf2914d2e37e5b6301bea15aa5185ecdb87f1becfc11ce0a386d5a513,2c0c62dca58132b7dceff57aaf2b49ea93f245fc97f052ac6df9034dc239e9f2,aa0492482b6467cdd701bc8882aca11c4170bbe2e7c6bb5f932679dc204978da,True,False,False,False
Canonical-541_protocol_v2_CAL,CAL,BY2,C00_clean_normal,RUN_00006,A04,AB1011,v3,COMPLETED,0.09788305204693296,0.10995310369005244,0.05008585761522742,2.0290233744825077,2.1609250205925097,2.116232431517562,b26569185638fabdd2ad121fc25cf784d5a8fdb3,737a0fb5a4a5418500824855b89b0d25af69824a,92d00d290a3e0af2c739eb32f0e6c116a5bc688858b165272bbc649d807e72cb,f67610da97c1733e28196db743e4e837bc4a46dca4b29448198b0293c6a72503,351e259bed8a675c91c4816c4fba4672f0fdbbea79329cbfd24e9103d313d981,aa0492482b6467cdd701bc8882aca11c4170bbe2e7c6bb5f932679dc204978da,True,False,False,False
Canonical-541_protocol_v2_CAL,CAL,BY2,C00_clean_normal,RUN_00007,A05,AB1101,v3,COMPLETED,0.09934861183901708,0.11053993445798353,0.04846576560455439,3.330160859334535,2.925179009292021,2.142495659152857,b26569185638fabdd2ad121fc25cf784d5a8fdb3,737a0fb5a4a5418500824855b89b0d25af69824a,c156d1f94b67e0a40d7f60f160d28db5ab2eb957c1888145f948aa3d74570911,94dd822982c438310695e025c0ef0b9c8e69f82baabebd864a146672af718ae0,c06391e2dcf2dc30d82d9f1ecbde618d590b71a152d20b0bfdc85f0c2bc2e5b6,aa0492482b6467cdd701bc8882aca11c4170bbe2e7c6bb5f932679dc204978da,True,False,False,False
Canonical-541_protocol_v2_CAL,CAL,BY2,C00_clean_normal,RUN_00008,A06,AB1110,v3,COMPLETED,0.09840077868337765,0.10995442627254527,0.049063862581634546,2.21706980119239,2.2822898116479906,2.1026043535494314,b26569185638fabdd2ad121fc25cf784d5a8fdb3,737a0fb5a4a5418500824855b89b0d25af69824a,f70f64e24df2a4b3908661a23e6cab09f21f0cdc72ef70e0022fd039f175573b,dbf919f45d42cc23e4bb3b64a731a26a0836c795407f5e48fc7bc71a0f638a30,76b20c63c179da9432294b38ca8528887971f2a3a1bd842b58965fef1dab1c63,aa0492482b6467cdd701bc8882aca11c4170bbe2e7c6bb5f932679dc204978da,True,False,False,False
Canonical-541_protocol_v2_CAL,CAL,BY2,C00_clean_normal,RUN_00009,A07,AB1100,v3,COMPLETED,0.09940664570877293,0.1105920705618944,0.04846570808414467,3.3301791220497057,2.92525025153227,2.1425130368548366,b26569185638fabdd2ad121fc25cf784d5a8fdb3,737a0fb5a4a5418500824855b89b0d25af69824a,8800aa0533bf683ebaf360dc56f770e47e9d2e30b297569089f7d8f5cc1f6d82,a54fbc9bde21b8a60738547bbfe42c3fdf9ef79a670af68dcd4bd8c383fd7eaa,4d1969e7e8df583a277dcf210631b767c80c1058230d531e363b5ea2dd304b9e,aa0492482b6467cdd701bc8882aca11c4170bbe2e7c6bb5f932679dc204978da,True,False,False,False
Canonical-541_protocol_v2_CAL,CAL,BY2,C00_clean_normal,RUN_00010,A08,AB1000,v3,COMPLETED,0.09927202357740716,0.11090726191238452,0.049451856181026946,3.32893325637854,2.9243624275567828,2.1494594930592696,b26569185638fabdd2ad121fc25cf784d5a8fdb3,737a0fb5a4a5418500824855b89b0d25af69824a,cecdaa610cb4141431bc46298259e75559ab625257cd2a84a144b43ca5ae507e,ae98dd39401ddfc5ccb062a529998892775f209794f560b56234c93a5b214eb1,1a6b9f978807342c6ab029ba67dd79ef548b7b19f599dabbeeea7ff04dc72640,aa0492482b6467cdd701bc8882aca11c4170bbe2e7c6bb5f932679dc204978da,True,False,False,False
Canonical-541_protocol_v2_CAL,CAL,BY2,C00_clean_normal,RUN_00011,A09,AB0100,v3,COMPLETED,0.09953171863064177,0.11043637735697347,0.04785008286474118,3.3283487456237633,2.9248326059135086,2.140686122857833,b26569185638fabdd2ad121fc25cf784d5a8fdb3,737a0fb5a4a5418500824855b89b0d25af69824a,ea294b9c95bb1c3cf50ed2c1d2e5f79623a95b61852e11dd25ed3099613b736f,e5bbcaed1157578e37492aca9f36749b1e8eaf218c1ffa0f849ef298be581785,4a7b0c3b6ddd1a08721eb8a972181c0667fc6404f9942e6356d523ecde0a02df,aa0492482b6467cdd701bc8882aca11c4170bbe2e7c6bb5f932679dc204978da,True,False,False,False
Canonical-541_protocol_v2_CAL,CAL,BY2,C00_clean_normal,RUN_00001,F01,single_antenna_EKF,v2,COMPLETED,0.16370876455605474,0.36123051301082143,0.3220045402437541,3.3312964026882526,2.933247658474164,8.089647422454789,b26569185638fabdd2ad121fc25cf784d5a8fdb3,737a0fb5a4a5418500824855b89b0d25af69824a,c6e998618e492ecc429fa49c33c73976668c807e9d1dee1bd7a29e37eeafc3b1,c6e998618e492ecc429fa49c33c73976668c807e9d1dee1bd7a29e37eeafc3b1,8cd3ba50b9c6f49b3697931a517e29d85b63def9967d55e4868d92a73c6a71c2,aa0492482b6467cdd701bc8882aca11c4170bbe2e7c6bb5f932679dc204978da,True,False,False,False
Canonical-541_protocol_v2_CAL,CAL,BY2,C00_clean_normal,RUN_00002,F02,basic_dual_yaw_EKF,v2,COMPLETED,0.16199576733266405,0.36100262210858863,0.322614730809952,3.3391608671104804,2.9183781859514593,2.387502021110019,b26569185638fabdd2ad121fc25cf784d5a8fdb3,737a0fb5a4a5418500824855b89b0d25af69824a,cc751b65f38e672d91a387a84162cb57972b785216afb0ca3388f5281fbeed18,cc751b65f38e672d91a387a84162cb57972b785216afb0ca3388f5281fbeed18,a90e6548be7c3942a3f3490f65e244fd74563fab5fa37cd2f907ed2a441cb2f8,aa0492482b6467cdd701bc8882aca11c4170bbe2e7c6bb5f932679dc204978da,True,False,False,False
Canonical-541_protocol_v2_CAL,CAL,BY2,C00_clean_normal,RUN_00003,F03,AB0000,v2,COMPLETED,0.16075281247276993,0.35991519977246966,0.32202093768783296,3.328437092242988,2.924679884999832,2.149759240837629,b26569185638fabdd2ad121fc25cf784d5a8fdb3,737a0fb5a4a5418500824855b89b0d25af69824a,09a3b31e0343ba207ea855f7e786ee2b716861a0d7d4469b562a90d4d4968b08,09a3b31e0343ba207ea855f7e786ee2b716861a0d7d4469b562a90d4d4968b08,77ecff4050cc9f9ca836c02cc7db96ef3ebd069d06a8f14191c38648191167e7,aa0492482b6467cdd701bc8882aca11c4170bbe2e7c6bb5f932679dc204978da,True,False,False,False
Canonical-541_protocol_v2_CAL,CAL,BY2,C00_clean_normal,RUN_00004,F04,AB1111,v2,COMPLETED,0.16463851058060175,0.3627652663047306,0.32325345979732867,2.217055880143145,2.282258852487293,2.102586167315052,b26569185638fabdd2ad121fc25cf784d5a8fdb3,737a0fb5a4a5418500824855b89b0d25af69824a,0c875d12bdae70bda9bb549f4af61e23e004c688f803e138f15619c0393354fa,0c875d12bdae70bda9bb549f4af61e23e004c688f803e138f15619c0393354fa,12c5a879527d074f768e6fde4008493dbbff1fd86a92b76fa64a06ba5ae8002a,aa0492482b6467cdd701bc8882aca11c4170bbe2e7c6bb5f932679dc204978da,True,False,False,False
Canonical-541_protocol_v2_CAL,CAL,BY2,C00_clean_normal,RUN_00005,A03,AB0111,v2,COMPLETED,0.16445875039983227,0.3625431498587429,0.32309573647206263,2.2163053729766062,2.2821777719999243,2.105505983879497,b26569185638fabdd2ad121fc25cf784d5a8fdb3,737a0fb5a4a5418500824855b89b0d25af69824a,ca70276cf2914d2e37e5b6301bea15aa5185ecdb87f1becfc11ce0a386d5a513,ca70276cf2914d2e37e5b6301bea15aa5185ecdb87f1becfc11ce0a386d5a513,2c0c62dca58132b7dceff57aaf2b49ea93f245fc97f052ac6df9034dc239e9f2,aa0492482b6467cdd701bc8882aca11c4170bbe2e7c6bb5f932679dc204978da,True,False,False,False
Canonical-541_protocol_v2_CAL,CAL,BY2,C00_clean_normal,RUN_00006,A04,AB1011,v2,COMPLETED,0.16517094003705315,0.363275273316157,0.3235544541034858,2.0290233744825077,2.1609250205925097,2.116232431517562,b26569185638fabdd2ad121fc25cf784d5a8fdb3,737a0fb5a4a5418500824855b89b0d25af69824a,f67610da97c1733e28196db743e4e837bc4a46dca4b29448198b0293c6a72503,f67610da97c1733e28196db743e4e837bc4a46dca4b29448198b0293c6a72503,351e259bed8a675c91c4816c4fba4672f0fdbbea79329cbfd24e9103d313d981,aa0492482b6467cdd701bc8882aca11c4170bbe2e7c6bb5f932679dc204978da,True,False,False,False
