dataset_id,case_family,degradation_id,algorithm_failure_all_yaw_rejected
BY2,clean,CLEAN,0
BY2,dual_yaw,D30,0
BY2,dual_yaw,D31,0
BY2,dual_yaw,D32,0
BY2,dual_yaw,D33,0
BY2,dual_yaw,D34,0
BY2,dual_yaw,D35,0
BY2,dual_yaw,D36,0
BY2,dual_yaw,D37,0
BY2,dual_yaw,D38,0
BY2,dual_yaw,D39,0
BY2,dual_yaw,D40,0
BY2,dual_yaw,D41,0
BY2,gnss_outage,D01,0
BY2,gnss_outage,D02,0
BY2,gnss_outage,D03,0
BY2,gnss_outage,D04,0
BY2,gnss_outage,D05,0
BY2,gnss_outage,D06,0
BY2,gnss_outage,D07,0
BY2,gnss_sampling,D08,0
BY2,gnss_sampling,D09,0
BY2,gnss_sampling,D10,0
BY2,gnss_sampling,D11,0
BY2,gnss_sampling,D12,0
BY2,go2_prior_metadata,D51,0
BY2,go2_prior_metadata,D52,0
BY2,go2_prior_metadata,D53,0
BY2,go2_prior_metadata,D54,0
BY2,go2_prior_metadata,D55,0
BY2,go2_prior_metadata,D56,0
BY2,multi_source_mixed,D57,0
BY2,multi_source_mixed,D58,0
BY2,multi_source_mixed,D59,0
BY2,multi_source_mixed,D60,0
BY2,position_std_status,D23,0
BY2,position_std_status,D24,0
BY2,position_std_status,D25,0
BY2,position_std_status,D26,0
BY2,position_std_status,D27,0
BY2,position_std_status,D28,0
BY2,position_std_status,D29,0
BY2,position_value,D13,0
BY2,position_value,D14,34
BY2,position_value,D15,25
BY2,position_value,D16,0
BY2,position_value,D17,0
BY2,position_value,D18,0
BY2,position_value,D19,0
BY2,position_value,D20,0
BY2,position_value,D21,0
BY2,position_value,D22,0
BY2,velocity_raw_doppler,D42,0
BY2,velocity_raw_doppler,D43,0
BY2,velocity_raw_doppler,D44,0
BY2,velocity_raw_doppler,D45,0
BY2,velocity_raw_doppler,D46,0
BY2,velocity_raw_doppler,D47,0
BY2,velocity_raw_doppler,D48,0
BY2,velocity_raw_doppler,D49,0
BY2,velocity_raw_doppler,D50,0
BY2H,natural_sequence,CLEAN,0
BY2O,natural_sequence,CLEAN,0
