dataset_id,case_family,degradation_id,method_id,effective_configuration_id,terminal_status,run_count
BY2,clean,CLEAN,A03,AB0111,COMPLETED,1
BY2,clean,CLEAN,A04,AB1011,COMPLETED,1
BY2,clean,CLEAN,A05,AB1101,COMPLETED,1
BY2,clean,CLEAN,A06,AB1110,COMPLETED,1
BY2,clean,CLEAN,A07,AB1100,COMPLETED,1
BY2,clean,CLEAN,A08,AB1000,COMPLETED,1
BY2,clean,CLEAN,A09,AB0100,COMPLETED,1
BY2,clean,CLEAN,F01,single_antenna_EKF,COMPLETED,1
BY2,clean,CLEAN,F02,basic_dual_yaw_EKF,COMPLETED,1
BY2,clean,CLEAN,F03,AB0000,COMPLETED,1
BY2,clean,CLEAN,F04,AB1111,COMPLETED,1
BY2,gnss_outage,D01,A03,AB0111,COMPLETED,9
BY2,gnss_outage,D01,A04,AB1011,COMPLETED,9
BY2,gnss_outage,D01,A05,AB1101,COMPLETED,9
BY2,gnss_outage,D01,A06,AB1110,COMPLETED,9
BY2,gnss_outage,D01,A07,AB1100,COMPLETED,9
BY2,gnss_outage,D01,A08,AB1000,COMPLETED,9
BY2,gnss_outage,D01,A09,AB0100,COMPLETED,9
BY2,gnss_outage,D01,F01,single_antenna_EKF,COMPLETED,9
BY2,gnss_outage,D01,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,gnss_outage,D01,F03,AB0000,COMPLETED,9
BY2,gnss_outage,D01,F04,AB1111,COMPLETED,9
BY2,gnss_outage,D02,A03,AB0111,COMPLETED,9
BY2,gnss_outage,D02,A04,AB1011,COMPLETED,9
BY2,gnss_outage,D02,A05,AB1101,COMPLETED,9
BY2,gnss_outage,D02,A06,AB1110,COMPLETED,9
BY2,gnss_outage,D02,A07,AB1100,COMPLETED,9
BY2,gnss_outage,D02,A08,AB1000,COMPLETED,9
BY2,gnss_outage,D02,A09,AB0100,COMPLETED,9
BY2,gnss_outage,D02,F01,single_antenna_EKF,COMPLETED,9
BY2,gnss_outage,D02,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,gnss_outage,D02,F03,AB0000,COMPLETED,9
BY2,gnss_outage,D02,F04,AB1111,COMPLETED,9
BY2,gnss_outage,D03,A03,AB0111,COMPLETED,9
BY2,gnss_outage,D03,A04,AB1011,COMPLETED,9
BY2,gnss_outage,D03,A05,AB1101,COMPLETED,9
BY2,gnss_outage,D03,A06,AB1110,COMPLETED,9
BY2,gnss_outage,D03,A07,AB1100,COMPLETED,9
BY2,gnss_outage,D03,A08,AB1000,COMPLETED,9
BY2,gnss_outage,D03,A09,AB0100,COMPLETED,9
BY2,gnss_outage,D03,F01,single_antenna_EKF,COMPLETED,9
BY2,gnss_outage,D03,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,gnss_outage,D03,F03,AB0000,COMPLETED,9
BY2,gnss_outage,D03,F04,AB1111,COMPLETED,9
BY2,gnss_outage,D04,A03,AB0111,COMPLETED,9
BY2,gnss_outage,D04,A04,AB1011,COMPLETED,9
BY2,gnss_outage,D04,A05,AB1101,COMPLETED,9
BY2,gnss_outage,D04,A06,AB1110,COMPLETED,9
BY2,gnss_outage,D04,A07,AB1100,COMPLETED,9
BY2,gnss_outage,D04,A08,AB1000,COMPLETED,9
BY2,gnss_outage,D04,A09,AB0100,COMPLETED,9
BY2,gnss_outage,D04,F01,single_antenna_EKF,COMPLETED,9
BY2,gnss_outage,D04,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,gnss_outage,D04,F03,AB0000,COMPLETED,9
BY2,gnss_outage,D04,F04,AB1111,COMPLETED,9
BY2,gnss_outage,D05,A03,AB0111,COMPLETED,9
BY2,gnss_outage,D05,A04,AB1011,COMPLETED,9
BY2,gnss_outage,D05,A05,AB1101,COMPLETED,9
BY2,gnss_outage,D05,A06,AB1110,COMPLETED,9
BY2,gnss_outage,D05,A07,AB1100,COMPLETED,9
BY2,gnss_outage,D05,A08,AB1000,COMPLETED,9
BY2,gnss_outage,D05,A09,AB0100,COMPLETED,9
BY2,gnss_outage,D05,F01,single_antenna_EKF,COMPLETED,9
BY2,gnss_outage,D05,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,gnss_outage,D05,F03,AB0000,COMPLETED,9
BY2,gnss_outage,D05,F04,AB1111,COMPLETED,9
BY2,gnss_outage,D06,A03,AB0111,COMPLETED,9
BY2,gnss_outage,D06,A04,AB1011,COMPLETED,9
BY2,gnss_outage,D06,A05,AB1101,COMPLETED,9
BY2,gnss_outage,D06,A06,AB1110,COMPLETED,9
BY2,gnss_outage,D06,A07,AB1100,COMPLETED,9
BY2,gnss_outage,D06,A08,AB1000,COMPLETED,9
BY2,gnss_outage,D06,A09,AB0100,COMPLETED,9
BY2,gnss_outage,D06,F01,single_antenna_EKF,COMPLETED,9
BY2,gnss_outage,D06,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,gnss_outage,D06,F03,AB0000,COMPLETED,9
BY2,gnss_outage,D06,F04,AB1111,COMPLETED,9
BY2,gnss_outage,D07,A03,AB0111,COMPLETED,9
BY2,gnss_outage,D07,A04,AB1011,COMPLETED,9
BY2,gnss_outage,D07,A05,AB1101,COMPLETED,9
BY2,gnss_outage,D07,A06,AB1110,COMPLETED,9
BY2,gnss_outage,D07,A07,AB1100,COMPLETED,9
BY2,gnss_outage,D07,A08,AB1000,COMPLETED,9
BY2,gnss_outage,D07,A09,AB0100,COMPLETED,9
BY2,gnss_outage,D07,F01,single_antenna_EKF,COMPLETED,9
BY2,gnss_outage,D07,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,gnss_outage,D07,F03,AB0000,COMPLETED,9
BY2,gnss_outage,D07,F04,AB1111,COMPLETED,9
BY2,gnss_sampling,D08,A03,AB0111,COMPLETED,9
BY2,gnss_sampling,D08,A04,AB1011,COMPLETED,9
BY2,gnss_sampling,D08,A05,AB1101,COMPLETED,9
BY2,gnss_sampling,D08,A06,AB1110,COMPLETED,9
BY2,gnss_sampling,D08,A07,AB1100,COMPLETED,9
BY2,gnss_sampling,D08,A08,AB1000,COMPLETED,9
BY2,gnss_sampling,D08,A09,AB0100,COMPLETED,9
BY2,gnss_sampling,D08,F01,single_antenna_EKF,COMPLETED,9
BY2,gnss_sampling,D08,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,gnss_sampling,D08,F03,AB0000,COMPLETED,9
BY2,gnss_sampling,D08,F04,AB1111,COMPLETED,9
BY2,gnss_sampling,D09,A03,AB0111,COMPLETED,9
BY2,gnss_sampling,D09,A04,AB1011,COMPLETED,9
BY2,gnss_sampling,D09,A05,AB1101,COMPLETED,9
BY2,gnss_sampling,D09,A06,AB1110,COMPLETED,9
BY2,gnss_sampling,D09,A07,AB1100,COMPLETED,9
BY2,gnss_sampling,D09,A08,AB1000,COMPLETED,9
BY2,gnss_sampling,D09,A09,AB0100,COMPLETED,9
BY2,gnss_sampling,D09,F01,single_antenna_EKF,COMPLETED,9
BY2,gnss_sampling,D09,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,gnss_sampling,D09,F03,AB0000,COMPLETED,9
BY2,gnss_sampling,D09,F04,AB1111,COMPLETED,9
BY2,gnss_sampling,D10,A03,AB0111,COMPLETED,9
BY2,gnss_sampling,D10,A04,AB1011,COMPLETED,9
BY2,gnss_sampling,D10,A05,AB1101,COMPLETED,9
BY2,gnss_sampling,D10,A06,AB1110,COMPLETED,9
BY2,gnss_sampling,D10,A07,AB1100,COMPLETED,9
BY2,gnss_sampling,D10,A08,AB1000,COMPLETED,9
BY2,gnss_sampling,D10,A09,AB0100,COMPLETED,9
BY2,gnss_sampling,D10,F01,single_antenna_EKF,COMPLETED,9
BY2,gnss_sampling,D10,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,gnss_sampling,D10,F03,AB0000,COMPLETED,9
BY2,gnss_sampling,D10,F04,AB1111,COMPLETED,9
BY2,gnss_sampling,D11,A03,AB0111,COMPLETED,9
BY2,gnss_sampling,D11,A04,AB1011,COMPLETED,9
BY2,gnss_sampling,D11,A05,AB1101,COMPLETED,9
BY2,gnss_sampling,D11,A06,AB1110,COMPLETED,9
BY2,gnss_sampling,D11,A07,AB1100,COMPLETED,9
BY2,gnss_sampling,D11,A08,AB1000,COMPLETED,9
BY2,gnss_sampling,D11,A09,AB0100,COMPLETED,9
BY2,gnss_sampling,D11,F01,single_antenna_EKF,COMPLETED,9
BY2,gnss_sampling,D11,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,gnss_sampling,D11,F03,AB0000,COMPLETED,9
BY2,gnss_sampling,D11,F04,AB1111,COMPLETED,9
BY2,gnss_sampling,D12,A03,AB0111,COMPLETED,9
BY2,gnss_sampling,D12,A04,AB1011,COMPLETED,9
BY2,gnss_sampling,D12,A05,AB1101,COMPLETED,9
BY2,gnss_sampling,D12,A06,AB1110,COMPLETED,9
BY2,gnss_sampling,D12,A07,AB1100,COMPLETED,9
BY2,gnss_sampling,D12,A08,AB1000,COMPLETED,9
BY2,gnss_sampling,D12,A09,AB0100,COMPLETED,9
BY2,gnss_sampling,D12,F01,single_antenna_EKF,COMPLETED,9
BY2,gnss_sampling,D12,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,gnss_sampling,D12,F03,AB0000,COMPLETED,9
BY2,gnss_sampling,D12,F04,AB1111,COMPLETED,9
BY2,position_value,D13,A03,AB0111,COMPLETED,9
BY2,position_value,D13,A04,AB1011,COMPLETED,9
BY2,position_value,D13,A05,AB1101,COMPLETED,9
BY2,position_value,D13,A06,AB1110,COMPLETED,9
BY2,position_value,D13,A07,AB1100,COMPLETED,9
BY2,position_value,D13,A08,AB1000,COMPLETED,9
BY2,position_value,D13,A09,AB0100,COMPLETED,9
BY2,position_value,D13,F01,single_antenna_EKF,COMPLETED,9
BY2,position_value,D13,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,position_value,D13,F03,AB0000,COMPLETED,9
BY2,position_value,D13,F04,AB1111,COMPLETED,9
BY2,position_value,D14,A03,AB0111,ALGORITHM_FAILURE_ALL_YAW_REJECTED,2
BY2,position_value,D14,A03,AB0111,COMPLETED,7
BY2,position_value,D14,A04,AB1011,ALGORITHM_FAILURE_ALL_YAW_REJECTED,2
BY2,position_value,D14,A04,AB1011,COMPLETED,7
BY2,position_value,D14,A05,AB1101,ALGORITHM_FAILURE_ALL_YAW_REJECTED,6
BY2,position_value,D14,A05,AB1101,COMPLETED,3
BY2,position_value,D14,A06,AB1110,ALGORITHM_FAILURE_ALL_YAW_REJECTED,2
BY2,position_value,D14,A06,AB1110,COMPLETED,7
BY2,position_value,D14,A07,AB1100,ALGORITHM_FAILURE_ALL_YAW_REJECTED,6
BY2,position_value,D14,A07,AB1100,COMPLETED,3
BY2,position_value,D14,A08,AB1000,ALGORITHM_FAILURE_ALL_YAW_REJECTED,4
BY2,position_value,D14,A08,AB1000,COMPLETED,5
BY2,position_value,D14,A09,AB0100,ALGORITHM_FAILURE_ALL_YAW_REJECTED,6
BY2,position_value,D14,A09,AB0100,COMPLETED,3
BY2,position_value,D14,F01,single_antenna_EKF,COMPLETED,9
BY2,position_value,D14,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,position_value,D14,F03,AB0000,ALGORITHM_FAILURE_ALL_YAW_REJECTED,4
BY2,position_value,D14,F03,AB0000,COMPLETED,5
BY2,position_value,D14,F04,AB1111,ALGORITHM_FAILURE_ALL_YAW_REJECTED,2
BY2,position_value,D14,F04,AB1111,COMPLETED,7
BY2,position_value,D15,A03,AB0111,ALGORITHM_FAILURE_ALL_YAW_REJECTED,3
BY2,position_value,D15,A03,AB0111,COMPLETED,6
BY2,position_value,D15,A04,AB1011,ALGORITHM_FAILURE_ALL_YAW_REJECTED,2
BY2,position_value,D15,A04,AB1011,COMPLETED,7
BY2,position_value,D15,A05,AB1101,ALGORITHM_FAILURE_ALL_YAW_REJECTED,3
BY2,position_value,D15,A05,AB1101,COMPLETED,6
BY2,position_value,D15,A06,AB1110,ALGORITHM_FAILURE_ALL_YAW_REJECTED,3
BY2,position_value,D15,A06,AB1110,COMPLETED,6
BY2,position_value,D15,A07,AB1100,ALGORITHM_FAILURE_ALL_YAW_REJECTED,3
BY2,position_value,D15,A07,AB1100,COMPLETED,6
BY2,position_value,D15,A08,AB1000,ALGORITHM_FAILURE_ALL_YAW_REJECTED,2
BY2,position_value,D15,A08,AB1000,COMPLETED,7
BY2,position_value,D15,A09,AB0100,ALGORITHM_FAILURE_ALL_YAW_REJECTED,2
BY2,position_value,D15,A09,AB0100,COMPLETED,7
BY2,position_value,D15,F01,single_antenna_EKF,COMPLETED,9
BY2,position_value,D15,F02,basic_dual_yaw_EKF,COMPLETED,9
BY2,position_value,D15,F03,AB0000,ALGORITHM_FAILURE_ALL_YAW_REJECTED,4
BY2,position_value,D15,F03,AB0000,COMPLETED,5
