evaluator_version,comparison,candidate_method_id,reference_method_id,metric_name,median_delta,median_ci95_lower,median_ci95_upper,win_rate,maintained_or_flipped,status
v3,full_vs_strong,F04,F03,horizontal_rmse_m,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,full_vs_strong,F04,F03,yaw_rmse_deg,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,full_vs_strong,F04,F03,yaw_p95_absolute_deg,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,full_vs_strong,F04,F03,up_rmse_m,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,full_vs_strong,F04,F03,position_3d_rmse_m,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,strong_vs_basic,F03,F02,horizontal_rmse_m,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,strong_vs_basic,F03,F02,yaw_rmse_deg,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,strong_vs_basic,F03,F02,yaw_p95_absolute_deg,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,strong_vs_basic,F03,F02,up_rmse_m,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,strong_vs_basic,F03,F02,position_3d_rmse_m,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,basic_vs_single,F02,F01,horizontal_rmse_m,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,basic_vs_single,F02,F01,yaw_rmse_deg,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,basic_vs_single,F02,F01,yaw_p95_absolute_deg,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,basic_vs_single,F02,F01,up_rmse_m,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,basic_vs_single,F02,F01,position_3d_rmse_m,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,full_vs_no_RD,F04,A03,horizontal_rmse_m,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,full_vs_no_RD,F04,A03,yaw_rmse_deg,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,full_vs_no_RD,F04,A03,yaw_p95_absolute_deg,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,full_vs_no_RD,F04,A03,up_rmse_m,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,full_vs_no_RD,F04,A03,position_3d_rmse_m,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,full_vs_no_SA,F04,A04,horizontal_rmse_m,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,full_vs_no_SA,F04,A04,yaw_rmse_deg,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,full_vs_no_SA,F04,A04,yaw_p95_absolute_deg,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,full_vs_no_SA,F04,A04,up_rmse_m,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,full_vs_no_SA,F04,A04,position_3d_rmse_m,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,full_vs_no_RP,F04,A05,horizontal_rmse_m,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,full_vs_no_RP,F04,A05,yaw_rmse_deg,,,,,,UNAVAILABLE_NOT_EVALUATED
v3,full_vs_no_RP,F04,A05,yaw_p95_absolute_deg,,,,,,UNAVAILABLE_NOT_EVALUATED
