path,original_line,original_term,action,original_sha256,replacement
AGENTS.md,313,same-source,inline_replaced,195e7ef6cde8732e48ba42de64480f6ca96b54d2a35e6d5a2f5e17f112bb61ec,the fused navigation solution output directly by the commercial low-cost dual-antenna GNSS/INS receiver (Fixposition Vision-RTK 2); the estimator under test never reads it (file-access audit)
AGENTS.md,744,same-source,inline_replaced,195e7ef6cde8732e48ba42de64480f6ca96b54d2a35e6d5a2f5e17f112bb61ec,the fused navigation solution output directly by the commercial low-cost dual-antenna GNSS/INS receiver (Fixposition Vision-RTK 2); the estimator under test never reads it (file-access audit)
AGENTS.md,756,same-source,inline_replaced,195e7ef6cde8732e48ba42de64480f6ca96b54d2a35e6d5a2f5e17f112bb61ec,the fused navigation solution output directly by the commercial low-cost dual-antenna GNSS/INS receiver (Fixposition Vision-RTK 2); the estimator under test never reads it (file-access audit)
AGENTS.md,1126,same-source,inline_replaced,195e7ef6cde8732e48ba42de64480f6ca96b54d2a35e6d5a2f5e17f112bb61ec,the fused navigation solution output directly by the commercial low-cost dual-antenna GNSS/INS receiver (Fixposition Vision-RTK 2); the estimator under test never reads it (file-access audit)
configs/paper_rebuild/clean2r2a_statistical_contract.yaml,40,same-source,companion_erratum,5c1f0bc9d551939af483e69f2c6a13191ccbc3b81125045382116f66d223b9b7,the fused navigation solution output directly by the commercial low-cost dual-antenna GNSS/INS receiver (Fixposition Vision-RTK 2); the estimator under test never reads it (file-access audit)
configs/paper_rebuild/clean5/CLEAN5_BY2H_SEQUENCE_CONTRACT.yaml,995,same-source,companion_erratum,64bf78d5d4241294922fbc6c18eaeb8ad4c2e40663ba8e5306ab67e1d07d4e19,the fused navigation solution output directly by the commercial low-cost dual-antenna GNSS/INS receiver (Fixposition Vision-RTK 2); the estimator under test never reads it (file-access audit)
configs/paper_rebuild/clean5/CLEAN5_BY2O_SEQUENCE_CONTRACT.yaml,1046,same-source,companion_erratum,bf42b2bee9ed96bd81d479bbb8b5533c58c6fce2ddbb5d9eabdeaf60cfd1144d,the fused navigation solution output directly by the commercial low-cost dual-antenna GNSS/INS receiver (Fixposition Vision-RTK 2); the estimator under test never reads it (file-access audit)
configs/paper_rebuild/evaluator_contract.yaml,5,same-source,companion_erratum,6c08726e4cd823e5c8f66164b617ccdf06cc1da8ccd975b1967412d57848ac9b,the fused navigation solution output directly by the commercial low-cost dual-antenna GNSS/INS receiver (Fixposition Vision-RTK 2); the estimator under test never reads it (file-access audit)
configs/paper_rebuild/publication/CANONICAL541_PUBLICATION_FIGURE_REGISTRY.csv,2,same-source,companion_erratum,4f4bb4b18548ef4c21e2691f82564824cfafbbe212d78e264396b593c6dee2d1,the fused navigation solution output directly by the commercial low-cost dual-antenna GNSS/INS receiver (Fixposition Vision-RTK 2); the estimator under test never reads it (file-access audit)
configs/paper_rebuild/publication/CANONICAL541_PUBLICATION_FIGURE_REGISTRY.csv,3,same-source,companion_erratum,4f4bb4b18548ef4c21e2691f82564824cfafbbe212d78e264396b593c6dee2d1,the fused navigation solution output directly by the commercial low-cost dual-antenna GNSS/INS receiver (Fixposition Vision-RTK 2); the estimator under test never reads it (file-access audit)
