category,method_id,config,sequence,start_mode,output_type,metric,value,denominator_or_valid_epochs,failure_flag,source,notes
dual_antenna_ambiguity_heading,EXT01,LIT,BY2,FILE_START,heading_only,availability,0.7153284671532847,980/1370,NONE,$HX02/RUNS/BY2__EXT01__LIT__C00__NA; OUTPUT_HASHES.json sha256=9988c7c6f2865e3145b9301ae061f0597d923de9e68a1af2bf11f2529b50ac26; RUNS/BY2__EXT01__LIT__C00__NA/eval/HEADING/OUTPUT/HEADING_METRICS.json sha256=0a49ea5cb923f1ea7fc6ed428749acb0a008adb7587cf0fcd916e52e59ba889c,method-native valid epochs / native paired epochs in window
dual_antenna_ambiguity_heading,EXT01,LIT,BY2,FILE_START,heading_only,valid_rmse_deg,120.36002862722869,scored=980/valid=980/denominator=1370,NONE,$HX02/RUNS/BY2__EXT01__LIT__C00__NA; OUTPUT_HASHES.json sha256=9988c7c6f2865e3145b9301ae061f0597d923de9e68a1af2bf11f2529b50ac26; RUNS/BY2__EXT01__LIT__C00__NA/eval/HEADING/OUTPUT/HEADING_METRICS.json sha256=0a49ea5cb923f1ea7fc6ed428749acb0a008adb7587cf0fcd916e52e59ba889c,wrap-safe error on valid epochs
dual_antenna_ambiguity_heading,EXT01,LIT,BY2,FILE_START,heading_only,valid_max_abs_deg,179.96605423608287,scored=980/valid=980/denominator=1370,NONE,$HX02/RUNS/BY2__EXT01__LIT__C00__NA; OUTPUT_HASHES.json sha256=9988c7c6f2865e3145b9301ae061f0597d923de9e68a1af2bf11f2529b50ac26; RUNS/BY2__EXT01__LIT__C00__NA/eval/HEADING/OUTPUT/HEADING_METRICS.json sha256=0a49ea5cb923f1ea7fc6ed428749acb0a008adb7587cf0fcd916e52e59ba889c,
dual_antenna_ambiguity_heading,EXT01,LIT,BY2,FILE_START,heading_only,valid_p95_abs_deg,178.25813978480625,scored=980/valid=980/denominator=1370,NONE,$HX02/RUNS/BY2__EXT01__LIT__C00__NA; OUTPUT_HASHES.json sha256=9988c7c6f2865e3145b9301ae061f0597d923de9e68a1af2bf11f2529b50ac26; RUNS/BY2__EXT01__LIT__C00__NA/eval/HEADING/OUTPUT/HEADING_METRICS.json sha256=0a49ea5cb923f1ea7fc6ed428749acb0a008adb7587cf0fcd916e52e59ba889c,
dual_antenna_ambiguity_heading,EXT01,LIT,BY2,FILE_START,heading_only,valid_circular_bias_deg,141.14029173810172,scored=980/valid=980/denominator=1370,NONE,$HX02/RUNS/BY2__EXT01__LIT__C00__NA; OUTPUT_HASHES.json sha256=9988c7c6f2865e3145b9301ae061f0597d923de9e68a1af2bf11f2529b50ac26; RUNS/BY2__EXT01__LIT__C00__NA/eval/HEADING/OUTPUT/HEADING_METRICS.json sha256=0a49ea5cb923f1ea7fc6ed428749acb0a008adb7587cf0fcd916e52e59ba889c,circular mean of the wrap-safe error
dual_antenna_ambiguity_heading,EXT01,LIT,BY2,FILE_START,heading_only,hold_rmse_deg,117.8666282180735,scored=1370/held=1370/denominator=1370,NONE,$HX02/RUNS/BY2__EXT01__LIT__C00__NA; OUTPUT_HASHES.json sha256=9988c7c6f2865e3145b9301ae061f0597d923de9e68a1af2bf11f2529b50ac26; RUNS/BY2__EXT01__LIT__C00__NA/eval/HEADING/OUTPUT/HEADING_METRICS.json sha256=0a49ea5cb923f1ea7fc6ed428749acb0a008adb7587cf0fcd916e52e59ba889c,hold last valid over the window; no_heading_epochs_before_first_valid=0 (not scored as zero)
dual_antenna_ambiguity_heading,EXT01,LIT,BY2,FILE_START,heading_only,hold_max_abs_deg,179.96605423608287,scored=1370/held=1370/denominator=1370,NONE,$HX02/RUNS/BY2__EXT01__LIT__C00__NA; OUTPUT_HASHES.json sha256=9988c7c6f2865e3145b9301ae061f0597d923de9e68a1af2bf11f2529b50ac26; RUNS/BY2__EXT01__LIT__C00__NA/eval/HEADING/OUTPUT/HEADING_METRICS.json sha256=0a49ea5cb923f1ea7fc6ed428749acb0a008adb7587cf0fcd916e52e59ba889c,
dual_antenna_ambiguity_heading,EXT01,LIT,BY2,FILE_START,heading_only,hold_p95_abs_deg,177.82246305811339,scored=1370/held=1370/denominator=1370,NONE,$HX02/RUNS/BY2__EXT01__LIT__C00__NA; OUTPUT_HASHES.json sha256=9988c7c6f2865e3145b9301ae061f0597d923de9e68a1af2bf11f2529b50ac26; RUNS/BY2__EXT01__LIT__C00__NA/eval/HEADING/OUTPUT/HEADING_METRICS.json sha256=0a49ea5cb923f1ea7fc6ed428749acb0a008adb7587cf0fcd916e52e59ba889c,
dual_antenna_ambiguity_heading,EXT01,LIT,BY2,FILE_START,heading_only,no_heading_epochs_before_first_valid,0,of 1370,NONE,$HX02/RUNS/BY2__EXT01__LIT__C00__NA; OUTPUT_HASHES.json sha256=9988c7c6f2865e3145b9301ae061f0597d923de9e68a1af2bf11f2529b50ac26; RUNS/BY2__EXT01__LIT__C00__NA/eval/HEADING/OUTPUT/HEADING_METRICS.json sha256=0a49ea5cb923f1ea7fc6ed428749acb0a008adb7587cf0fcd916e52e59ba889c,
dual_antenna_ambiguity_heading,EXT01,LIT,BY2,FILE_START,heading_only,valid_segment_count,12,valid=980,NONE,$HX02/RUNS/BY2__EXT01__LIT__C00__NA; OUTPUT_HASHES.json sha256=9988c7c6f2865e3145b9301ae061f0597d923de9e68a1af2bf11f2529b50ac26; RUNS/BY2__EXT01__LIT__C00__NA/eval/HEADING/OUTPUT/HEADING_METRICS.json sha256=0a49ea5cb923f1ea7fc6ed428749acb0a008adb7587cf0fcd916e52e59ba889c,segments split when accepted original epoch indices are nonconsecutive
