elapsed_s,raw_sensor_z_integral,installation_and_3d_rotation,saved_gyro_bias_effect,contact_update_rotation_effect,actual_native_yaw_increment,contact_switch_intervals
0,0.0,0.0,0.0,0.0,0.0,14
1,-0.9564112899077514,0.02196069909275411,-0.07222531453451353,0.5910971078286902,-0.4155787975207348,12
2,-1.644139169932545,0.024516407311725386,-0.12150889917937668,2.0986458710717835,0.35751420927212685,14
3,3.812975902863892,0.02551852467459309,-0.16391143723406287,1.1351730435139908,4.809756033818584,12
4,2.4592323279448562,0.04587737478914927,-0.21364714668915052,1.3454672263650533,3.6369297824100792,12
5,0.5834485795774635,0.038602880970016185,-0.26391820684114453,1.2664773054606846,1.6246105591674396,13
6,0.05615739731645131,0.016861212126479064,-0.30417038684923536,2.3994103954998294,2.1682586180942063,12
7,-1.493774237658823,0.00823414442719167,-0.3391437413401892,2.2164355138132965,0.39175167924224397,10
8,7.208625118394868,0.004048341859753057,-0.37939955874048437,1.2923310815222613,8.125604983037167,12
9,31.20349136193359,0.1078002583755927,-0.4485892681670709,-1.7876692629452706,29.075033089197536,12
10,30.46062475518332,0.08213059550963892,-0.583798911995757,-4.953838758344159,25.005117680353955,12
11,50.378643422680405,0.1278631615457767,-0.773977610302433,-7.116358831547153,42.61617014237736,14
12,75.33066644749502,0.17148872156729333,-0.9796990998728123,-7.992603567778635,66.5298525014119,15
13,87.96298532439094,0.1495672591318244,-1.195589915556921,-7.213276064194943,79.70368660377207,12
14,86.88930432919003,0.15450252335717446,-1.3984263632595617,-6.5828288922343585,79.06255159705407,10
15,86.30946369436026,0.13347307330207786,-1.6000482860211314,-5.891589951883853,78.95129852975839,10
16,90.60827713892735,0.1556562774951623,-1.7822318432651834,-5.233902275603626,83.7477992975548,12
17,86.54308252795343,0.16924783221748618,-1.9541107564828728,-5.013651848600637,79.74456775508848,11
18,88.77998612029708,0.2034132289567473,-2.1284936630773963,-5.522053493949165,81.33285219222766,7
19,88.7800086891665,0.21094095033950933,-2.3178790755586274,-6.613416304052599,80.05965425989541,15
20,88.57100423669597,0.19181669154136682,-2.535069710696563,-8.216868788175649,78.01088242936581,10
21,90.04496207429155,0.16351167203478778,-2.7634509722809177,-8.454725254859664,78.99029751918594,11
22,90.2821774410692,0.17105217640130155,-2.9954070138526774,-8.560130456783034,78.89769214683524,11
23,95.81839542723365,0.19854318484994699,-3.231152817305018,-9.483014001105873,83.30277179367344,11
24,96.76090842933966,0.22426860047959862,-3.4759405953161764,-9.457966664163191,84.05126977034033,10
25,96.03983287330227,0.22280114575164883,-3.7101311714931864,-7.918031053084045,84.63447179447707,12
26,94.96672624258606,0.23556719179102692,-3.9293114302304293,-7.698349843312866,83.57463216083431,13
27,92.70085662313903,0.295826439477044,-4.1500960012616055,-8.081198199577306,80.76538886177747,15
28,95.12004123843701,0.33861563091991476,-4.375937508115438,-8.255510681891966,82.82720867934961,13
29,90.94089679470214,0.33017338850493116,-4.6058057289025225,-8.2917376705046,78.37352678379949,13
30,90.36685365503627,0.33401951919577166,-4.821937532314482,-7.086487002834643,78.79244863908308,10
31,93.94918362057187,0.33664699244773943,-5.026586411556723,-6.4264328655341,82.83281133592853,15
32,93.23869639140732,0.33523797999294835,-5.222245734690269,-6.226257107639959,82.12543152906967,11
33,92.69399515590592,0.34921467519500193,-5.423043546973874,-6.899331671255975,80.7208346128707,9
34,91.32420143261001,0.38350632680535146,-5.641131776575927,-8.483817737386914,77.58275824545224,14
35,91.72114413959964,0.39468397478664197,-5.875846762389559,-9.653366169507256,76.58661518248913,14
36,92.37046413898577,0.3979415548235473,-6.117792664201245,-9.77957348177212,76.87103954783478,13
37,93.71094697800122,0.4205944540899199,-6.362295479024121,-9.823801149380794,77.94544480368556,12
38,93.79659553791042,0.3956459416834236,-6.595870721370515,-8.854998533117593,78.74137222510468,10
39,96.57069022779312,0.41871076889601966,-6.8205019351211575,-9.179601385242906,80.98929767632396,11
40,98.12597660198477,0.4264148196922716,-7.050728407712171,-9.627187538448803,81.87447547551533,12
41,96.90431494941113,0.4337330028441002,-7.289455287458376,-9.984362186219718,80.06423047857602,9
42,95.28670469779655,0.4386290970368393,-7.534583516882805,-9.757594534579418,78.43315574337005,12
43,94.04734727478969,0.45690471980212,-7.787279234061419,-10.27194855628509,76.44502420424455,10
44,92.89014323565277,0.4700455884289705,-8.039715322917386,-10.592469044541396,74.7280044566218,10
45,91.61558530316894,0.4633224855618405,-8.296102869979714,-10.590363393228477,73.19244152552132,12
46,91.87661848809088,0.47181605238349134,-8.552922371538578,-10.631700372890023,73.16381179604446,11
47,91.53701994335226,0.5071071459077978,-8.807930216840901,-10.569361351825473,72.66683552059231,12
48,90.4915545778718,0.5030256890715022,-9.061259772061497,-10.235569956723275,71.6977505381575,10
49,88.68530162289191,0.5031357974935978,-9.312473607362573,-10.309284434828063,69.56667937819417,13
50,88.70981965504448,0.4953511715090543,-9.568551423948986,-11.2975023401478,68.33911706245614,12
51,90.59727172220953,0.46561867844227867,-9.834986164563205,-11.816419088133399,69.41148514795465,13
52,90.86430548628118,0.4501003495757533,-10.10564129197445,-11.868390457823253,69.3403740860584,11
53,91.83354650761734,0.4717043957357582,-10.36921124822856,-11.469173412101018,70.46686624302285,11
54,92.42142192612394,0.446684634018794,-10.639279235222393,-12.673893143264594,69.55493418165503,7
55,90.63018021670057,0.44373140194503946,-10.914093931769631,-17.41690105224351,62.74291663463161,9
56,99.57892134727244,0.4284782852166822,-11.254645517215799,-17.62058368500688,71.13217043026508,13
57,92.69302678653244,0.42253705270875264,-11.59123403186458,-16.52441379934255,64.99991600803263,9
58,92.48828861870554,0.4625621750713107,-11.939313559010621,-18.2218753550051,62.78966187975962,11
59,95.39812333470225,0.49956501300869216,-12.309299214013965,-17.62327340184065,65.96511573185437,10
