elapsed_s,t_rel_s,err_n_m,err_e_m,err_u_m,yaw_error_ned_wrapped_deg,yaw_error_ned_unwrapped_deg,reference_yaw_increment_ned_deg,reference_path_m
0.0,66.0,0.7696840988541365,0.12603963332741433,-0.04053437329717702,3.0417823923138485,3.0417823923138485,-0.0,0.0
1.0,67.0,0.6713762589627463,0.10478569665239651,-0.04021933731756683,2.238870247089608,2.238870247089608,-1.0259551331362928,1.0483037266529374
2.0,68.0,0.4997883731160986,-0.07004813580465671,-0.03957031568958208,-1.0268997699852775,-1.0268997699852775,-1.6709824503670063,2.2182850636352605
3.0,69.0,0.3577356913120129,-0.17719436945349254,-0.03352294521504698,-1.9531898272847457,-1.9531898272847457,-2.7911222756050336,3.4103270067317206
4.0,70.0,0.22672840974553754,-0.021206438539132427,-0.06007075523630917,1.6710677965184004,1.6710677965184006,-2.909582987647397,4.608071644058405
5.0,71.0,0.07265229881656943,0.29630709831340385,-0.08397854203114125,4.651778017272591,4.651778017272591,-7.650574235006047,5.766879134335717
6.0,72.0,-0.07667197076268106,0.5400872234088342,-0.10077917583749979,5.750276061125703,5.750276061125703,-23.489428691953265,6.877302228756985
7.0,73.0,-0.2609891920155327,0.16850985973524235,0.011551110577700696,2.005014113959902,2.005014113959902,-29.071047458007584,8.014838638463315
8.0,74.0,-0.7653040370912816,-0.7753110389973907,0.1695891506212216,-6.944612633356826,-6.944612633356826,-51.07668475173398,9.108980314834383
9.0,75.0,-0.8082339434446268,-0.44119736411244004,0.13506746504230221,-4.291688938630358,-4.291688938630358,-54.84945581376874,10.276071847548854
10.0,76.0,-0.5600186662852646,0.5305619410882496,0.14624683537545874,0.09233422571449523,0.09233422571449525,-56.46761819154827,11.460991489720556
11.0,77.0,-0.06882967505348958,2.197078097650367,0.1402095385690833,13.062157761587912,13.062157761587912,-77.18081979835861,12.612252094567173
12.0,78.0,0.7173576488006521,5.71371998130789,0.15004857399414395,34.68955279714254,34.68955279714254,-85.76528801651295,13.775848526745706
13.0,79.0,0.684230779276227,10.116618293486574,0.18156922789351176,64.44271088654227,64.44271088654227,-92.77506729308047,14.940080741623458
