elapsed_s,err_e_m,err_n_m,err_u_m,horizontal_error_m,reference_path_m
0.0,-0.0720145731752469,0.5884062051621338,0.14668961163072503,0.5927967282491664,0.0
1.0,-0.06807124224777845,0.5695161733023195,0.10945946332845846,0.5735698437627919,0.3026506222667813
2.0,-0.046021057027001766,0.47699366485546346,0.09450289818056931,0.4792086121952826,1.004426773124875
3.0,-0.06508678223086084,0.33790920748145403,0.09579999534049097,0.3441205046519487,2.011775268977539
4.0,-0.021907514807124162,0.20615841891391984,0.0481543685914115,0.20731915708422033,3.162176538843661
5.0,-0.0028430937085245356,0.05522071687247454,-0.03363649625601476,0.05529385819189547,4.356025086776639
6.0,0.02137226691920502,-0.1708204577558572,-0.046527719598024465,0.17215226568705488,5.614274066277043
7.0,0.021355091312834418,-0.30715041791165554,-0.09224221038747457,0.30789189522993965,6.749925588293067
8.0,0.01360816255346975,-0.5035447018512027,-0.07611075160703121,0.503728546789338,7.922316271014142
9.0,0.13728537277305175,-0.6523244281727987,-0.11097650990905186,0.6666141561416203,8.945748437673387
10.0,0.18278451234602844,-0.7469168929009165,-0.15177838095439353,0.7689571007893317,10.002676463142267
11.0,0.2686084165109621,-0.8563851404055054,-0.16786408860292404,0.8975221390739526,11.142540450828568
12.0,0.4283983051658531,-0.9773517373587577,-0.18198150185852252,1.0671183282031835,12.287107047691988
13.0,0.6238817516246846,-1.0108108786955103,-0.2421095779853641,1.187841349886202,13.427787697962358
14.0,0.8073209534798282,-1.0111362788060934,-0.2378341093732425,1.2938947778878362,14.645625558752197
15.0,1.007236583786547,-1.0538224098295998,-0.2410502737172408,1.457761025400617,15.888890888726419
16.0,1.147160853803526,-1.019062159499649,-0.2649183948477405,1.5344268341707672,17.0228594720332
17.0,1.2595440233086785,-0.9240016797366994,-0.3624595377919244,1.5621236349306207,18.15731513775432
18.0,1.4629105131541849,-0.9658691492725282,-0.42917036420887844,1.7530003944704284,19.385710496688077
19.0,1.6540912796894496,-0.9323016331145855,-0.43511703021424536,1.8987375533898319,20.646649654968318
20.0,1.831295007876511,-0.9809763642334062,-0.47100416892465147,2.0774879140582314,21.898104988374207
21.0,1.957310805232952,-0.9370248290630272,-0.5048694763155828,2.170041731986337,23.135354507682546
22.0,2.0509408089368915,-0.9325563891068409,-0.5639990478316397,2.2530023569953714,24.395210750081954
23.0,2.1978816556799305,-0.95537183246811,-0.5945892774021699,2.3965431585197514,25.628737312025276
24.0,2.3369977772586825,-0.9035942277059359,-0.6194072804578143,2.505601951479027,26.823394681911623
25.0,2.5217188473861185,-0.8520803567952395,-0.6675959164513565,2.6617864076027358,28.063102255412296
26.0,2.688192670623504,-0.8936522481352611,-0.6907268950759721,2.8328420667222405,29.312300534653453
27.0,2.8768943419978577,-0.8674809034846849,-0.7531017465454392,3.0048367963884313,30.597376130725554
28.0,3.0442962406886522,-0.8788498184752349,-0.7607391448531341,3.168614303525283,31.82279368225872
29.0,3.184646021519466,-0.8410671789109703,-0.8155897784453537,3.293837318663601,33.035829426260904
30.0,3.347280412035307,-0.8186919124516123,-0.8335464813867678,3.4459458214413257,34.250239279031895
31.0,3.5058166718149018,-0.7577721613363515,-0.8575052895846339,3.586776991237632,35.47084584683734
32.0,3.630980578751327,-0.7154451385849754,-0.9376507193123683,3.7007947402678516,36.685439967656976
33.0,3.8004915756323463,-0.7254226159965089,-0.9582376628180947,3.869105088809511,37.93864110929067
34.0,3.972038249387328,-0.7369818955083698,-0.9741405712660144,4.039830462891118,39.20401337916674
35.0,4.086909795708522,-0.6951905025018412,-1.0301546096601122,4.145614732826367,40.4285387754289
36.0,4.266078248825291,-0.6746996058707406,-1.0474368366156495,4.319102126977596,41.733060651302104
37.0,4.425580846815507,-0.6950340107694597,-1.092754382410388,4.479825678285545,42.98289372068973
38.0,4.5590823171810335,-0.6450686285032248,-1.2045648382356242,4.6044918406173565,44.209590719886485
39.0,4.719752668048461,-0.6295995050081782,-1.1687925587536814,4.7615607508733,45.47742375055067
40.0,4.8649381901731275,-0.636964870242311,-1.1809925044139975,4.906459807246748,46.69232844402053
41.0,5.051216287203729,-0.588512554156635,-1.2082595443208712,5.0853842535753575,47.92911923279769
42.0,5.255532823957765,-0.5446072780115916,-1.2470862956737012,5.283675079995048,49.2089107943296
43.0,5.390400371722272,-0.5031249538050453,-1.2855781701854683,5.413829595268486,50.46469629701581
44.0,5.553990226122792,-0.46477791880352726,-1.3194496610027098,5.573403443648669,51.69230388055582
45.0,5.673590060111927,-0.46349700047774967,-1.3338256532430095,5.692490987226306,52.92766030570951
46.0,5.882293887760326,-0.45580730210263454,-1.400015085782557,5.899927260452672,54.207453205775806
47.0,6.061840024188619,-0.42960992896547623,-1.4306246100128075,6.077044443635476,55.436835512593525
48.0,6.218859366013177,-0.45252705360904066,-1.4351981349059018,6.235302121669639,56.68509433730278
49.0,6.3426366775159835,-0.40533632355967875,-1.4811609401098236,6.355575312917617,57.91701014052314
50.0,6.568443387774913,-0.3831403563937599,-1.5506573454272081,6.579608276417488,59.21371112468909
51.0,6.701901082945589,-0.36253270796186676,-1.5563881483724145,6.7116993444230975,60.470352365469914
52.0,6.852283228731103,-0.3336313465828713,-1.6008129509461602,6.86040052199376,61.70792982378003
53.0,7.031454641503018,-0.3188358758387757,-1.6409845195323722,7.038679612770865,62.98408273669012
54.0,7.182738963032968,-0.32443282691882125,-1.6316635138936444,7.190062285561541,64.25327066320702
55.0,7.394047913280723,-0.32555183154743794,-1.5771310861588337,7.401211288628025,65.49408869106735
56.0,7.572966172424962,-0.2767523268906764,-1.7192981769206663,7.578021410574939,66.7588499114285
57.0,7.695687321374493,-0.25963233789098084,-1.7066644218709708,7.7000657334364915,67.97577383617093
58.0,7.885663888749839,-0.26925934462756906,-1.7236993636967537,7.890259536986251,69.18096132012188
59.0,8.067890340244013,-0.2503680996021522,-1.7601641975983626,8.071774199486818,70.40419406676023
60.0,8.21428621756592,-0.20354457241212032,-1.7805819458045578,8.216807680422603,71.61290863378521
61.0,8.372735358775742,-0.16592936257970514,-1.7705739983049702,8.374379376494694,72.86374299480465
62.0,8.577620445714253,-0.1809161724302939,-1.8179943991499772,8.579528143912228,74.13965905704241
63.0,8.756711771314897,-0.12512045105049374,-1.853732616024502,8.757605618726842,75.4116704395714
64.0,8.943194583884129,-0.08568527945366711,-1.9662104540906928,8.943605052344914,76.66678930192431
65.0,9.11148862433366,-0.05968655678957191,-1.973223677534812,9.111684116365266,77.89119761436756
66.0,9.249734032646089,-0.034852684254138566,-1.9626819177546897,9.249799694279384,79.15045297140617
67.0,9.407929550181272,-0.012575766808954114,-1.9923959561529427,9.407937955316502,80.38061655727134
68.0,9.577753758792497,0.007562984029156894,-2.031781919742013,9.577756744811971,81.64280713807968
69.0,9.735076345736502,0.017762042005493583,-2.0950647926887798,9.735092549506376,82.90511963281998
70.0,9.954757471182972,0.04876672572160956,-2.1210108573372746,9.95487692056566,84.194692172641
71.0,10.073777934421642,0.08175290342252417,-2.1138446907176713,10.074109658389588,85.41271537815796
72.0,10.225136945486256,0.11053594064654426,-2.11635854785303,10.225734386738324,86.65045853357627
73.0,10.342957981459406,0.14409454364164453,-2.161613546341203,10.343961670643512,87.85945702524849
74.0,10.54139355719849,0.13683631568538068,-2.1684731499646808,10.54228164606866,89.13758332844176
75.0,10.731181407808862,0.19256162038315594,-2.191718083330603,10.73290894328966,90.397492014884
76.0,10.896775955584104,0.24057561723180498,-2.2362852825887076,10.899431308733604,91.67403683433484
77.0,11.031460708771021,0.23297570583374672,-2.2870018546584405,11.033920565631583,92.90687875865491
78.0,11.170164972675096,0.2576068109409384,-2.3547057768464437,11.17313504732762,94.17538562905537
79.0,11.312388353124092,0.30242433266061575,-2.395422244657312,11.316430123006231,95.4434513143046
80.0,11.505079416332805,0.3340869159605919,-2.428184599264964,11.509929037293881,96.71181473293962
81.0,11.682429896856078,0.35761096267092185,-2.4571357547281396,11.687902031398925,97.95586203008928
82.0,11.807410576375531,0.4149468185214502,-2.5089198059058,11.814699546806334,99.18172138165879
83.0,12.001721892814132,0.4039819733305894,-2.481067911624385,12.008519052207484,100.45348944805977
84.0,12.169144458965064,0.41782498927018175,-2.5249031102363637,12.176315312310976,101.70750783714438
