elapsed_s,err_e_m,err_n_m,err_u_m,horizontal_error_m,reference_path_m
0.0,-0.07079091326372819,0.36364811283894877,0.14954267629743545,0.37047443011905895,0.0
1.0,-0.06702705292718873,0.35440155796462086,0.11213835203651196,0.3606841972028365,0.3026506222667813
2.0,-0.044310820410661894,0.289833548764736,0.09730791457198942,0.2932011848458777,1.004426773124875
3.0,-0.06212124029487967,0.2104697549437713,0.09522914922113287,0.21944604403330065,2.011775268977539
4.0,-0.019756474734702184,0.12541892638899776,0.04759667090655873,0.1269654495936267,3.162176538843661
5.0,0.0003872291046043974,0.020417068191028953,-0.03574735504114617,0.020420739944883953,4.356025086776639
6.0,0.024874393309131188,-0.13723010874987107,-0.04498998180857638,0.13946626183417546,5.614274066277043
7.0,0.030520651543844285,-0.1904644890814584,-0.0895506615508419,0.19289435391353932,6.749925588293067
8.0,0.02827281931938172,-0.30102569245697364,-0.07821704494097242,0.3023504917003888,7.922316271014142
9.0,0.1226773934560339,-0.39827378781359535,-0.11469008590527274,0.41673943048931106,8.945748437673387
10.0,0.12619909653681383,-0.4210066680340958,-0.15690259644434956,0.4395143074984925,10.002676463142267
11.0,0.21130746958153934,-0.5111832399740948,-0.17269837259921272,0.5531357442177879,11.142540450828568
12.0,0.3415107019569179,-0.6124475778484104,-0.18970098725595252,0.7012286325896081,12.287107047691988
13.0,0.45209805379070556,-0.6334889194359103,-0.25238921928726765,0.7782678596019631,13.427787697962358
14.0,0.5501275510933494,-0.630895170874135,-0.24844465854065345,0.8370597583830379,14.645625558752197
15.0,0.6579525526216798,-0.6680611438589938,-0.251422918193124,0.9376605214231704,15.888890888726419
16.0,0.7354672789046663,-0.6370056223136942,-0.2809494385053341,0.9729790754166767,17.0228594720332
17.0,0.7974200727226561,-0.5430683528559967,-0.37948066507176353,0.9647808083988464,18.15731513775432
18.0,0.9153865587855723,-0.5817706679739185,-0.44826069949298436,1.0846149833558965,19.385710496688077
19.0,1.0436944734515752,-0.5484539158655526,-0.45022794437020097,1.1790249580656125,20.646649654968318
20.0,1.1354784889529181,-0.6005363408808897,-0.4891475623479293,1.2845058565819816,21.898104988374207
21.0,1.2086248218679359,-0.5567833297383107,-0.5248900750986816,1.3307071940550181,23.135354507682546
22.0,1.2947527965809549,-0.5515781175782699,-0.582555819564532,1.4073461635451996,24.395210750081954
23.0,1.4012148298459888,-0.5677700383724922,-0.6148067844148521,1.51187493393264,25.628737312025276
24.0,1.455144032343533,-0.5237076044818174,-0.6449153462472345,1.5465166697637243,26.823394681911623
25.0,1.5571614853926228,-0.48075084199135887,-0.6940732854647549,1.6296850197708637,28.063102255412296
26.0,1.6451844321018392,-0.5252122999513844,-0.7178218525449164,1.7269857485371656,29.312300534653453
27.0,1.752238255913042,-0.5008503487243914,-0.7801605156464095,1.8224132290187436,30.597376130725554
28.0,1.8351372912560109,-0.5147736635117415,-0.7884306558976965,1.9059697800342346,31.82279368225872
29.0,1.91565802979407,-0.48039407337822837,-0.8407949404961869,1.9749744689112883,33.035829426260904
30.0,2.013615153861334,-0.4545268770509203,-0.8563071683702405,2.0642772754215133,34.250239279031895
31.0,2.1133364420364025,-0.397201336043004,-0.8834138226233624,2.150339465896822,35.47084584683734
32.0,2.187636707468382,-0.35924723799848124,-0.9646700025130582,2.216937739737551,36.685439967656976
33.0,2.2957261772311917,-0.3721759056850331,-0.9816378089729824,2.3256985156285874,37.93864110929067
34.0,2.4068101028197475,-0.38381765350953856,-0.9972696444795087,2.4372219558712276,39.20401337916674
35.0,2.4574785251766578,-0.34420412579314963,-1.0562258880610575,2.4814667400385337,40.4285387754289
36.0,2.578423223114317,-0.3232129270598687,-1.069444648646912,2.5986021076174457,41.733060651302104
37.0,2.6565324136446122,-0.34411517974591455,-1.1177225619427342,2.6787272577991272,42.98289372068973
38.0,2.721687596720784,-0.29563593570842706,-1.230567014176773,2.737696838699631,44.209590719886485
39.0,2.8514692211316515,-0.28314050732340235,-1.194583391058901,2.865492150739293,45.47742375055067
40.0,2.9332416066142315,-0.29392893089017136,-1.20588464048867,2.947931569624213,46.69232844402053
41.0,3.021682529809496,-0.2471053988553713,-1.2380543578648382,3.031769514507887,47.92911923279769
42.0,3.1225464544035546,-0.211743939995781,-1.279856712447477,3.1297175361417438,49.2089107943296
43.0,3.1983290117208796,-0.17184266904796885,-1.3196175984918568,3.20294214279949,50.46469629701581
44.0,3.2758632073033453,-0.13802187410351507,-1.3535136916506303,3.278769554374752,51.69230388055582
45.0,3.3581866816083306,-0.13320595607986974,-1.3729558994508484,3.360827519416419,52.92766030570951
46.0,3.4904497129769467,-0.12542569599268738,-1.4382875092905816,3.492702507233632,54.207453205775806
47.0,3.5741170265398736,-0.09926961691954439,-1.4709614719321946,3.575495346975798,55.436835512593525
48.0,3.6438978136110336,-0.12012491136291636,-1.4766163305730655,3.645877297766509,56.68509433730278
49.0,3.729519991169319,-0.07305572895223733,-1.5248708336666885,3.73023544887777,57.91701014052314
50.0,3.835879532108926,-0.04693096113986428,-1.5958752034643264,3.8361666152509204,59.21371112468909
51.0,3.909401550326116,-0.0298678381097659,-1.6028082118867077,3.9095156438420338,60.470352365469914
52.0,3.987342597203103,4.134902673413876e-05,-1.648529244507388,3.987342597417499,61.70792982378003
53.0,4.098623695295423,0.01947665174261992,-1.6964437431955697,4.098669971539574,62.98408273669012
54.0,4.20450771228824,0.01653706410584377,-1.6919845916116216,4.204540233745009,64.25327066320702
55.0,4.258877730387141,0.01922413659134925,-1.5798203904483987,4.258921118055042,65.49408869106735
56.0,4.365037200908112,0.07143149293260365,-1.7153364794546313,4.3656216308212406,66.7588499114285
57.0,4.441499265519354,0.08473992081663617,-1.7088881582260516,4.44230757374914,67.97577383617093
58.0,4.526831978049955,0.07455695763952797,-1.728020008111471,4.527445913252651,69.18096132012188
59.0,4.625529089607916,0.0885317768247127,-1.7695010489054452,4.626376252999401,70.40419406676023
60.0,4.692879845667683,0.13009237780268634,-1.7976231763541546,4.694682659417598,71.61290863378521
61.0,4.766577928465907,0.16232968699921102,-1.7873397372461233,4.769341262210076,72.86374299480465
62.0,4.88481038914346,0.14457739099909261,-1.8373354125716137,4.886949473840709,74.13965905704241
63.0,4.992425435766016,0.20384408731398018,-1.878632236582218,4.996585248308725,75.4116704395714
