category,method_id,config,sequence,start_mode,output_type,metric,value,denominator_or_valid_epochs,failure_flag,source,notes
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2,C00,relative_pose,position_drift_m_per_100m,33.63359978621048,scored=2741,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-LIT__C00/RESULT.json:metrics.position_drift_m_per_100m,Signed OLS slope with intercept
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2,C00,relative_pose,heading_drift_deg_per_min,31.04264227100656,scored=2741,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-LIT__C00/RESULT.json:metrics.heading_drift_deg_per_min,Signed OLS slope with intercept
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2,C00,relative_pose,aligned_horizontal_rmse_m,50.18730430087597,scored=2741,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-LIT__C00/RESULT.json:metrics.horizontal_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2,C00,relative_pose,aligned_up_rmse_m,4.140141014413928,scored=2741,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-LIT__C00/RESULT.json:metrics.up_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2,C00,relative_pose,aligned_yaw_rmse_deg,62.17349905058363,scored=2741,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-LIT__C00/RESULT.json:metrics.yaw_rmse_deg,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2,C00,relative_pose,aligned_horizontal_max_m,120.94017374193294,scored=2741,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-LIT__C00/RESULT.json:metrics.horizontal_max_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2,C00,relative_pose,reference_path_length_m,328.4713109046748,scored=2741,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-LIT__C00/RESULT.json:metrics.reference_path_length_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2,C00,relative_pose,rpe_1s_translation_rmse_m,1.6127974142545467,pairs=2731,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-LIT__C00/RESULT.json:metrics.relative_pose_error_yaw_translation.1s.translation_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2,C00,relative_pose,rpe_1s_yaw_rmse_deg,2.5461000704301076,pairs=2731,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-LIT__C00/RESULT.json:metrics.relative_pose_error_yaw_translation.1s.yaw_rmse_deg,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2,C00,relative_pose,rpe_5s_translation_rmse_m,4.817798019447847,pairs=2691,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-LIT__C00/RESULT.json:metrics.relative_pose_error_yaw_translation.5s.translation_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2,C00,relative_pose,rpe_5s_yaw_rmse_deg,7.502525687397678,pairs=2691,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-LIT__C00/RESULT.json:metrics.relative_pose_error_yaw_translation.5s.yaw_rmse_deg,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2,C00,relative_pose,rpe_10s_translation_rmse_m,7.1693064614493345,pairs=2641,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-LIT__C00/RESULT.json:metrics.relative_pose_error_yaw_translation.10s.translation_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2,C00,relative_pose,rpe_10s_yaw_rmse_deg,11.416578236658705,pairs=2641,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-LIT__C00/RESULT.json:metrics.relative_pose_error_yaw_translation.10s.yaw_rmse_deg,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2,C00,relative_pose,yaw_minus_raw_gyro_z_drift_deg_per_min,-34.4364035359026,valid_native=56643,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-LIT__C00/RESULT.json:sanity.yaw_minus_raw_gyro_z_drift_deg_per_min,Diagnostic only; no acceptance threshold
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2,C00,relative_pose,native_path_length_10hz_m,676.171024037151,valid_native=56643,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-LIT__C00/RESULT.json:sanity.native_path_length_10hz_m,Diagnostic only; no acceptance threshold
legged_state_estimation,HARTLEY_OFFICIAL,OFF-LIT,BY2,C00,relative_pose,native_to_reference_path_ratio,2.058539061371426,valid_native=56643,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-LIT__C00/RESULT.json:sanity.native_to_reference_path_ratio,Diagnostic only; no acceptance threshold
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2,C00,relative_pose,position_drift_m_per_100m,21.88907591581972,scored=2741,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-DEF__C00/RESULT.json:metrics.position_drift_m_per_100m,Signed OLS slope with intercept
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2,C00,relative_pose,heading_drift_deg_per_min,17.42370710170332,scored=2741,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-DEF__C00/RESULT.json:metrics.heading_drift_deg_per_min,Signed OLS slope with intercept
