table_line,case_id,family,type,seed,method,config,input_identity_note,source_run_dir,frozen_yaw_rmse_deg,frozen_horizontal_rmse_m,frozen_up_rmse_m,frozen_yaw_p95_deg,series_recheck_yaw_rmse_deg,series_recheck_horizontal_rmse_m,series_recheck_up_rmse_m,series_recheck_yaw_p95_deg,series_recheck_max_relative_difference,observer_yaw_rmse_deg,observer_horizontal_rmse_m,observer_up_rmse_m,observer_yaw_p95_deg,observer_metrics_status,audit_horizontal_max_m,audit_up_max_m,audit_yaw_max_deg,matched_epoch_count,max_discrepancy_time_s,horizontal_error_at_max_discrepancy_m,error_rate_at_max_discrepancy_mps,equivalent_time_offset_s,argmax_status,audit_hmax_over_frozen_hrmse,observer_h_rmse_lower_bound_m,observer_h_rmse_upper_bound_m,observer_vs_frozen_h_rmse_relative_difference,frozen_horizontal_max_m,frozen_horizontal_max_time_s,frozen_horizontal_error_vector_secant_rate_max_mps,error_series_dt_median_s,error_series_dt_p95_s,audit_policy,v2_audit_horizontal_max_m,v2_audit_up_max_m,v2_audit_yaw_max_deg,v2_audit_passed,v2_frozen_horizontal_rmse_m,summary_source,capture_source,error_series_source,v2_capture_source
76,D03_seed_01,位置中断,D03,seed_01,LC01,LIT,,$HX03/RUNS/BY2__LC01__LIT__D03_seed_01__seed_01,2.994627305185281,0.9660681367458304,2.153449940491725,4.96814134157656,2.994627305185281,0.9660681367458304,2.1534499404917256,4.968141341576561,2.0622221185631925e-16,,,,,UNAVAILABLE_NOT_RETAINED,0.02914714934906099,5.8477293784164885e-05,3.001332515850663e-11,58014,,,,,UNAVAILABLE_NOT_RETAINED,0.03017090434970998,0.9369209873967693,0.9952152860948914,,11.886217636028514,112.39708518981934,4261.273154352553,0.0040099620819233905,0.00800228118891937,default_local_sphere,0.029487718451198228,5.884319005389216e-05,3.001332515850663e-11,False,0.991651028651746,$HX03/RUNS/BY2__LC01__LIT__D03_seed_01__seed_01/eval/v3/OUTPUT/summary.json,$HX03/RUNS/BY2__LC01__LIT__D03_seed_01__seed_01/eval/v3/OUTPUT/EVALUATOR_CAPTURE.json,$HX03/RUNS/BY2__LC01__LIT__D03_seed_01__seed_01/eval/v3/OUTPUT/error_series.csv,$HX03/RUNS/BY2__LC01__LIT__D03_seed_01__seed_01/eval/v2/OUTPUT/EVALUATOR_CAPTURE.json
77,D03_seed_01,位置中断,D03,seed_01,EXT05C,LIT,,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_01__seed_01,11.58608354343063,0.8395235941348292,2.1974286751325263,16.133649861533566,11.58608354343063,0.8395235941348292,2.1974286751325263,16.133649861533566,0.0,,,,,UNAVAILABLE_NOT_RETAINED,0.022388751292549223,7.095936926049262e-05,1.432454155292362e-11,58014,,,,,UNAVAILABLE_NOT_RETAINED,0.026668400327237905,0.81713484284228,0.8619123454273785,,10.42164527188028,112.39708518981934,3711.06693434279,0.0040099620819233905,0.00800228118891937,default_local_sphere,0.02271824738054833,7.148858265537683e-05,1.432454155292362e-11,False,0.8661544843844254,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_01__seed_01/eval/v3/OUTPUT/summary.json,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_01__seed_01/eval/v3/OUTPUT/EVALUATOR_CAPTURE.json,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_01__seed_01/eval/v3/OUTPUT/error_series.csv,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_01__seed_01/eval/v2/OUTPUT/EVALUATOR_CAPTURE.json
78,D03_seed_02,位置中断,D03,seed_02,LC01,LIT,,$HX03/RUNS/BY2__LC01__LIT__D03_seed_02__seed_02,2.9822351135828846,0.723117898215321,1.4221503451639128,4.995097016107468,2.9822351135828846,0.723117898215321,1.4221503451639128,4.995097016107468,0.0,,,,,UNAVAILABLE_NOT_RETAINED,0.016104076473278005,0.00013712530314080595,2.998490344907623e-11,58014,,,,,UNAVAILABLE_NOT_RETAINED,0.022270333113069668,0.707013821742043,0.7392219746885991,,9.681424845986127,194.3970627784729,3410.4052801146354,0.0040099620819233905,0.00800228118891937,default_local_sphere,0.016134237826083496,0.00013996358232404305,2.998490344907623e-11,False,0.7506122119674006,$HX03/RUNS/BY2__LC01__LIT__D03_seed_02__seed_02/eval/v3/OUTPUT/summary.json,$HX03/RUNS/BY2__LC01__LIT__D03_seed_02__seed_02/eval/v3/OUTPUT/EVALUATOR_CAPTURE.json,$HX03/RUNS/BY2__LC01__LIT__D03_seed_02__seed_02/eval/v3/OUTPUT/error_series.csv,$HX03/RUNS/BY2__LC01__LIT__D03_seed_02__seed_02/eval/v2/OUTPUT/EVALUATOR_CAPTURE.json
79,D03_seed_02,位置中断,D03,seed_02,EXT05C,LIT,,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_02__seed_02,12.4574389545462,0.8731658798110924,1.445036493988127,17.062524947252218,12.4574389545462,0.8731658798110924,1.445036493988127,17.062524947252218,0.0,,,,,UNAVAILABLE_NOT_RETAINED,0.017394344406297634,0.00017756013334846443,1.693933882052079e-11,58014,,,,,UNAVAILABLE_NOT_RETAINED,0.01992100791897739,0.8557715354047948,0.89056022421739,,11.30698375924623,194.3970627784729,3935.9073310312765,0.0040099620819233905,0.00800228118891937,default_local_sphere,0.017395256883416033,0.00018020967064913407,1.693933882052079e-11,False,0.898589828085673,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_02__seed_02/eval/v3/OUTPUT/summary.json,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_02__seed_02/eval/v3/OUTPUT/EVALUATOR_CAPTURE.json,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_02__seed_02/eval/v3/OUTPUT/error_series.csv,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_02__seed_02/eval/v2/OUTPUT/EVALUATOR_CAPTURE.json
80,D03_seed_03,位置中断,D03,seed_03,LC01,LIT,,$HX03/RUNS/BY2__LC01__LIT__D03_seed_03__seed_03,2.997368449125506,0.8728840749398405,1.3144135075558587,4.968008862161213,2.997368449125506,0.8728840749398407,1.3144135075558587,4.968008862161213,1.2719020274274948e-16,,,,,UNAVAILABLE_NOT_RETAINED,0.024499802830342945,0.00015237572882398354,4.260414243617561e-11,58014,,,,,UNAVAILABLE_NOT_RETAINED,0.028067647851212636,0.8483842721094976,0.8973838777701835,,11.76158054886846,232.39580535888672,2871.2993937182987,0.0040099620819233905,0.00800228118891937,default_local_sphere,0.024559392838912224,0.0001539176661005115,4.260414243617561e-11,False,0.8943224748421629,$HX03/RUNS/BY2__LC01__LIT__D03_seed_03__seed_03/eval/v3/OUTPUT/summary.json,$HX03/RUNS/BY2__LC01__LIT__D03_seed_03__seed_03/eval/v3/OUTPUT/EVALUATOR_CAPTURE.json,$HX03/RUNS/BY2__LC01__LIT__D03_seed_03__seed_03/eval/v3/OUTPUT/error_series.csv,$HX03/RUNS/BY2__LC01__LIT__D03_seed_03__seed_03/eval/v2/OUTPUT/EVALUATOR_CAPTURE.json
81,D03_seed_03,位置中断,D03,seed_03,EXT05C,LIT,,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_03__seed_03,12.489565726716963,0.4475916681185041,1.3196599104387055,17.073747548199037,12.489565726716963,0.4475916681185041,1.3196599104387055,17.073747548199037,0.0,,,,,UNAVAILABLE_NOT_RETAINED,0.014227014602166903,8.116972348659601e-05,1.5944578990456648e-11,58014,,,,,UNAVAILABLE_NOT_RETAINED,0.031785700261069576,0.4333646535163372,0.461818682720671,,6.610808474368588,232.39580535888672,1615.9650228560265,0.0040099620819233905,0.00800228118891937,default_local_sphere,0.014358909573268642,8.285784252493045e-05,1.5944578990456648e-11,False,0.4821380447038861,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_03__seed_03/eval/v3/OUTPUT/summary.json,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_03__seed_03/eval/v3/OUTPUT/EVALUATOR_CAPTURE.json,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_03__seed_03/eval/v3/OUTPUT/error_series.csv,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_03__seed_03/eval/v2/OUTPUT/EVALUATOR_CAPTURE.json
82,D03_seed_04,位置中断,D03,seed_04,LC01,LIT,,$HX03/RUNS/BY2__LC01__LIT__D03_seed_04__seed_04,2.995294468630628,0.8653262246354053,1.8553391558934904,4.96814134157656,2.995294468630628,0.8653262246354053,1.8553391558934904,4.968141341576561,1.7877478892705497e-16,,,,,UNAVAILABLE_NOT_RETAINED,0.027537491354731772,8.067260620592265e-05,3.001332515850663e-11,58014,,,,,UNAVAILABLE_NOT_RETAINED,0.03182324835507483,0.8377887332806735,0.8928637159901371,,11.988934053379976,153.3990614414215,13111.281623995803,0.0040099620819233905,0.00800228118891937,default_local_sphere,0.02789313772712663,8.05119501059437e-05,3.001332515850663e-11,False,0.8900630232550729,$HX03/RUNS/BY2__LC01__LIT__D03_seed_04__seed_04/eval/v3/OUTPUT/summary.json,$HX03/RUNS/BY2__LC01__LIT__D03_seed_04__seed_04/eval/v3/OUTPUT/EVALUATOR_CAPTURE.json,$HX03/RUNS/BY2__LC01__LIT__D03_seed_04__seed_04/eval/v3/OUTPUT/error_series.csv,$HX03/RUNS/BY2__LC01__LIT__D03_seed_04__seed_04/eval/v2/OUTPUT/EVALUATOR_CAPTURE.json
83,D03_seed_04,位置中断,D03,seed_04,EXT05C,LIT,,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_04__seed_04,10.754605269325515,0.635849323003509,1.821996206226723,14.399998039181575,10.754605269325515,0.635849323003509,1.821996206226723,14.399998039181575,0.0,,,,,UNAVAILABLE_NOT_RETAINED,0.01596114742354787,9.315793420583418e-05,1.4836132322670892e-11,58014,,,,,UNAVAILABLE_NOT_RETAINED,0.025102090772313027,0.6198881755799612,0.6518104704270569,,8.277139719528279,153.3990614414215,9105.972814221623,0.0040099620819233905,0.00800228118891937,default_local_sphere,0.016248875392139952,9.256926295009293e-05,1.4836132322670892e-11,False,0.6542816659488871,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_04__seed_04/eval/v3/OUTPUT/summary.json,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_04__seed_04/eval/v3/OUTPUT/EVALUATOR_CAPTURE.json,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_04__seed_04/eval/v3/OUTPUT/error_series.csv,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_04__seed_04/eval/v2/OUTPUT/EVALUATOR_CAPTURE.json
84,D03_seed_05,位置中断,D03,seed_05,LC01,LIT,,$HX03/RUNS/BY2__LC01__LIT__D03_seed_05__seed_05,3.0011320430974697,0.6910114043224796,1.3345960427316663,4.996587414758883,3.0011320430974697,0.6910114043224796,1.3345960427316663,4.996587414758883,0.0,,,,,UNAVAILABLE_NOT_RETAINED,0.02126927064197758,0.0001053161135082803,3.4788172342814505e-11,58014,,,,,UNAVAILABLE_NOT_RETAINED,0.03077991261639393,0.6697421336805021,0.7122806749644572,,9.203048527931132,231.3970763683319,3199.1120243905434,0.0040099620819233905,0.00800228118891937,default_local_sphere,0.02129669252765799,0.00010679716915618087,3.4788172342814505e-11,False,0.7129372554194955,$HX03/RUNS/BY2__LC01__LIT__D03_seed_05__seed_05/eval/v3/OUTPUT/summary.json,$HX03/RUNS/BY2__LC01__LIT__D03_seed_05__seed_05/eval/v3/OUTPUT/EVALUATOR_CAPTURE.json,$HX03/RUNS/BY2__LC01__LIT__D03_seed_05__seed_05/eval/v3/OUTPUT/error_series.csv,$HX03/RUNS/BY2__LC01__LIT__D03_seed_05__seed_05/eval/v2/OUTPUT/EVALUATOR_CAPTURE.json
85,D03_seed_05,位置中断,D03,seed_05,EXT05C,LIT,,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_05__seed_05,12.316349572006697,0.5329495564760994,1.323442871816134,16.98625557765558,12.316349572006697,0.5329495564760994,1.3234428718161337,16.98625557765558,1.6777800512108542e-16,,,,,UNAVAILABLE_NOT_RETAINED,0.018423356851139095,5.661388636823972e-05,1.4210854715202004e-11,58014,,,,,UNAVAILABLE_NOT_RETAINED,0.03456866907434101,0.5145261996249604,0.5513729133272385,,7.2084572119343315,231.3970763683319,2547.1449478018194,0.0040099620819233905,0.00800228118891937,default_local_sphere,0.018494354926093776,5.8239674288529386e-05,1.4210854715202004e-11,False,0.5586584650849328,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_05__seed_05/eval/v3/OUTPUT/summary.json,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_05__seed_05/eval/v3/OUTPUT/EVALUATOR_CAPTURE.json,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_05__seed_05/eval/v3/OUTPUT/error_series.csv,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_05__seed_05/eval/v2/OUTPUT/EVALUATOR_CAPTURE.json
