A1_case_id,A2_case_id,method,exactly_equal,yaw_rmse_deg,horizontal_rmse_m,up_rmse_m,yaw_p95_deg,failure_class,audit_status_R2,evaluation_source
D61_10s_seed_00,D62_10s_seed_00,LC01,True,2.9987564702903406,0.42206179443531716,1.1937072097618933,4.968141341576635,NONE,PASS,$HX03R2/RUNS/BY2__LC01__LIT__D62_10s_seed_00__seed_00/v3_R2
D61_10s_seed_01,D62_10s_seed_01,LC01,True,2.994627305185281,0.9660681367458304,2.1534499404917256,4.968141341576561,NONE,PASS,$HX03R2/RUNS/BY2__LC01__LIT__D62_10s_seed_01__seed_01/v3_R2
D61_10s_seed_02,D62_10s_seed_02,LC01,True,2.9822351135828846,0.723117898215321,1.4221503451639128,4.995097016107468,NONE,PASS,$HX03R2/RUNS/BY2__LC01__LIT__D62_10s_seed_02__seed_02/v3_R2
D61_10s_seed_03,D62_10s_seed_03,LC01,True,2.997368449125506,0.8728840749398407,1.3144135075558587,4.968008862161213,NONE,PASS,$HX03R2/RUNS/BY2__LC01__LIT__D62_10s_seed_03__seed_03/v3_R2
D61_10s_seed_04,D62_10s_seed_04,LC01,True,2.995294468630628,0.8653262246354053,1.8553391558934904,4.968141341576561,NONE,PASS,$HX03R2/RUNS/BY2__LC01__LIT__D62_10s_seed_04__seed_04/v3_R2
D61_10s_seed_05,D62_10s_seed_05,LC01,True,3.0011320430974697,0.6910114043224796,1.3345960427316663,4.996587414758883,NONE,PASS,$HX03R2/RUNS/BY2__LC01__LIT__D62_10s_seed_05__seed_05/v3_R2
D61_10s_seed_06,D62_10s_seed_06,LC01,True,3.002606684104245,1.6828041829603906,1.839430314632062,4.976123034395877,NONE,PASS,$HX03R2/RUNS/BY2__LC01__LIT__D62_10s_seed_06__seed_06/v3_R2
D61_10s_seed_07,D62_10s_seed_07,LC01,True,2.9678333339096006,1.1549238359836518,1.3223843582999577,4.824808545801253,NONE,PASS,$HX03R2/RUNS/BY2__LC01__LIT__D62_10s_seed_07__seed_07/v3_R2
D61_10s_seed_08,D62_10s_seed_08,LC01,True,3.010143695282273,0.7185714206190482,2.1202416266235877,5.096945481222244,NONE,PASS,$HX03R2/RUNS/BY2__LC01__LIT__D62_10s_seed_08__seed_08/v3_R2
D61_20s_seed_00,D62_20s_seed_00,LC01,True,3.305615359339911,6.433221015082921,7.804022766023532,5.451656681770347,NONE,PASS,$HX03R2/RUNS/BY2__LC01__LIT__D62_20s_seed_00__seed_00/v3_R2
D61_20s_seed_01,D62_20s_seed_01,LC01,True,3.016014157153275,7.137760725237226,11.048027208613584,4.968141341576635,NONE,PASS,$HX03R2/RUNS/BY2__LC01__LIT__D62_20s_seed_01__seed_01/v3_R2
D61_20s_seed_02,D62_20s_seed_02,LC01,True,2.9715279289129604,3.0200525792819986,8.9237549299821,5.047068172153291,NONE,PASS,$HX03R2/RUNS/BY2__LC01__LIT__D62_20s_seed_02__seed_02/v3_R2
D61_20s_seed_03,D62_20s_seed_03,LC01,True,2.994370163511274,1.2924278082784133,8.18164721014689,4.968141352326055,NONE,PASS,$HX03R2/RUNS/BY2__LC01__LIT__D62_20s_seed_03__seed_03/v3_R2
D61_20s_seed_04,D62_20s_seed_04,LC01,True,3.025853851906209,2.204915527168733,10.28275885493475,5.1571725080457185,NONE,PASS,$HX03R2/RUNS/BY2__LC01__LIT__D62_20s_seed_04__seed_04/v3_R2
D61_20s_seed_05,D62_20s_seed_05,LC01,True,2.9935872411314097,1.5222720439135633,8.60299025134292,4.96699805454827,NONE,PASS,$HX03R2/RUNS/BY2__LC01__LIT__D62_20s_seed_05__seed_05/v3_R2
D61_20s_seed_06,D62_20s_seed_06,LC01,True,2.9236903587600254,8.32627435418161,11.28469790595219,5.30028453178958,NONE,PASS,$HX03R2/RUNS/BY2__LC01__LIT__D62_20s_seed_06__seed_06/v3_R2
D61_20s_seed_07,D62_20s_seed_07,LC01,True,3.0165473476934883,7.671063700378102,9.186026179910845,5.089593469817528,NONE,PASS,$HX03R2/RUNS/BY2__LC01__LIT__D62_20s_seed_07__seed_07/v3_R2
D61_20s_seed_08,D62_20s_seed_08,LC01,True,3.034088731260991,3.1360505444241658,11.877938192032005,5.161695697316103,NONE,PASS,$HX03R2/RUNS/BY2__LC01__LIT__D62_20s_seed_08__seed_08/v3_R2
