level,group,method,method_label,metric,registered_n,failure_n,finite_n,median,p95,max,audit_status_R1,audit_status_R2,observer_discrepancy_R2
type,D14,LC01,LC01,yaw_rmse_deg,9,9,0,,,,"{""NOT_EVALUATED"":9}","{""NOT_EVALUATED"":9}",
type,D14,LC01,LC01,horizontal_rmse_m,9,9,0,,,,"{""NOT_EVALUATED"":9}","{""NOT_EVALUATED"":9}",
type,D14,LC01,LC01,up_rmse_m,9,9,0,,,,"{""NOT_EVALUATED"":9}","{""NOT_EVALUATED"":9}",
type,D14,EXT05C,EXT05C,yaw_rmse_deg,9,9,0,,,,"{""NOT_EVALUATED"":9}","{""NOT_EVALUATED"":9}",
type,D14,EXT05C,EXT05C,horizontal_rmse_m,9,9,0,,,,"{""NOT_EVALUATED"":9}","{""NOT_EVALUATED"":9}",
type,D14,EXT05C,EXT05C,up_rmse_m,9,9,0,,,,"{""NOT_EVALUATED"":9}","{""NOT_EVALUATED"":9}",
type,D21,LC01,LC01,yaw_rmse_deg,9,9,0,,,,"{""FAIL"":2,""NOT_EVALUATED"":6,""PASS"":1}","{""NOT_EVALUATED"":6,""PASS"":3}","{""horizontal_max_m"":1.6881232242081456e-14,""up_max_m"":1.0658141036401503e-14,""yaw_max_deg"":3.979039320256561e-13}"
type,D21,LC01,LC01,horizontal_rmse_m,9,9,0,,,,"{""FAIL"":2,""NOT_EVALUATED"":6,""PASS"":1}","{""NOT_EVALUATED"":6,""PASS"":3}","{""horizontal_max_m"":1.6881232242081456e-14,""up_max_m"":1.0658141036401503e-14,""yaw_max_deg"":3.979039320256561e-13}"
type,D21,LC01,LC01,up_rmse_m,9,9,0,,,,"{""FAIL"":2,""NOT_EVALUATED"":6,""PASS"":1}","{""NOT_EVALUATED"":6,""PASS"":3}","{""horizontal_max_m"":1.6881232242081456e-14,""up_max_m"":1.0658141036401503e-14,""yaw_max_deg"":3.979039320256561e-13}"
type,D21,EXT05C,EXT05C,yaw_rmse_deg,9,9,0,,,,"{""FAIL"":5,""NOT_EVALUATED"":4}","{""NOT_EVALUATED"":4,""PASS"":5}","{""horizontal_max_m"":1.0658141036401503e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":2.842170943040401e-14}"
type,D21,EXT05C,EXT05C,horizontal_rmse_m,9,9,0,,,,"{""FAIL"":5,""NOT_EVALUATED"":4}","{""NOT_EVALUATED"":4,""PASS"":5}","{""horizontal_max_m"":1.0658141036401503e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":2.842170943040401e-14}"
type,D21,EXT05C,EXT05C,up_rmse_m,9,9,0,,,,"{""FAIL"":5,""NOT_EVALUATED"":4}","{""NOT_EVALUATED"":4,""PASS"":5}","{""horizontal_max_m"":1.0658141036401503e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":2.842170943040401e-14}"
type,D16,LC01,LC01,yaw_rmse_deg,9,0,9,2.9948274017300216,2.9948286447677512,2.9948291279280137,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.071126535662235e-14,""up_max_m"":1.432187701766452e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D16,LC01,LC01,horizontal_rmse_m,9,0,9,1.5094692192709214,1.5144147110330608,1.515974086073942,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.071126535662235e-14,""up_max_m"":1.432187701766452e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D16,LC01,LC01,up_rmse_m,9,0,9,0.5363992343798,0.5364149604788588,0.5364195713428282,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.071126535662235e-14,""up_max_m"":1.432187701766452e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D16,EXT05C,EXT05C,yaw_rmse_deg,9,0,9,12.04846415369014,12.049232655000203,12.04957587683025,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.011734476238034e-14,""up_max_m"":1.4654943925052066e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D16,EXT05C,EXT05C,horizontal_rmse_m,9,0,9,1.5057313795691738,1.515263207435094,1.5160694255438953,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.011734476238034e-14,""up_max_m"":1.4654943925052066e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D16,EXT05C,EXT05C,up_rmse_m,9,0,9,0.5380790191113962,0.5380947757131731,0.5380994104617665,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.011734476238034e-14,""up_max_m"":1.4654943925052066e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D18,LC01,LC01,yaw_rmse_deg,9,0,9,2.994825846726363,2.9948351504620363,2.9948354656601337,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.064295997853154e-14,""up_max_m"":1.3822276656583199e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D18,LC01,LC01,horizontal_rmse_m,9,0,9,1.7399233501646794,1.7534218656517462,1.7539246873262153,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.064295997853154e-14,""up_max_m"":1.3822276656583199e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D18,LC01,LC01,up_rmse_m,9,0,9,0.6097716917248693,0.6097906044978987,0.6097911548902023,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.064295997853154e-14,""up_max_m"":1.3822276656583199e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D18,EXT05C,EXT05C,yaw_rmse_deg,9,0,9,12.011590018299932,12.121440099171389,12.137424786604349,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.994310809836307e-14,""up_max_m"":1.3988810110276972e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D18,EXT05C,EXT05C,horizontal_rmse_m,9,0,9,1.7363289542580242,1.7492407044900573,1.7512465294459905,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.994310809836307e-14,""up_max_m"":1.3988810110276972e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D18,EXT05C,EXT05C,up_rmse_m,9,0,9,0.6101857116053002,0.6102045206678751,0.6102049909531632,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.994310809836307e-14,""up_max_m"":1.3988810110276972e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D03,LC01,LC01,yaw_rmse_deg,9,0,9,2.997368449125506,3.0071288908110616,3.010143695282273,"{""FAIL"":8,""PASS"":1}","{""PASS"":9}","{""horizontal_max_m"":2.8896526922390535e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D03,LC01,LC01,horizontal_rmse_m,9,0,9,0.8653262246354053,1.4716520441696948,1.6828041829603906,"{""FAIL"":8,""PASS"":1}","{""PASS"":9}","{""horizontal_max_m"":2.8896526922390535e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D03,LC01,LC01,up_rmse_m,9,0,9,1.4221503451639128,2.1401666149444702,2.1534499404917256,"{""FAIL"":8,""PASS"":1}","{""PASS"":9}","{""horizontal_max_m"":2.8896526922390535e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D03,EXT05C,EXT05C,yaw_rmse_deg,9,0,9,12.403694854941095,13.008059281096038,13.052420796397397,"{""FAIL"":8,""PASS"":1}","{""PASS"":9}","{""horizontal_max_m"":3.049939094966671e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D03,EXT05C,EXT05C,horizontal_rmse_m,9,0,9,0.635849323003509,1.0050694366852757,1.0930051412680646,"{""FAIL"":8,""PASS"":1}","{""PASS"":9}","{""horizontal_max_m"":3.049939094966671e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D03,EXT05C,EXT05C,up_rmse_m,9,0,9,1.445036493988127,2.173024808865852,2.1974286751325263,"{""FAIL"":8,""PASS"":1}","{""PASS"":9}","{""horizontal_max_m"":3.049939094966671e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D04,LC01,LC01,yaw_rmse_deg,9,0,9,3.016014157153275,3.197004708108343,3.305615359339911,"{""FAIL"":9}","{""PASS"":9}","{""horizontal_max_m"":3.370400129833633e-14,""up_max_m"":2.842170943040401e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D04,LC01,LC01,horizontal_rmse_m,9,0,9,3.1360505444241658,8.064190092660207,8.32627435418161,"{""FAIL"":9}","{""PASS"":9}","{""horizontal_max_m"":3.370400129833633e-14,""up_max_m"":2.842170943040401e-14,""yaw_max_deg"":4.092726157978177e-12}"
