level,group,method,method_label,metric,reference_method,registered_n,paired_n,difference_median,difference_p95,difference_definition,source,audit_status_R1,audit_status_R2,observer_discrepancy_R2
type,D14,LC01,LC01,yaw_rmse_deg,F04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""NOT_EVALUATED"":9}","{""NOT_EVALUATED"":9}",
type,D14,LC01,LC01,yaw_rmse_deg,F02,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""NOT_EVALUATED"":9}","{""NOT_EVALUATED"":9}",
type,D14,LC01,LC01,yaw_rmse_deg,F03,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""NOT_EVALUATED"":9}","{""NOT_EVALUATED"":9}",
type,D14,LC01,LC01,yaw_rmse_deg,A04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""NOT_EVALUATED"":9}","{""NOT_EVALUATED"":9}",
type,D14,LC01,LC01,horizontal_rmse_m,F04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""NOT_EVALUATED"":9}","{""NOT_EVALUATED"":9}",
type,D14,LC01,LC01,horizontal_rmse_m,F02,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""NOT_EVALUATED"":9}","{""NOT_EVALUATED"":9}",
type,D14,LC01,LC01,horizontal_rmse_m,F03,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""NOT_EVALUATED"":9}","{""NOT_EVALUATED"":9}",
type,D14,LC01,LC01,horizontal_rmse_m,A04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""NOT_EVALUATED"":9}","{""NOT_EVALUATED"":9}",
type,D14,LC01,LC01,up_rmse_m,F04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""NOT_EVALUATED"":9}","{""NOT_EVALUATED"":9}",
type,D14,LC01,LC01,up_rmse_m,F02,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""NOT_EVALUATED"":9}","{""NOT_EVALUATED"":9}",
type,D14,LC01,LC01,up_rmse_m,F03,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""NOT_EVALUATED"":9}","{""NOT_EVALUATED"":9}",
type,D14,LC01,LC01,up_rmse_m,A04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""NOT_EVALUATED"":9}","{""NOT_EVALUATED"":9}",
type,D14,EXT05C,EXT05C,yaw_rmse_deg,F04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""NOT_EVALUATED"":9}","{""NOT_EVALUATED"":9}",
