slot_id,version,role,axis,maximum,time_s,index_zero_based,matched_epoch_count,east_difference_m,evaluator_horizontal_error_m,evaluator_up_error_m,evaluator_yaw_error_deg,horizontal_magnitude_difference_m,horizontal_vector_discrepancy_m,north_difference_m,observer_horizontal_error_m,observer_up_error_m,observer_yaw_error_deg,up_difference_m,yaw_difference_deg
BY2__LC01__LIT__C00__NA__v3,v3,FULL,horizontal,2.852900207884354e-14,175.13105988502502,23946,58014,-2.8514517136368767e-14,0.0424661448733734,0.0141752541493334,-0.4595995938993837,-3.497202527569243e-15,2.852900207884354e-14,-9.08995101411847e-16,0.0424661448733699,0.014175254149331771,-0.45959959389938376,-1.6289053439422219e-15,0.0
BY2__LC01__LIT__C00__NA__v3,v3,FULL,up,1.3874318360862503e-14,260.34305906295776,40547,58014,2.55351295663786e-15,0.0309778884609703,-0.0191970681442725,-0.2035990801522871,1.994931997373328e-15,2.567812669540508e-15,2.706168622523819e-16,0.030977888460972294,-0.019197068144286376,-0.20359908015228712,-1.3874318360862503e-14,0.0
BY2__LC01__LIT__C00__NA__v3,v3,FULL,yaw,4.092726157978177e-12,250.429170370102,38269,58014,2.435551760271437e-15,0.0536932455392157,-0.0564516813674238,-6.353409995351456,-5.169475958410885e-15,6.554702638707309e-15,6.085409953726639e-15,0.05369324553921053,-0.05645168136742666,-6.353409995347363,-2.858824288409778e-15,4.092726157978177e-12
BY2__LC01__LIT__C00__NA__v2,v2,FULL,horizontal,2.89217787547498e-14,212.26440000534052,31097,58014,2.861242059254421e-14,0.1590089710283832,-0.3793683621199015,-1.2823594408312715,-4.3298697960381105e-15,2.89217787547498e-14,4.218847493575595e-15,0.15900897102837888,-0.3793683621199033,-1.28235944083184,-1.8318679906315083e-15,-5.684341886080801e-13
BY2__LC01__LIT__C00__NA__v2,v2,FULL,up,1.2656542480726785e-14,260.33505177497864,40545,58014,-1.4621550498139513e-15,0.1169626409387376,-0.321900794561234,-0.0981392728062076,5.828670879282072e-16,1.6067456702550213e-15,-6.661338147750939e-16,0.11696264093873818,-0.32190079456122134,-0.0981392728062076,1.2656542480726785e-14,0.0
BY2__LC01__LIT__C00__NA__v2,v2,FULL,yaw,4.092726157978177e-12,250.429170370102,38269,58014,3.594347042223944e-15,0.219606173848739,-0.3421889987702933,-6.353409995351456,-3.552713678800501e-15,4.5075473524192756e-15,2.7200464103316335e-15,0.21960617384873546,-0.3421889987702936,-6.353409995347363,-2.7755575615628914e-16,4.092726157978177e-12
BY2__EXT05C__LIT__C00__NA__v3,v3,FULL,horizontal,2.943783111453509e-14,192.08704900741577,27260,58014,2.943478794037446e-14,0.0467288488479788,-0.0769550790582851,-14.70624190313427,-1.2052858711086856e-14,2.943783111453509e-14,-4.2327252813834093e-16,0.04672884884796675,-0.07695507905828167,-14.70624190313427,3.427813588530171e-15,0.0
BY2__EXT05C__LIT__C00__NA__v3,v3,FULL,up,1.2934098236883074e-14,186.1130678653717,26052,58014,-1.0107366332778867e-14,0.026345210315915,-0.0893739575402161,-15.262121288855552,-1.6965595595053173e-15,1.0143045836467996e-14,8.500145032286355e-16,0.026345210315913303,-0.08937395754020316,-15.262121288855553,1.2934098236883074e-14,0.0
BY2__EXT05C__LIT__C00__NA__v3,v3,FULL,yaw,4.092726157978177e-12,250.429170370102,38269,58014,-2.213507155346406e-15,0.0445583891118895,-0.0632431285926529,-18.045685588210915,4.579669976578771e-15,5.375726404011336e-15,-4.898859096158503e-15,0.04455838911189408,-0.06324312859265283,-18.045685588206823,6.938893903907228e-17,4.092726157978177e-12
BY2__EXT05C__LIT__C00__NA__v2,v2,FULL,horizontal,2.893603953645793e-14,172.16705560684204,23378,58014,2.893518757929314e-14,0.1097705658979466,-0.2995456271422108,-14.824797880057304,-2.886579864025407e-14,2.893603953645793e-14,2.220446049250313e-16,0.10977056589791774,-0.29954562714220384,-14.824797880057304,6.938893903907228e-15,0.0
