slot_id,role,summary_R1_sha256,summary_R2_sha256,error_series_R1_sha256,error_series_R2_sha256,passed,R1_available_metric_fields,R1_available_metrics_equal,trace_open_count,trace_sha256,audit_status_R1,audit_status_R2,horizontal_max_m,up_max_m,yaw_max_deg,residual_file,residual_sha256
BY2__LC01__LIT__C00__NA__v3,FULL,4d66cee4ac358e630816b4d53a6f3454fefd83fea779da6ae694eda2188434c3,4d66cee4ac358e630816b4d53a6f3454fefd83fea779da6ae694eda2188434c3,b7af06c18399d525f31e57e86357f196413f5f505999877a5cf9f9fe5a9179c1,b7af06c18399d525f31e57e86357f196413f5f505999877a5cf9f9fe5a9179c1,True,138,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,PASS,PASS,2.852900207884354e-14,1.3874318360862503e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__LC01__LIT__C00__NA__v3_R2.csv.gz,a70475b2d43aff8e5e2afa34766d6223a232a44a097a6f1026dd1d28a8b4d4c4
BY2__LC01__LIT__C00__NA__v2,FULL,29256edb848e4656fbb2e0768e94954beb04af8490bba85ce3399f5a76b66bf1,29256edb848e4656fbb2e0768e94954beb04af8490bba85ce3399f5a76b66bf1,0229784a13c0b763d63405e4d30acd70dbb04ad438b3a4fcbce0481c8f030277,0229784a13c0b763d63405e4d30acd70dbb04ad438b3a4fcbce0481c8f030277,True,138,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,PASS,PASS,2.89217787547498e-14,1.2656542480726785e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__LC01__LIT__C00__NA__v2_R2.csv.gz,508ea43dd5e6e1cc21b08d4408cd965994ff8df11613dd567d6aeda681c06715
BY2__EXT05C__LIT__C00__NA__v3,FULL,08673ef5fa7a92ed9511ed2cbec74284f6c9c4c7239058ae019d0d200ffa7bf4,08673ef5fa7a92ed9511ed2cbec74284f6c9c4c7239058ae019d0d200ffa7bf4,c89dca178f135f2ab08925b3ad649bd2cf999535949a7c8bf3291e801cc2126b,c89dca178f135f2ab08925b3ad649bd2cf999535949a7c8bf3291e801cc2126b,True,138,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,PASS,PASS,2.943783111453509e-14,1.2934098236883074e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__EXT05C__LIT__C00__NA__v3_R2.csv.gz,7bd5abd02e3b3df91a4c280393eeb1f2540b690db975858444a2331fbc1b5de2
BY2__EXT05C__LIT__C00__NA__v2,FULL,ca9401d00b96fbd2a7471fb07ecaf73b59926f38d86800bace4b7a1e06666ad1,ca9401d00b96fbd2a7471fb07ecaf73b59926f38d86800bace4b7a1e06666ad1,94838d39aaa6718a78e95434c008543b9d6fe92e26671b15ef22afd3d81a293b,94838d39aaa6718a78e95434c008543b9d6fe92e26671b15ef22afd3d81a293b,True,138,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,PASS,PASS,2.893603953645793e-14,1.3156142841808105e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__EXT05C__LIT__C00__NA__v2_R2.csv.gz,7ea489afdc51bb90a163829203fca15b27bf9e9b59c41cd67b1d7a5f171838ac
BY2__LC01__LIT__D21_seed_01__seed_01__v3,PRE_FAILURE,a14ce11baee88e60a8f5aca4eff4b8fa166556810bcef8f2f691bc7c5cb11903,a14ce11baee88e60a8f5aca4eff4b8fa166556810bcef8f2f691bc7c5cb11903,44174fa1151406c8a22cf731830e096d069f7ba7246438f8a924b6459af11545,44174fa1151406c8a22cf731830e096d069f7ba7246438f8a924b6459af11545,True,138,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,PASS,PASS,5.6129604483960686e-15,1.0658141036401503e-14,2.842170943040401e-14,AUDIT_RESIDUALS/BY2__LC01__LIT__D21_seed_01__seed_01__v3_R2.csv.gz,c1987a1662fa437b406b3679e897b86c52be7a493feff4ae29e8feee648f4952
BY2__LC01__LIT__D21_seed_01__seed_01__v2,PRE_FAILURE,946900341167673bd4364a318274a7deb4198e11ba99fb2b9792b644338b45bf,946900341167673bd4364a318274a7deb4198e11ba99fb2b9792b644338b45bf,4b8bc8cc4cc61556e24c610efeb1256cc479ecfa5ca5550ccb14aec12ffa33a2,4b8bc8cc4cc61556e24c610efeb1256cc479ecfa5ca5550ccb14aec12ffa33a2,True,138,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,PASS,PASS,4.265698783853661e-15,7.105427357601002e-15,2.842170943040401e-14,AUDIT_RESIDUALS/BY2__LC01__LIT__D21_seed_01__seed_01__v2_R2.csv.gz,161186484d8c12d5dcbc5766dfa7fb5a389c55364eb468a492bee40953033ab3
BY2__EXT05C__LIT__D21_seed_01__seed_01__v3,PRE_FAILURE,f44550702a6fbe67781e64d84ceed662f8d861f6609ee7c082ed507c93633865,f44550702a6fbe67781e64d84ceed662f8d861f6609ee7c082ed507c93633865,24425f005e9e190f0e5046f286a01394acd6eaa418f63f0a41490198cf7292eb,24425f005e9e190f0e5046f286a01394acd6eaa418f63f0a41490198cf7292eb,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,5.4025784115714076e-15,1.0658141036401503e-14,2.842170943040401e-14,AUDIT_RESIDUALS/BY2__EXT05C__LIT__D21_seed_01__seed_01__v3_R2.csv.gz,3201252f2da26d1f5d61b60c41ffea9cd2c7c2f31e789b2a61a6688a9c01fedb
BY2__EXT05C__LIT__D21_seed_01__seed_01__v2,PRE_FAILURE,794df6ad26734aaaec3194d05598db44e3ec2793d1d68c99f81742cb55befe08,794df6ad26734aaaec3194d05598db44e3ec2793d1d68c99f81742cb55befe08,bb6fb116fb9d430535ee465d6adcb47450c503609c29aaec8ff1c6d6d9359321,bb6fb116fb9d430535ee465d6adcb47450c503609c29aaec8ff1c6d6d9359321,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,3.972054645195637e-15,7.105427357601002e-15,2.842170943040401e-14,AUDIT_RESIDUALS/BY2__EXT05C__LIT__D21_seed_01__seed_01__v2_R2.csv.gz,58e15dd89bc594136e1b8844a63ad7c17ea4e99d5398200c3e4e2900e1245b03
BY2__EXT05C__LIT__D21_seed_02__seed_02__v3,PRE_FAILURE,abbe4c37c6caa09f2c1cde16de653589945824b92961e66e335e623723387db9,abbe4c37c6caa09f2c1cde16de653589945824b92961e66e335e623723387db9,194146fca403215a83bdae830d842397fa885bb905a87f91a6bf9cef64e3fd0f,194146fca403215a83bdae830d842397fa885bb905a87f91a6bf9cef64e3fd0f,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,1.0658141036401503e-14,1.4210854715202004e-14,0.0,AUDIT_RESIDUALS/BY2__EXT05C__LIT__D21_seed_02__seed_02__v3_R2.csv.gz,fb859c24c936e32181d3166f2fc11fdb2ba56bf5e7f1c398d52089823773058a
BY2__EXT05C__LIT__D21_seed_02__seed_02__v2,PRE_FAILURE,6fc68d4d0ee4cfffe62b2747ccd2f88032b1cf2bb5c717137fe9f5e501187168,6fc68d4d0ee4cfffe62b2747ccd2f88032b1cf2bb5c717137fe9f5e501187168,9fc0eab5c967659fcabc7a1a1b5b44b6142d983a36f211d8ab6bf140c7d3b7f5,9fc0eab5c967659fcabc7a1a1b5b44b6142d983a36f211d8ab6bf140c7d3b7f5,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,1.0658141036401503e-14,1.4210854715202004e-14,0.0,AUDIT_RESIDUALS/BY2__EXT05C__LIT__D21_seed_02__seed_02__v2_R2.csv.gz,87d9d749436679c3356fb32d84bf21af3204bd5ac8864a102ffb23541d8e814b
