method,segment,paired_epochs,valid_epochs,availability,valid_scored_epochs,valid_rmse_deg,hold_scored_epochs,hold_rmse_deg,horizontal_rmse_m,up_rmse_m,status,source_id,original_fields_json
EXT01,occlusion_primary,210,38,0.18095238095238095,38,106.10039651657704,210,120.3459353318603,NOT_APPLICABLE_HEADING_ONLY,NOT_APPLICABLE_HEADING_ONLY,AVAILABLE,SEGMENT.EXT01.occlusion_primary,NOT_APPLICABLE_DERIVED_SEGMENT
EXT01,occlusion_secondary,65,15,0.23076923076923078,15,82.46710265850822,65,59.690124433820905,NOT_APPLICABLE_HEADING_ONLY,NOT_APPLICABLE_HEADING_ONLY,AVAILABLE,SEGMENT.EXT01.occlusion_secondary,NOT_APPLICABLE_DERIVED_SEGMENT
EXT01,inside_union,275,53,0.19272727272727272,53,99.9801416763839,275,109.09627914260271,NOT_APPLICABLE_HEADING_ONLY,NOT_APPLICABLE_HEADING_ONLY,AVAILABLE,SEGMENT.EXT01.inside_union,NOT_APPLICABLE_DERIVED_SEGMENT
EXT01,outside,1610,1175,0.7298136645962733,1175,102.12587169447478,1610,106.16492329011855,NOT_APPLICABLE_HEADING_ONLY,NOT_APPLICABLE_HEADING_ONLY,AVAILABLE,SEGMENT.EXT01.outside,NOT_APPLICABLE_DERIVED_SEGMENT
EXT01,full,1885,1228,0.6514588859416446,1228,102.03419456274673,1885,106.59759701046899,NOT_APPLICABLE_HEADING_ONLY,NOT_APPLICABLE_HEADING_ONLY,AVAILABLE,SEGMENT.EXT01.full,NOT_APPLICABLE_DERIVED_SEGMENT
EXT02,occlusion_primary,210,37,0.1761904761904762,37,105.25332810184058,210,120.19972544175283,NOT_APPLICABLE_HEADING_ONLY,NOT_APPLICABLE_HEADING_ONLY,AVAILABLE,SEGMENT.EXT02.occlusion_primary,NOT_APPLICABLE_DERIVED_SEGMENT
EXT02,occlusion_secondary,65,15,0.23076923076923078,15,82.46710265849762,65,59.69012443382567,NOT_APPLICABLE_HEADING_ONLY,NOT_APPLICABLE_HEADING_ONLY,AVAILABLE,SEGMENT.EXT02.occlusion_secondary,NOT_APPLICABLE_DERIVED_SEGMENT
EXT02,inside_union,275,52,0.1890909090909091,52,99.21887994424584,275,108.9731201433295,NOT_APPLICABLE_HEADING_ONLY,NOT_APPLICABLE_HEADING_ONLY,AVAILABLE,SEGMENT.EXT02.inside_union,NOT_APPLICABLE_DERIVED_SEGMENT
EXT02,outside,1610,1139,0.7074534161490683,1139,100.88563650250703,1610,105.89661368812166,NOT_APPLICABLE_HEADING_ONLY,NOT_APPLICABLE_HEADING_ONLY,AVAILABLE,SEGMENT.EXT02.outside,NOT_APPLICABLE_DERIVED_SEGMENT
EXT02,full,1885,1191,0.6318302387267904,1191,100.81343990406083,1885,106.3509857592976,NOT_APPLICABLE_HEADING_ONLY,NOT_APPLICABLE_HEADING_ONLY,AVAILABLE,SEGMENT.EXT02.full,NOT_APPLICABLE_DERIVED_SEGMENT
