category,method,config,role,output_type,BY2,BY2H,BY2O,source_ids,notes
双天线航向,EXT01,LIT,METHOD,heading_only,availability=0.715328 [980/1370]; valid_rmse_deg=120.360029; hold_rmse_deg=117.866628,availability=0.784444 [1059/1350]; valid_rmse_deg=109.477999; hold_rmse_deg=106.069371,availability=0.651459 [1228/1885]; valid_rmse_deg=102.034195; hold_rmse_deg=106.597597,MAIN.01.BY2 | MAIN.01.BY2H | MAIN.01.BY2O,v3 evaluation point; distinct output types retain their own denominators
双天线航向,EXT02,LIT,METHOD,heading_only,availability=0.70365 [964/1370]; valid_rmse_deg=120.52876; hold_rmse_deg=117.945835,availability=0.761481 [1028/1350]; valid_rmse_deg=109.269028; hold_rmse_deg=106.500085,availability=0.63183 [1191/1885]; valid_rmse_deg=100.81344; hold_rmse_deg=106.350986,MAIN.02.BY2 | MAIN.02.BY2H | MAIN.02.BY2O,v3 evaluation point; distinct output types retain their own denominators
双天线航向,EXT03,LIT,METHOD,heading_only,availability=0.394891 [541/1370]; valid_rmse_deg=84.343823; hold_rmse_deg=92.495889,availability=0.345926 [467/1350]; valid_rmse_deg=76.924011; hold_rmse_deg=80.640409,availability=0.142706 [269/1885]; valid_rmse_deg=112.432401; hold_rmse_deg=109.11167,MAIN.03.BY2 | MAIN.03.BY2H | MAIN.03.BY2O,v3 evaluation point; distinct output types retain their own denominators
双天线航向,EXT04_FAR,LIT,METHOD,heading_only,availability=0 [0/1370]; valid_rmse_deg=UNAVAILABLE_NO_VALID_EPOCHS; hold_rmse_deg=UNAVAILABLE_NO_VALID_EPOCHS,availability=0 [0/1350]; valid_rmse_deg=UNAVAILABLE_NO_VALID_EPOCHS; hold_rmse_deg=UNAVAILABLE_NO_VALID_EPOCHS,availability=0 [0/1885]; valid_rmse_deg=UNAVAILABLE_NO_VALID_EPOCHS; hold_rmse_deg=UNAVAILABLE_NO_VALID_EPOCHS,MAIN.04.BY2 | MAIN.04.BY2H | MAIN.04.BY2O,v3 evaluation point; distinct output types retain their own denominators
双天线航向,EXT04_PAR,LIT,METHOD,heading_only,availability=0 [0/1370]; valid_rmse_deg=UNAVAILABLE_NO_VALID_EPOCHS; hold_rmse_deg=UNAVAILABLE_NO_VALID_EPOCHS,availability=0 [0/1350]; valid_rmse_deg=UNAVAILABLE_NO_VALID_EPOCHS; hold_rmse_deg=UNAVAILABLE_NO_VALID_EPOCHS,availability=0 [0/1885]; valid_rmse_deg=UNAVAILABLE_NO_VALID_EPOCHS; hold_rmse_deg=UNAVAILABLE_NO_VALID_EPOCHS,MAIN.05.BY2 | MAIN.05.BY2H | MAIN.05.BY2O,v3 evaluation point; distinct output types retain their own denominators
双天线航向,RTKLIB_UNMODIFIED_MOVING_BASE,-,METHOD,heading_only,availability=0.111679 [153/1370]; valid_rmse_deg=14.566166; hold_rmse_deg=58.241052,availability=0.132593 [179/1350]; valid_rmse_deg=27.011169; hold_rmse_deg=55.117993,availability=0.059416 [112/1885]; valid_rmse_deg=23.13895; hold_rmse_deg=129.988223,MAIN.06.BY2 | MAIN.06.BY2H | MAIN.06.BY2O,v3 evaluation point; distinct output types retain their own denominators
四足状态估计,HARTLEY_OFFICIAL,OFF-LIT,METHOD,relative_pose,position_drift_m_per_100m=33.6336; heading_drift_deg_per_min=31.042642; aligned_horizontal_rmse_m=50.187304; reference_path_length_m=328.471311,position_drift_m_per_100m=47.525517; heading_drift_deg_per_min=40.766176; aligned_horizontal_rmse_m=68.544623; reference_path_length_m=325.513916,position_drift_m_per_100m=28.558852; heading_drift_deg_per_min=13.987313; aligned_horizontal_rmse_m=77.50415; reference_path_length_m=337.422047,MAIN.07.BY2 | MAIN.07.BY2H | MAIN.07.BY2O,v3 evaluation point; distinct output types retain their own denominators
四足状态估计,LEG-DR,C4,INPUT_REFERENCE,relative_pose,position_drift_m_per_100m=0.069426; heading_drift_deg_per_min=0.17358; aligned_horizontal_rmse_m=6.209111; reference_path_length_m=328.471311,position_drift_m_per_100m=0.107526; heading_drift_deg_per_min=-0.156156; aligned_horizontal_rmse_m=9.178417; reference_path_length_m=325.513916,position_drift_m_per_100m=-0.379391; heading_drift_deg_per_min=1.426454; aligned_horizontal_rmse_m=6.322412; reference_path_length_m=337.422047,MAIN.08.BY2 | MAIN.08.BY2H | MAIN.08.BY2O,同一份运动学输入不经滤波能达到的漂移水平；机载姿态是输入；非文献方法
松耦合,LC01,LIT,METHOD,imu_point_nav,yaw_rmse_deg=2.994827; horizontal_rmse_m=0.097548; up_rmse_m=0.050664; coverage_ratio=1 [matched=58014/output=58014],yaw_rmse_deg=2.208612; horizontal_rmse_m=0.074606; up_rmse_m=0.044804; coverage_ratio=1 [matched=59934/output=59934],yaw_rmse_deg=2.453697; horizontal_rmse_m=0.054304; up_rmse_m=0.044752; coverage_ratio=1 [matched=78441/output=78441],MAIN.09.BY2 | MAIN.09.BY2H | MAIN.09.BY2O,v3 evaluation point; distinct output types retain their own denominators
单天线,EXT05C,LIT,METHOD,imu_point_nav,yaw_rmse_deg=12.048642; horizontal_rmse_m=0.087751; up_rmse_m=0.05647; coverage_ratio=1 [matched=58014/output=58014],yaw_rmse_deg=20.108223; horizontal_rmse_m=0.06919; up_rmse_m=0.050646; coverage_ratio=1 [matched=59934/output=59934],yaw_rmse_deg=5.845502; horizontal_rmse_m=0.051954; up_rmse_m=0.048903; coverage_ratio=1 [matched=78441/output=78441],MAIN.10.BY2 | MAIN.10.BY2H | MAIN.10.BY2O,v3 evaluation point; distinct output types retain their own denominators
