category,method,config,role,output_type,BY2,BY2H,BY2O,source_ids,notes
松耦合,LC01-S,S,SUPPLEMENT,imu_point_nav,yaw_rmse_deg=1.539239; horizontal_rmse_m=0.103525; up_rmse_m=0.04525; coverage_ratio=1 [matched=58014/output=58014],yaw_rmse_deg=1.943003; horizontal_rmse_m=0.083733; up_rmse_m=0.040364; coverage_ratio=1 [matched=59934/output=59934],yaw_rmse_deg=4.015602; horizontal_rmse_m=0.060462; up_rmse_m=0.03993; coverage_ratio=1 [matched=78441/output=78441],SUPP.01.BY2 | SUPP.01.BY2H | SUPP.01.BY2O,v3 evaluation point; distinct output types retain their own denominators
单天线,EXT05C-S,S,SUPPLEMENT,imu_point_nav,yaw_rmse_deg=9.722098; horizontal_rmse_m=0.114228; up_rmse_m=0.046998; coverage_ratio=1 [matched=58014/output=58014],yaw_rmse_deg=8.114756; horizontal_rmse_m=0.085419; up_rmse_m=0.043321; coverage_ratio=1 [matched=59934/output=59934],yaw_rmse_deg=8.266805; horizontal_rmse_m=0.07508; up_rmse_m=0.039767; coverage_ratio=1 [matched=78441/output=78441],SUPP.02.BY2 | SUPP.02.BY2H | SUPP.02.BY2O,v3 evaluation point; distinct output types retain their own denominators
四足状态估计,HARTLEY_OFFICIAL,OFF-DEF,SUPPLEMENT,relative_pose,position_drift_m_per_100m=21.889076; heading_drift_deg_per_min=17.423707; aligned_horizontal_rmse_m=35.463605; reference_path_length_m=328.471311,position_drift_m_per_100m=34.015027; heading_drift_deg_per_min=23.239761; aligned_horizontal_rmse_m=51.281549; reference_path_length_m=325.513916,position_drift_m_per_100m=11.652023; heading_drift_deg_per_min=7.502424; aligned_horizontal_rmse_m=30.683277; reference_path_length_m=337.422047,SUPP.03.BY2 | SUPP.03.BY2H | SUPP.03.BY2O,v3 evaluation point; distinct output types retain their own denominators
四足状态估计,Hartley-S,S,UNVALIDATED_PORT,relative_pose,position_drift_m_per_100m=34.07743; heading_drift_deg_per_min=-101.193364; aligned_horizontal_rmse_m=84.155025; reference_path_length_m=328.471311,position_drift_m_per_100m=ABNORMAL_EXIT: ABNORMAL_EXIT; heading_drift_deg_per_min=ABNORMAL_EXIT: ABNORMAL_EXIT; aligned_horizontal_rmse_m=ABNORMAL_EXIT: ABNORMAL_EXIT; reference_path_length_m=ABNORMAL_EXIT: ABNORMAL_EXIT,position_drift_m_per_100m=9.047665; heading_drift_deg_per_min=495.07712; aligned_horizontal_rmse_m=89.675928; reference_path_length_m=337.422047,SUPP.04.BY2 | SUPP.04.BY2H | SUPP.04.BY2O,自写移植，未通过精度验证，见 HX-02D
四足状态估计,Hartley-LIT,LIT,UNVALIDATED_PORT,relative_pose,position_drift_m_per_100m=36.281413; heading_drift_deg_per_min=31.94042; aligned_horizontal_rmse_m=53.399514; reference_path_length_m=328.471311,position_drift_m_per_100m=ABNORMAL_EXIT: ABNORMAL_EXIT; heading_drift_deg_per_min=ABNORMAL_EXIT: ABNORMAL_EXIT; aligned_horizontal_rmse_m=ABNORMAL_EXIT: ABNORMAL_EXIT; reference_path_length_m=ABNORMAL_EXIT: ABNORMAL_EXIT,position_drift_m_per_100m=27.698786; heading_drift_deg_per_min=13.391928; aligned_horizontal_rmse_m=77.552209; reference_path_length_m=337.422047,SUPP.05.BY2 | SUPP.05.BY2H | SUPP.05.BY2O,自写移植，未通过精度验证，见 HX-02D
双天线航向,EXT03,RATIO_FIXED_SUBSET,SUBSET,heading_subset,ratio_fixed_rate=0.076642 [105/1370]; ratio_fixed_rmse_deg=40.630846,ratio_fixed_rate=0.040741 [55/1350]; ratio_fixed_rmse_deg=45.049776,ratio_fixed_rate=0.002653 [5/1885]; ratio_fixed_rmse_deg=35.139951,SUPP.06.BY2 | SUPP.06.BY2H | SUPP.06.BY2O,子集指标，不替代主行
双天线航向,RTKLIB_UNMODIFIED_MOVING_BASE,Q2_SUBSET,SUBSET,heading_subset,q2_float_rate=0.30365 [416/1370]; q2_float_rmse_deg=90.785046,q2_float_rate=0.211852 [286/1350]; q2_float_rmse_deg=104.891563,q2_float_rate=0.089125 [168/1885]; q2_float_rmse_deg=91.735474,SUPP.07.BY2 | SUPP.07.BY2H | SUPP.07.BY2O,子集指标，不替代主行
BY2H起点敏感性,LC01,LIT,FILE_START_SUPPLEMENT,imu_point_nav,NOT_APPLICABLE: BY2H FILE_START supplement,yaw_rmse_deg=2.173936; horizontal_rmse_m=0.097453; up_rmse_m=0.055628; coverage_ratio=1 [matched=59934/output=59934],NOT_APPLICABLE: BY2H FILE_START supplement,SUPP.08.BY2 | SUPP.08.BY2H | SUPP.08.BY2O,BY2H FILE_START sensitivity
BY2H起点敏感性,LC01-S,S,FILE_START_SUPPLEMENT,imu_point_nav,NOT_APPLICABLE: BY2H FILE_START supplement,yaw_rmse_deg=1.794054; horizontal_rmse_m=0.106709; up_rmse_m=0.040726; coverage_ratio=1 [matched=59934/output=59934],NOT_APPLICABLE: BY2H FILE_START supplement,SUPP.09.BY2 | SUPP.09.BY2H | SUPP.09.BY2O,BY2H FILE_START sensitivity
BY2H起点敏感性,EXT05C,LIT,FILE_START_SUPPLEMENT,imu_point_nav,NOT_APPLICABLE: BY2H FILE_START supplement,yaw_rmse_deg=55.609934; horizontal_rmse_m=0.197284; up_rmse_m=0.078735; coverage_ratio=1 [matched=59934/output=59934],NOT_APPLICABLE: BY2H FILE_START supplement,SUPP.10.BY2 | SUPP.10.BY2H | SUPP.10.BY2O,BY2H FILE_START sensitivity
BY2H起点敏感性,EXT05C-S,S,FILE_START_SUPPLEMENT,imu_point_nav,NOT_APPLICABLE: BY2H FILE_START supplement,yaw_rmse_deg=ALGORITHM_FAILURE_DIVERGED: ALGORITHM_FAILURE_DIVERGED; horizontal_rmse_m=ALGORITHM_FAILURE_DIVERGED: ALGORITHM_FAILURE_DIVERGED; up_rmse_m=ALGORITHM_FAILURE_DIVERGED: ALGORITHM_FAILURE_DIVERGED; coverage_ratio=ALGORITHM_FAILURE_DIVERGED: ALGORITHM_FAILURE_DIVERGED,NOT_APPLICABLE: BY2H FILE_START supplement,SUPP.11.BY2 | SUPP.11.BY2H | SUPP.11.BY2O,BY2H FILE_START sensitivity
A2退化补充,LC01-BR,LIT-BR,MODIFIED_LC01_A2_ONLY,degradation_family_summary,yaw_rmse_deg=2.99535/3.01393 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=2.785782/8.121143 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=5.05624/11.733656 [finite=18/18; failure_or_unavailable=0],NOT_APPLICABLE: A2 supplement is BY2 only,NOT_APPLICABLE: A2 supplement is BY2 only,DEGRADATION.A2.LC01-BR,改动过的 LC01；只用于 A2 补充；median/P95，不是三序列 C00 结果
