项目,LegSA v2.1 取值与来源路径,LC01/EXT05C 取值与来源路径,分类,数值换算与事实
A1 位置/UTC,"GNSS1 HPPOSECEF；周2408、闰秒18；src/legsa_gins/paper_rebuild/clean5_parity/input_audit.py:41–71; src/legsa_gins/paper_rebuild/clean5_parity/providers.py:65,99–109",同一gnss1-raw.csv、同一HPPOSECEF decoder；周2408、闰秒18；src/legsa_gins/paper_rebuild/horizontal_literature/ext05_provider.py#build_solution_position_provider; src/legsa_gins/paper_rebuild/horizontal_literature/shared_raw_backend.py:523–551,共享-一致,"UTC=315964800+week×604800+iTOW_ms/1000−18；BY2闭窗[66,340]共1371历元，max‖ΔECEF‖=0 m、max绝对Δt=0 s"
A2 位置R,"diag(hAcc²,hAcc²,vAcc²)；hAcc中位/P95=.014/.016 m、vAcc=.012/.021 m；src/legsa_gins/paper_rebuild/clean5_parity/providers.py:104–109; src/legsa_gins/paper_rebuild/clean5_parity/input_audit.py:62–64",R1=pAcc1²·I3；pAcc1中位/P95=.019/.02545 m；src/legsa_gins/paper_rebuild/horizontal_literature/ext05_provider.py#build_solution_position_provider; configs/paper_rebuild/horizontal_literature/PHASE5_EXT05_PAVLASEK_CONTRACT_V1.yaml#solution_provider,方法特有,逐历元pAcc/hAcc中位/P95=1.3333333333333335/1.792857142857143；pAcc/vAcc=1.5333333333333332/1.7500000000000002；R构造不改
A3a IMU时基,"Go2 host stamp，offset=0 s；src/legsa_gins/input_generation/imu_txt_builder.py:92,109; configs/paper_rebuild/clean5/CLEAN5_BY2H_SEQUENCE_CONTRACT.yaml:630","Go2 stamp.sec+nanosec×1e−9，offset=0 s；src/legsa_gins/paper_rebuild/horizontal_literature/ext05_provider.py#_imu_only_messages,#build_imu_only_provider",共享-一致,absolute−sequence base_time；不加sys_stamp经验偏移
A3b 坐标/安装,"FLU→FRD [x,−y,−z]，再active RzRyRx安装[-1,0,0]°；src/legsa_gins/input_generation/imu_txt_builder.py:96–113; src/legsa_gins/paper_rebuild/clean5_imu_parity/providers.py:95–101","FLU→FRD，再active RzRyRx安装[-1,0,0]°；src/legsa_gins/paper_rebuild/horizontal_literature/ext05_provider.py#IMU_INSTALL_RPY_DEG,#build_imu_only_provider",共享-一致,"R=Rx(−π/180)·diag(1,−1,−1)；转换顺序一致"
A3c GNSS1杆臂,"FRD [0.03,0.03,−0.30] m；configs/paper_rebuild/clean5/CLEAN5_BY2H_SEQUENCE_CONTRACT.yaml:582","FRD [0.03,0.03,−0.30] m；configs/paper_rebuild/horizontal_literature/PHASE5_EXT05_PAVLASEK_CONTRACT_V1.yaml#frames_and_geometry; src/legsa_gins/paper_rebuild/horizontal_literature/ext05_provider.py#LEVER_IMU_TO_RECEIVER1_FRD_M",共享-一致,单位m，不改杆臂或安装角
A3d 基线/航向,"GNSS2−GNSS1 status A1差分；−atan2(rel_e,rel_n)，再90°−body_candidate；configs/paper_rebuild/clean5/CLEAN5_BY2H_SEQUENCE_CONTRACT.yaml#frozen_parameters.dual_yaw_contract","HPPOSECEF GNSS2−GNSS1三维向量；固定FRD [0,−0.350,0] m；EXT05C仅初始化用双接收机；configs/paper_rebuild/horizontal_literature/PHASE5_EXT05_PAVLASEK_CONTRACT_V1.yaml#frames_and_geometry; src/legsa_gins/paper_rebuild/horizontal_literature/ext05_pavlasek.py#measurement_jacobian",信息结构,天线物理顺序一致；标量A1航向和三维相对位置及相关R不可等同
A4 加计PSD,"vrw=[9.478382094779873,9.784198200134004,7.6321402201126745] m/s/√h；q=[0.024955479759623252,0.026591815116529294,0.01618043453873932] m²/s³；configs/paper_rebuild/clean5/CLEAN5_CALIBRATED_SENSOR_MODEL.yaml:146–153,183–186","[0.0289,0.0225,0.0576] m²/s³；configs/paper_rebuild/horizontal_literature/PHASE5_EXT05_PAVLASEK_CONTRACT_V1.yaml#process_noise_psd_paper_experiment",共享-不一致,"q=(vrw/60)²，最大互验误差3.469446951953614e−18；LC01/LegSA PSD比=[1.158062288458136,0.8461250163406164,3.5598549508725266]"
A5 陀螺PSD,arw三轴0.985 °/√h → 8.209651003126647e−08 rad²/s；configs/paper_rebuild/clean5/CLEAN5_CALIBRATED_SENSOR_MODEL.yaml:482–485,"[4e−4,4e−4,3.24e−4] rad²/s；configs/paper_rebuild/horizontal_literature/PHASE5_EXT05_PAVLASEK_CONTRACT_V1.yaml#process_noise_psd_paper_experiment",共享-不一致,"PSD=(0.985·π/180/60)²；LC01/LegSA std比=[69.80196488903431,69.80196488903431,62.82176840013088]"
A6 加计标度,"s=1.0308398903907543；当前样本三轴未舍入FRD比力，转换/安装后、乘dt前；src/legsa_gins/paper_rebuild/clean5_imu_parity/providers.py:50–57,95–101; configs/paper_rebuild/clean5/CLEAN5_CALIBRATED_SENSOR_MODEL.yaml:176",s=1.0，未施加；src/legsa_gins/paper_rebuild/horizontal_literature/ext05_provider.py#build_imu_only_provider,共享-不一致,dvel_s=(current_force_frd×s)×measured_dt；时间/gyro token不变；非已舍入增量二次缩放
A7 零偏,"21态含gyro/accel bias；gbstd=[9.38]*3 °/h；abstd=[4817.482008954474,8259.572423450163,2257.241538343225] mGal；前1000帧gyro均值预扣除，solver初值bias=0；configs/paper_rebuild/clean5/CLEAN5_BY2H_SEQUENCE_CONTRACT.yaml:569–581; src/legsa_gins/input_generation/imu_txt_builder.py:114–132; configs/paper_rebuild/clean5/CLEAN5_CALIBRATED_SENSOR_MODEL.yaml:150–153,486–493",9态无bias状态；首个合法5 s gyro均值常量；加计bias不估计；configs/paper_rebuild/horizontal_literature/PHASE5_EXT05_PAVLASEK_CONTRACT_V1.yaml#imu_calibration; src/legsa_gins/paper_rebuild/horizontal_literature/ext05_pavlasek.py#PavlasekIEKF; src/legsa_gins/paper_rebuild/horizontal_literature/ext05_provider.py#calibrate_static_imu,方法特有,gbstd×π/180/3600转换为rad/s；abstd×1e−5为m/s²；初始协方差和bias状态结构冻结
A8 静态标定窗,前1000帧gyro初始均值；BY2蹬脚下界62.579067 s、算法起点66 s；src/legsa_gins/input_generation/imu_txt_builder.py:114–125; configs/paper_rebuild/clean5/CLEAN5_BY2H_SEQUENCE_CONTRACT.yaml#window_contract.constants.by2_control,"used_preregistered_initial_interval=true；1031样本；绝对[1772784044.887078,1772784049.887078] s；<CLEAN_ROOT>/stages/CLEAN4_BY2_HORIZONTAL_LITERATURE_COMPARISON/06_EXT05_PAVLASEK_TWO_RECEIVER/C00/EXT05A_C00_NATIVE_SUMMARY.json#/provider/calibration",方法特有,"相对[44.887078046798706,49.887078046798706] s；gyro模中位=.015289418986737115 rad/s；accel模中位=9.507909327281775 m/s²；maxgap=.014250040054321289 s；不含蹬脚"
A9 重力,g_local=9.801554354839126 m/s²；configs/paper_rebuild/clean5/CLEAN5_CALIBRATED_SENSOR_MODEL.yaml:157,"静态判据和传播用同一local normal gravity=9.801554418645956 m/s²；src/legsa_gins/paper_rebuild/horizontal_literature/ext05_provider.py#local_normal_gravity_mps2,#calibrate_static_imu; src/legsa_gins/paper_rebuild/horizontal_literature/phase5_runner.py:462; <CLEAN_ROOT>/stages/CLEAN4_BY2_HORIZONTAL_LITERATURE_COMPARISON/06_EXT05_PAVLASEK_TWO_RECEIVER/C00/EXT05A_C00_NATIVE_SUMMARY.json#/provider/calibration",共享-不一致,LC01−LegSA=6.380683004181265e-08 m/s²；LC01不是9.80665；各自局部位置产生微小差异
A10 IMU间断,原始dt≤0或>0.1时drop增量；BY2H保留时间407.017058→413.041069及414.905067→415.081079；configs/paper_rebuild/clean5/CLEAN5_BY2H_SEQUENCE_CONTRACT.yaml:527; <CLEAN_ROOT>/stages/CLEAN5_CALIBRATED_SENSOR_MODEL/02_CALIBRATED_PROVIDERS/BY2H/CALIBRATED_IMU.imu; <CLEAN_ROOT>/stages/CLEAN5_CALIBRATED_SENSOR_MODEL/03_CALIBRATED_RUNS/CLEAN5_CALIBRATED_BY2H_A04/KF_GINS_Navresult.nav,传播dt>0.1抛PavlasekFilterError；src/legsa_gins/paper_rebuild/horizontal_literature/ext05_pavlasek.py:334–335,方法特有,长间隔6.024011 s跨初始化，首NAV=413.047045，无左NAV；内部.176012 s前后状态变化，loader使用保留行时间差；没有4.7 s保留增量步；机制待H-EXT-02
A11 输出时间支撑,"P07 A04/CAL与V2S均56642/56642/1.0；56642÷274=206.72262773722628 rows/s；<CLEAN_ROOT>/stages/CLEAN5_DEGSUBSET_BY2/09_HORIZONTAL_V3/HORIZONTAL_TABLE_V3.csv#LegSA_CAL,LegSA_V2S及source_row EVALUATION_RESULT.json","LC01/EXT05C均58014/58014/1.0；58014÷274=211.72992700729927 rows/s；<CLEAN_ROOT>/stages/CLEAN5_DEGSUBSET_BY2/09_HORIZONTAL_V3/HORIZONTAL_TABLE_V3.csv#LC01_EXT05A,EXT05C及EVALUATION_RESULT.json",信息结构,三元组=output_epoch_count/matched_epoch_count/coverage_ratio；同窗口不等于同NAV样本率/采样权重
A12 评估器/点/窗口,"同aa049248…；v3杆臂[.03,−.148095745932992,−.30] m；[66,340] s；src/legsa_gins/paper_rebuild/clean5_parity/evaluation.py:34–55; configs/paper_rebuild/clean5/CLEAN5_CALIBRATED_EXECUTION_CONTRACT.yaml#sequences.BY2",同aa049248…、同v3点和窗口；外部argv省略--std；<CLEAN_ROOT>/stages/CLEAN5_DEGSUBSET_BY2/09_HORIZONTAL_V3/HORIZONTAL_TABLE_V3.csv#LC01_EXT05A; src/legsa_gins/paper_rebuild/clean5_parity/external_completion.py,共享-一致,"v3 lever=[.03,.03−.5×b_med,−.30]，b_med=.356191491865984；体坐标三分量见下表，仅保留P07原值"
方法结构 过程注入/初协方差,"21态EKF；initposstd10 m/initvelstd1 m/s/initattstd2°；configs/paper_rebuild/clean5/CLEAN5_BY2H_SEQUENCE_CONTRACT.yaml#frozen_parameters.filter_contract,#initialization_contract","9态SE₂(3)左不变误差；初协方差att=(π/3)²I3、vel=.1²I3、pos=.1²I3；Van Loan；configs/paper_rebuild/horizontal_literature/PHASE5_EXT05_PAVLASEK_CONTRACT_V1.yaml#initialization; src/legsa_gins/paper_rebuild/horizontal_literature/ext05_pavlasek.py#continuous_error_matrices,#van_loan_discretize",方法特有,共享变体不改过程噪声注入方式、初始协方差、R构造、静态标定或几何阈值
信息结构 辅助观测,"位置、A1 yaw、接收机速度、Raw Doppler及RP/HV；configs/paper_rebuild/clean5/CLEAN5_BY2H_SEQUENCE_CONTRACT.yaml#frozen_parameters.filter_contract,#solver_common","LC01两位置接收机；EXT05C单位置更新；无RP/HV/Raw Doppler；configs/paper_rebuild/horizontal_literature/PHASE5_EXT05_PAVLASEK_CONTRACT_V1.yaml#methods,#solution_provider",信息结构,剩余差距不构成纯EKF/IEKF公式因果比较
