sequence_id,configuration_id,subset_case_id,segment_id,native_status,status,attempted,accepted,rejected,nis_rejected,nis_rejection_rate,nis_rejection_denominator,reason_counts,source
BY2,F02,,full,COMPLETED,AVAILABLE,1369,1369,0,0,0.0,all B3 attempts in this sequence/case/segment,"{""BASIC_ACCEPT"": 1369}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2/F02/B3
BY2,F02,,outside,COMPLETED,AVAILABLE,1369,1369,0,0,0.0,all B3 attempts in this sequence/case/segment,"{""BASIC_ACCEPT"": 1369}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2/F02/B3
BY2,A04,,full,COMPLETED,AVAILABLE,1369,1020,349,349,0.25493060628195763,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1020, ""NIS_3DOF_REJECT"": 349}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2/A04/B3
BY2,A04,,outside,COMPLETED,AVAILABLE,1369,1020,349,349,0.25493060628195763,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1020, ""NIS_3DOF_REJECT"": 349}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2/A04/B3
BY2,F04,,full,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2/F04/B3
BY2,F04,,outside,COMPLETED,AVAILABLE,1369,1012,357,357,0.26077428780131484,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2/F04/B3
BY2H,F02,,full,COMPLETED,AVAILABLE,1349,1349,0,0,0.0,all B3 attempts in this sequence/case/segment,"{""BASIC_ACCEPT"": 1349}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2H/F02/B3
BY2H,F02,,outside,COMPLETED,AVAILABLE,1349,1349,0,0,0.0,all B3 attempts in this sequence/case/segment,"{""BASIC_ACCEPT"": 1349}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2H/F02/B3
BY2H,A04,,full,COMPLETED,AVAILABLE,1349,947,402,402,0.29799851742031136,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 947, ""NIS_3DOF_REJECT"": 402}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2H/A04/B3
BY2H,A04,,outside,COMPLETED,AVAILABLE,1349,947,402,402,0.29799851742031136,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 947, ""NIS_3DOF_REJECT"": 402}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2H/A04/B3
BY2H,F04,,full,COMPLETED,AVAILABLE,1349,946,403,403,0.2987398072646405,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 946, ""NIS_3DOF_REJECT"": 403}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2H/F04/B3
BY2H,F04,,outside,COMPLETED,AVAILABLE,1349,946,403,403,0.2987398072646405,all B3 attempts in this sequence/case/segment,"{""ACCEPT"": 946, ""NIS_3DOF_REJECT"": 403}",<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2H/F04/B3
