sequence_id,method_id,start_convention,evaluator_contract,segment_id,window_start_s,window_end_s,count,error_series_source,endpoint_policy,status,h_rmse_m,position_3d_rmse_m,up_rmse_m,yaw_rmse_deg,roll_rmse_deg,pitch_rmse_deg,yaw_p95_absolute_deg,yaw_median_absolute_deg,data_mode,synthetic_data_used,semisynthetic_data_used,frozen_source_table,configuration_id,variant,delta_vs_frozen_h_rmse_m,delta_vs_frozen_position_3d_rmse_m,delta_vs_frozen_up_rmse_m,delta_vs_frozen_yaw_rmse_deg,delta_vs_frozen_yaw_p95_absolute_deg,delta_vs_frozen_roll_rmse_deg,delta_vs_frozen_pitch_rmse_deg,delta_vs_frozen_body_forward_bias_m,delta_vs_frozen_body_right_bias_m,delta_vs_frozen_body_up_bias_m,delta_vs_frozen_output_epoch_count,delta_vs_frozen_matched_epoch_count,delta_vs_frozen_coverage_ratio,delta_vs_frozen_gap_events_in_window,delta_vs_frozen_gnss2_pacc_inflated_epochs,delta_vs_frozen_gnss2_float_epochs,delta_vs_t5a_r5_h_rmse_m,delta_vs_t5a_r5_position_3d_rmse_m,delta_vs_t5a_r5_up_rmse_m,delta_vs_t5a_r5_yaw_rmse_deg,delta_vs_t5a_r5_yaw_p95_absolute_deg,delta_vs_t5a_r5_roll_rmse_deg,delta_vs_t5a_r5_pitch_rmse_deg,delta_vs_t5a_r5_body_forward_bias_m,delta_vs_t5a_r5_body_right_bias_m,delta_vs_t5a_r5_body_up_bias_m,delta_vs_t5a_r5_output_epoch_count,delta_vs_t5a_r5_matched_epoch_count,delta_vs_t5a_r5_coverage_ratio,delta_vs_t5a_r5_gap_events_in_window,delta_vs_t5a_r5_gnss2_pacc_inflated_epochs,delta_vs_t5a_r5_gnss2_float_epochs,role
BY2O,F02,FROZEN_V21,evaluator_contract_v3,full,3186.0,3563.0,76548,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/SEQUENCE_BY2O_F02/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED,AVAILABLE,0.05733296748353202,0.07362105267855322,0.0461843072593989,2.899741525819664,1.8741892051185538,1.736278656870533,5.479604384745735,1.5833863955405434,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/11_READONLY_CLOSEOUT_H_EXT_04L/BY2O_SEGMENT_SUMMARY.csv,F02,FROZEN_V21,0E-17,0E-17,0E-16,0E-15,0E-15,0E-16,0E-15,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.002608296424734356,0.00201886779601997,0.00000982017552471,0.590250539097111,1.9168652034671987,-0.0052741541500614,0.005068265207642,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
BY2O,F02,FROZEN_V21,evaluator_contract_v3,occlusion_primary,3369.94,3411.95,7612,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/SEQUENCE_BY2O_F02/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED,AVAILABLE,0.030076717988349683,0.03397988891296792,0.015812143611380544,1.4289911432042175,1.715308811072783,0.281712004574615,2.1953641955489984,1.1819087574222493,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/11_READONLY_CLOSEOUT_H_EXT_04L/BY2O_SEGMENT_SUMMARY.csv,F02,FROZEN_V21,0E-18,0E-17,0E-18,0E-16,0E-16,0E-15,0E-15,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.006218443835687305,0.005365113618806466,0.000013785481759790,0.5659541766342756,0.9608624778360164,-0.017973439787067,0.0144393605056424,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
BY2O,F02,FROZEN_V21,evaluator_contract_v3,occlusion_secondary,3495.94,3508.94,2754,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/SEQUENCE_BY2O_F02/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED,AVAILABLE,0.0497334164936944,0.062276243944278026,0.03748223370707714,1.8094064215398993,1.1978211211206307,2.526436219235852,3.0923350288956684,1.4717978741956017,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/11_READONLY_CLOSEOUT_H_EXT_04L/BY2O_SEGMENT_SUMMARY.csv,F02,FROZEN_V21,0E-16,0E-18,0E-17,0E-16,0E-16,0E-16,0E-15,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.00657153287094702,0.005141034312329236,0.000045834550332056,0.2301947070042393,0.3839054774206528,-0.0123867439095024,0.019570285979317,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
BY2O,F02,FROZEN_V21,evaluator_contract_v3,inside_union,3186.0,3563.0,10366,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/SEQUENCE_BY2O_F02/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,UNION_OF_CLOSED_OCCLUSIONS,AVAILABLE,0.03635110536718662,0.04333883526468295,0.02359770710647587,1.5392568984829296,1.5942945187708224,1.3244080779932084,2.595151424867119,1.2230208013610024,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/11_READONLY_CLOSEOUT_H_EXT_04L/BY2O_SEGMENT_SUMMARY.csv,F02,FROZEN_V21,0E-17,0E-17,0E-17,0E-16,0E-15,0E-16,0E-16,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.006136360083983214,0.00501716614190920,0.00002612481282219,0.4394746570689632,0.2960045134478053,-0.0166726220727156,0.0121330186878897,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
BY2O,F02,FROZEN_V21,evaluator_contract_v3,outside,3186.0,3563.0,66182,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/SEQUENCE_BY2O_F02/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED_WINDOW_MINUS_CLOSED_OCCLUSIONS,AVAILABLE,0.05995789271652586,0.07729687987641098,0.04878379587139448,3.058498193580042,1.914325442909991,1.7922362482181202,6.633911068603118,1.6414951428884734,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/11_READONLY_CLOSEOUT_H_EXT_04L/BY2O_SEGMENT_SUMMARY.csv,F02,FROZEN_V21,0E-17,0E-17,0E-17,0E-15,0E-15,0E-15,0E-16,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.00233091605854620,0.00179938884818652,0.00000877446886201,0.613151389435438,2.741041171983446,-0.0037907735838866,0.0042780005527947,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
BY2O,A04,FROZEN_V21,evaluator_contract_v3,full,3186.0,3563.0,76548,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/SEQUENCE_BY2O_A04/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED,AVAILABLE,0.05642104424081327,0.07166108209524331,0.044181177596770684,3.188831733943275,1.4493535680834266,1.6792478396510406,6.115665954656747,1.9896235328061351,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/11_READONLY_CLOSEOUT_H_EXT_04L/BY2O_SEGMENT_SUMMARY.csv,A04,FROZEN_V21,0E-17,0E-17,0E-18,0E-15,0E-15,0E-16,0E-16,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
BY2O,A04,FROZEN_V21,evaluator_contract_v3,occlusion_primary,3369.94,3411.95,7612,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/SEQUENCE_BY2O_A04/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED,AVAILABLE,0.030467036263378888,0.034447957158444426,0.016075492331993377,2.0938520277805237,0.7414264787652797,0.26671025340510857,2.565063679478533,1.9558440385299178,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/11_READONLY_CLOSEOUT_H_EXT_04L/BY2O_SEGMENT_SUMMARY.csv,A04,FROZEN_V21,0E-18,0E-18,0E-18,0E-16,0E-15,0E-16,0E-17,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
BY2O,A04,FROZEN_V21,evaluator_contract_v3,occlusion_secondary,3495.94,3508.94,2754,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/SEQUENCE_BY2O_A04/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED,AVAILABLE,0.04498898041985671,0.05922573674595874,0.038518560900991046,1.3029590487149485,0.9659518135366719,2.204287312864824,2.367751522242439,0.872586884313634,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/11_READONLY_CLOSEOUT_H_EXT_04L/BY2O_SEGMENT_SUMMARY.csv,A04,FROZEN_V21,0E-17,0E-17,0E-18,0E-16,0E-15,0E-16,0E-15,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
BY2O,A04,FROZEN_V21,evaluator_contract_v3,inside_union,3186.0,3563.0,10366,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/SEQUENCE_BY2O_A04/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,UNION_OF_CLOSED_OCCLUSIONS,AVAILABLE,0.034919333428294314,0.042465318460208706,0.024164921370667617,1.9158479435208784,0.8071927460432566,1.1589328466734736,2.547766882337612,1.9003802067509241,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/11_READONLY_CLOSEOUT_H_EXT_04L/BY2O_SEGMENT_SUMMARY.csv,A04,FROZEN_V21,0E-18,0E-18,0E-18,0E-16,0E-15,0E-16,0E-16,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
BY2O,A04,FROZEN_V21,evaluator_contract_v3,outside,3186.0,3563.0,66182,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/SEQUENCE_BY2O_A04/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED_WINDOW_MINUS_CLOSED_OCCLUSIONS,AVAILABLE,0.0590842531446388,0.07521435132671335,0.04654298739701293,3.3446148340440676,1.5256444600417574,1.74676111900618,7.028124067527231,2.035707453022866,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/11_READONLY_CLOSEOUT_H_EXT_04L/BY2O_SEGMENT_SUMMARY.csv,A04,FROZEN_V21,0E-16,0E-17,0E-17,0E-16,0E-15,0E-16,0E-14,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
BY2O,F04,FROZEN_V21,evaluator_contract_v3,full,3186.0,3563.0,76548,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/SEQUENCE_BY2O_F04/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED,AVAILABLE,0.057041149159153724,0.0731928014290208,0.04586385814158297,3.197136492350906,1.5059072247937308,1.6961129933181778,6.118878906231627,2.002836388562656,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/11_READONLY_CLOSEOUT_H_EXT_04L/BY2O_SEGMENT_SUMMARY.csv,F04,FROZEN_V21,0E-18,0E-16,0E-17,0E-15,0E-15,0E-16,0E-16,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.002497938246278558,0.0019327057952274,0.00000495090371920,0.763321559527192,2.409635608588108,-0.0012051633683064,0.0010817389258076,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
BY2O,F04,FROZEN_V21,evaluator_contract_v3,occlusion_primary,3369.94,3411.95,7612,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/SEQUENCE_BY2O_F04/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED,AVAILABLE,0.030452974830670953,0.03433494120181795,0.015858893760121374,2.113702085582116,0.9148416589858672,0.2313029957441166,2.579688167729752,1.9790809596001537,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/11_READONLY_CLOSEOUT_H_EXT_04L/BY2O_SEGMENT_SUMMARY.csv,F04,FROZEN_V21,0E-18,0E-17,0E-18,0E-15,0E-15,0E-16,0E-16,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.006249003612852353,0.00540567194696119,0.000013692691437878,1.8811880035015861,2.11341758137086654,-0.0105748892071313,-0.00825306586766612,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
BY2O,F04,FROZEN_V21,evaluator_contract_v3,occlusion_secondary,3495.94,3508.94,2754,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/SEQUENCE_BY2O_F04/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED,AVAILABLE,0.04563898235551861,0.06001334715871122,0.03897031083715718,1.3055880309678742,0.9171233970746139,2.226109712624651,2.369581519542443,0.8750836007465352,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/11_READONLY_CLOSEOUT_H_EXT_04L/BY2O_SEGMENT_SUMMARY.csv,F04,FROZEN_V21,0E-17,0E-17,0E-17,0E-16,0E-15,0E-16,0E-15,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.00512101590358900,0.00380723128493441,0.000016211486553135,-0.5559541632310378,-0.6706424966778597,0.0035771580410714,0.010071334041137,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
BY2O,F04,FROZEN_V21,evaluator_contract_v3,inside_union,3186.0,3563.0,10366,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/SEQUENCE_BY2O_F04/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,UNION_OF_CLOSED_OCCLUSIONS,AVAILABLE,0.03513376379687438,0.04269128321915321,0.024252098968200485,1.932259341950813,0.9154484173669603,1.1644152556130707,2.563176139030574,1.9222154624263226,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/11_READONLY_CLOSEOUT_H_EXT_04L/BY2O_SEGMENT_SUMMARY.csv,F04,FROZEN_V21,0E-17,0E-17,0E-18,0E-15,0E-15,0E-16,0E-16,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.005699893804362955,0.00456173292521086,0.000013495401117385,0.9522807935121336,-0.069561086444672,-0.0068293746941031,0.0038849573161983,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
