case_id,sidecar_sha256,C00_sidecar_sha256,sidecar_byte_equal_C00,sidecar_rows,sidecar_valid_count,original_dual_yaw_injection_reaches_B3_sidecar,hv_frozen_source_sha256,C00_hv_sha256,hv_byte_equal_C00,hv_changed_rows,hv_changed_field_counts,hv_valid_rows,hv_rows,T5bc_HV_equals_corresponding_frozen_case,frozen_provider_yaw_before_HV,original_components,source_bundle,source_hv,source_sidecar,interpretation
D30_seed_00,115840838923ea4132b195a5e1308c1d5a5c8d0f1978114e2fe613d2bb5afe41,115840838923ea4132b195a5e1308c1d5a5c8d0f1978114e2fe613d2bb5afe41,True,1510,1510,False,22d6d2726b07c4121cd7d72e4d9030099df87c27d9b96980f05debbd530133d5,3d37106f68c3f695f6acd84792c77a95a4ff6c6571ef5394dc0cfc9f5fdbeb0e,False,1120,"{""a1_heading_valid"": 1120, ""reason_codes"": 1120, ""update_flag"": 1120, ""valid"": 1120, ""ve"": 1120, ""vn"": 1120}",59747,63278,True,True,"[{""affected_epoch_count"": 5, ""affected_source"": ""dual_yaw"", ""component"": ""outage"", ""details"": {""interval"": [203.7, 208.7]}, ""status"": ""PASS""}]",<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/02_CASE_PROVIDERS/D30_seed_00/PROVIDER_BUNDLE.json,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/02_CASE_PROVIDERS/D30_seed_00/GO2_HORIZONTAL_VELOCITY_PRIOR.csv,<T5BC_SCRATCH>/03_PROVIDER_TABLES/SUBSET61/D30_seed_00/B3/baseline3d.csv,Original injected A1 retained indirectly through frozen HV; B3 sidecar is replaced by raw baseline and is byte equal to C00
D31_seed_00,115840838923ea4132b195a5e1308c1d5a5c8d0f1978114e2fe613d2bb5afe41,115840838923ea4132b195a5e1308c1d5a5c8d0f1978114e2fe613d2bb5afe41,True,1510,1510,False,76f02209f0522d44d9ad4e2484b7495dba625697e01c90c6a00b5304e40001c4,3d37106f68c3f695f6acd84792c77a95a4ff6c6571ef5394dc0cfc9f5fdbeb0e,False,3843,"{""a1_heading_valid"": 3843, ""reason_codes"": 3843, ""update_flag"": 3843, ""valid"": 3843, ""ve"": 3843, ""vn"": 3843}",57024,63278,True,True,"[{""affected_epoch_count"": 20, ""affected_source"": ""dual_yaw"", ""component"": ""outage"", ""details"": {""interval"": [196.2, 216.2]}, ""status"": ""PASS""}]",<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/02_CASE_PROVIDERS/D31_seed_00/PROVIDER_BUNDLE.json,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/02_CASE_PROVIDERS/D31_seed_00/GO2_HORIZONTAL_VELOCITY_PRIOR.csv,<T5BC_SCRATCH>/03_PROVIDER_TABLES/SUBSET61/D31_seed_00/B3/baseline3d.csv,Original injected A1 retained indirectly through frozen HV; B3 sidecar is replaced by raw baseline and is byte equal to C00
D32_seed_00,115840838923ea4132b195a5e1308c1d5a5c8d0f1978114e2fe613d2bb5afe41,115840838923ea4132b195a5e1308c1d5a5c8d0f1978114e2fe613d2bb5afe41,True,1510,1510,False,a861f5b4c61f6fce449be99fd6965b57ac5ceee4c08e9e48a0b994a03c998951,3d37106f68c3f695f6acd84792c77a95a4ff6c6571ef5394dc0cfc9f5fdbeb0e,False,63278,"{""ve"": 63278, ""vn"": 63278}",60867,63278,True,True,"[{""affected_epoch_count"": 301, ""affected_source"": ""dual_yaw"", ""component"": ""dual_yaw_noise"", ""details"": {""sigma_deg"": 1.0, ""std_factor"": 1.0}, ""status"": ""PASS""}]",<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/02_CASE_PROVIDERS/D32_seed_00/PROVIDER_BUNDLE.json,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/02_CASE_PROVIDERS/D32_seed_00/GO2_HORIZONTAL_VELOCITY_PRIOR.csv,<T5BC_SCRATCH>/03_PROVIDER_TABLES/SUBSET61/D32_seed_00/B3/baseline3d.csv,Original injected A1 retained indirectly through frozen HV; B3 sidecar is replaced by raw baseline and is byte equal to C00
D33_seed_00,115840838923ea4132b195a5e1308c1d5a5c8d0f1978114e2fe613d2bb5afe41,115840838923ea4132b195a5e1308c1d5a5c8d0f1978114e2fe613d2bb5afe41,True,1510,1510,False,e1349ec6dbaf9fea058be98ebca981ca28d657c92871f88e01831c30ccb487bf,3d37106f68c3f695f6acd84792c77a95a4ff6c6571ef5394dc0cfc9f5fdbeb0e,False,63278,"{""ve"": 63278, ""vn"": 63278}",60867,63278,True,True,"[{""affected_epoch_count"": 301, ""affected_source"": ""dual_yaw"", ""component"": ""dual_yaw_noise"", ""details"": {""sigma_deg"": 5.0, ""std_factor"": 1.0}, ""status"": ""PASS""}]",<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/02_CASE_PROVIDERS/D33_seed_00/PROVIDER_BUNDLE.json,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/02_CASE_PROVIDERS/D33_seed_00/GO2_HORIZONTAL_VELOCITY_PRIOR.csv,<T5BC_SCRATCH>/03_PROVIDER_TABLES/SUBSET61/D33_seed_00/B3/baseline3d.csv,Original injected A1 retained indirectly through frozen HV; B3 sidecar is replaced by raw baseline and is byte equal to C00
D34_seed_00,115840838923ea4132b195a5e1308c1d5a5c8d0f1978114e2fe613d2bb5afe41,115840838923ea4132b195a5e1308c1d5a5c8d0f1978114e2fe613d2bb5afe41,True,1510,1510,False,c204cd4dc9d85462031fc7231ebaceb73e535965bea138c17ab4c0412cff4997,3d37106f68c3f695f6acd84792c77a95a4ff6c6571ef5394dc0cfc9f5fdbeb0e,False,6017,"{""ve"": 6017, ""vn"": 6017}",60867,63278,True,True,"[{""affected_epoch_count"": 15, ""affected_source"": ""dual_yaw"", ""component"": ""dual_yaw_spikes"", ""details"": {""probability"": 0.05, ""signed_magnitude_deg"": 10.0}, ""status"": ""PASS""}]",<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/02_CASE_PROVIDERS/D34_seed_00/PROVIDER_BUNDLE.json,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/02_CASE_PROVIDERS/D34_seed_00/GO2_HORIZONTAL_VELOCITY_PRIOR.csv,<T5BC_SCRATCH>/03_PROVIDER_TABLES/SUBSET61/D34_seed_00/B3/baseline3d.csv,Original injected A1 retained indirectly through frozen HV; B3 sidecar is replaced by raw baseline and is byte equal to C00
D35_seed_00,115840838923ea4132b195a5e1308c1d5a5c8d0f1978114e2fe613d2bb5afe41,115840838923ea4132b195a5e1308c1d5a5c8d0f1978114e2fe613d2bb5afe41,True,1510,1510,False,42e2a1f2013cf8139353e058fcf203e14ad4b6194d2d7206db432756e9952d14,3d37106f68c3f695f6acd84792c77a95a4ff6c6571ef5394dc0cfc9f5fdbeb0e,False,11892,"{""ve"": 11892, ""vn"": 11892}",60867,63278,True,True,"[{""affected_epoch_count"": 30, ""affected_source"": ""dual_yaw"", ""component"": ""dual_yaw_spikes"", ""details"": {""probability"": 0.1, ""signed_magnitude_deg"": 10.0}, ""status"": ""PASS""}]",<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/02_CASE_PROVIDERS/D35_seed_00/PROVIDER_BUNDLE.json,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/02_CASE_PROVIDERS/D35_seed_00/GO2_HORIZONTAL_VELOCITY_PRIOR.csv,<T5BC_SCRATCH>/03_PROVIDER_TABLES/SUBSET61/D35_seed_00/B3/baseline3d.csv,Original injected A1 retained indirectly through frozen HV; B3 sidecar is replaced by raw baseline and is byte equal to C00
D36_seed_00,115840838923ea4132b195a5e1308c1d5a5c8d0f1978114e2fe613d2bb5afe41,115840838923ea4132b195a5e1308c1d5a5c8d0f1978114e2fe613d2bb5afe41,True,1510,1510,False,3d37106f68c3f695f6acd84792c77a95a4ff6c6571ef5394dc0cfc9f5fdbeb0e,3d37106f68c3f695f6acd84792c77a95a4ff6c6571ef5394dc0cfc9f5fdbeb0e,True,0,{},60867,63278,True,True,"[{""affected_epoch_count"": 301, ""affected_source"": ""dual_yaw_std"", ""component"": ""dual_yaw_std_scale"", ""details"": {""factor"": 1.5}, ""status"": ""PASS""}]",<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/02_CASE_PROVIDERS/D36_seed_00/PROVIDER_BUNDLE.json,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/02_BASE_PROVIDERS/BY2/GO2_HORIZONTAL_VELOCITY_PRIOR.csv,<T5BC_SCRATCH>/03_PROVIDER_TABLES/SUBSET61/D36_seed_00/B3/baseline3d.csv,Original heading quality/metadata injection does not change HV nor the replacement B3 sidecar
D37_seed_00,115840838923ea4132b195a5e1308c1d5a5c8d0f1978114e2fe613d2bb5afe41,115840838923ea4132b195a5e1308c1d5a5c8d0f1978114e2fe613d2bb5afe41,True,1510,1510,False,3d37106f68c3f695f6acd84792c77a95a4ff6c6571ef5394dc0cfc9f5fdbeb0e,3d37106f68c3f695f6acd84792c77a95a4ff6c6571ef5394dc0cfc9f5fdbeb0e,True,0,{},60867,63278,True,True,"[{""affected_epoch_count"": 301, ""affected_source"": ""dual_yaw_std"", ""component"": ""dual_yaw_std_scale"", ""details"": {""factor"": 3.0}, ""status"": ""PASS""}]",<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/02_CASE_PROVIDERS/D37_seed_00/PROVIDER_BUNDLE.json,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/02_BASE_PROVIDERS/BY2/GO2_HORIZONTAL_VELOCITY_PRIOR.csv,<T5BC_SCRATCH>/03_PROVIDER_TABLES/SUBSET61/D37_seed_00/B3/baseline3d.csv,Original heading quality/metadata injection does not change HV nor the replacement B3 sidecar
D38_seed_00,115840838923ea4132b195a5e1308c1d5a5c8d0f1978114e2fe613d2bb5afe41,115840838923ea4132b195a5e1308c1d5a5c8d0f1978114e2fe613d2bb5afe41,True,1510,1510,False,a722ba18a1c4a45ff42a3ced1d41bc3e1d68d2f661f3c05029c0bae456a6b7ad,3d37106f68c3f695f6acd84792c77a95a4ff6c6571ef5394dc0cfc9f5fdbeb0e,False,63278,"{""ve"": 63278, ""vn"": 63278}",60867,63278,True,True,"[{""affected_epoch_count"": 301, ""affected_source"": ""dual_yaw"", ""component"": ""bad_yaw_optimistic_std"", ""details"": {""sigma_deg"": 10.0, ""std_factor"": 0.25}, ""status"": ""PASS""}]",<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/02_CASE_PROVIDERS/D38_seed_00/PROVIDER_BUNDLE.json,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/02_CASE_PROVIDERS/D38_seed_00/GO2_HORIZONTAL_VELOCITY_PRIOR.csv,<T5BC_SCRATCH>/03_PROVIDER_TABLES/SUBSET61/D38_seed_00/B3/baseline3d.csv,Original injected A1 retained indirectly through frozen HV; B3 sidecar is replaced by raw baseline and is byte equal to C00
D39_seed_00,115840838923ea4132b195a5e1308c1d5a5c8d0f1978114e2fe613d2bb5afe41,115840838923ea4132b195a5e1308c1d5a5c8d0f1978114e2fe613d2bb5afe41,True,1510,1510,False,8197878b11785618d831ac29075ea879b880abb6eccd4e67a304d3decc262cec,3d37106f68c3f695f6acd84792c77a95a4ff6c6571ef5394dc0cfc9f5fdbeb0e,False,1485,"{""a1_heading_valid"": 1485, ""reason_codes"": 1485, ""update_flag"": 1485, ""valid"": 1485, ""ve"": 1485, ""vn"": 1485}",59382,63278,True,True,"[{""affected_epoch_count"": 7, ""affected_source"": ""dual_yaw_quality"", ""component"": ""baseline_quality_dropout"", ""details"": {""burst_count"": 3, ""count_to_duration_seconds"": true, ""intervals"": [{""end_s"": 84.204517, ""frozen_affected_count"": 2, ""source_ids"": [""dual_yaw""], ""start_s"": 82.204517}, {""end_s"": 184.204872, ""frozen_affected_count"": 2, ""source_ids"": [""dual_yaw""], ""start_s"": 182.204872}, {""end_s"": 352.204539, ""frozen_affected_count"": 3, ""source_ids"": [""dual_yaw""], ""start_s"": 349.204539}]}, ""status"": ""PASS""}]",<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/02_CASE_PROVIDERS/D39_seed_00/PROVIDER_BUNDLE.json,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/02_CASE_PROVIDERS/D39_seed_00/GO2_HORIZONTAL_VELOCITY_PRIOR.csv,<T5BC_SCRATCH>/03_PROVIDER_TABLES/SUBSET61/D39_seed_00/B3/baseline3d.csv,Original injected A1 retained indirectly through frozen HV; B3 sidecar is replaced by raw baseline and is byte equal to C00
