run_id,sequence_id,configuration_id,variant,subset_case_id,data_mode,synthetic_data_used,semisynthetic_data_used,native_status,native_failure_classification,source,measurement_model,segment_id,epochs,attempted,accepted,rejected,not_attempted,invalid,missing,accounting_consistent,status,invalid_count_definition,nis_status,along_axis_residual_m_status,length_mismatch_m_status,nis_count,nis_available_count,nis_missing_count,nis_nonfinite_count,nis_mean,nis_std_ddof1,nis_p50,nis_p95,nis_p99,nis_min,nis_max,along_axis_residual_m_count,along_axis_residual_m_available_count,along_axis_residual_m_missing_count,along_axis_residual_m_nonfinite_count,along_axis_residual_m_mean,along_axis_residual_m_std_ddof1,along_axis_residual_m_p50,along_axis_residual_m_p95,along_axis_residual_m_p99,along_axis_residual_m_min,along_axis_residual_m_max,along_axis_residual_m_p95_absolute,length_mismatch_m_count,length_mismatch_m_available_count,length_mismatch_m_missing_count,length_mismatch_m_nonfinite_count,length_mismatch_m_mean,length_mismatch_m_std_ddof1,length_mismatch_m_p50,length_mismatch_m_p95,length_mismatch_m_p99,length_mismatch_m_min,length_mismatch_m_max,length_mismatch_m_p95_absolute,reason_counts,nis_rejected,nis_rejection_rate,nis_rejection_denominator,attempt_source,diagnostics_status
BY2__F04__R5SIGMA__SEQUENCE,BY2,F04,R5SIGMA,,real_raw,False,False,COMPLETED,NONE,<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2/F04/R5SIGMA,scalar_yaw,full,1369,1369,1348,21,0,UNAVAILABLE,UNAVAILABLE,True,AVAILABLE,UNAVAILABLE_FROM_SCALAR_TRACE,NOT_APPLICABLE_SCALAR_TRACE,NOT_APPLICABLE,NOT_APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY2__F04__R5SIGMA__SEQUENCE,BY2,F04,R5SIGMA,,real_raw,False,False,COMPLETED,NONE,<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2/F04/R5SIGMA,scalar_yaw,outside,1369,1369,1348,21,0,UNAVAILABLE,UNAVAILABLE,True,AVAILABLE,UNAVAILABLE_FROM_SCALAR_TRACE,NOT_APPLICABLE_SCALAR_TRACE,NOT_APPLICABLE,NOT_APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY2__F04__R5W__SEQUENCE,BY2,F04,R5W,,real_raw,False,False,COMPLETED,NONE,<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2/F04/R5W,scalar_yaw,full,1369,1369,1348,21,0,UNAVAILABLE,UNAVAILABLE,True,AVAILABLE,UNAVAILABLE_FROM_SCALAR_TRACE,NOT_APPLICABLE_SCALAR_TRACE,NOT_APPLICABLE,NOT_APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY2__F04__R5W__SEQUENCE,BY2,F04,R5W,,real_raw,False,False,COMPLETED,NONE,<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2/F04/R5W,scalar_yaw,outside,1369,1369,1348,21,0,UNAVAILABLE,UNAVAILABLE,True,AVAILABLE,UNAVAILABLE_FROM_SCALAR_TRACE,NOT_APPLICABLE_SCALAR_TRACE,NOT_APPLICABLE,NOT_APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY2__F02__B3__SEQUENCE,BY2,F02,B3,,real_raw,False,False,COMPLETED,NONE,<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2/F02/B3,baseline3d,full,1369,1369,1369,0,0,0,0,True,AVAILABLE,Includes missing sidecar epochs,AVAILABLE,AVAILABLE,AVAILABLE,1369,1369,0,0,16.275895901313095,39.43710832292367,5.8480395360157145,57.48738274206799,222.7638484441996,0.0220207853209941,428.74208011548114,1369,1369,0,0,0.004099065895527799,0.037392041227395784,0.0011197119623284,0.04776682237373335,0.1618595892142885,-0.1237858521656079,0.2366161841005664,0.08717029384967574,1369,1369,0,0,-7.934648759150024e-05,0.03281967732245518,-0.0003475133869162,0.043428768105117296,0.12394236889437162,-0.1242458223772608,0.2296213892378354,0.07834325942521866,"{""BASIC_ACCEPT"": 1369}",0,0.0,all B3 attempts in this sequence/case/segment,,
BY2__F02__B3__SEQUENCE,BY2,F02,B3,,real_raw,False,False,COMPLETED,NONE,<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2/F02/B3,baseline3d,outside,1369,1369,1369,0,0,0,0,True,AVAILABLE,Includes missing sidecar epochs,AVAILABLE,AVAILABLE,AVAILABLE,1369,1369,0,0,16.275895901313095,39.43710832292367,5.8480395360157145,57.48738274206799,222.7638484441996,0.0220207853209941,428.74208011548114,1369,1369,0,0,0.004099065895527799,0.037392041227395784,0.0011197119623284,0.04776682237373335,0.1618595892142885,-0.1237858521656079,0.2366161841005664,0.08717029384967574,1369,1369,0,0,-7.934648759150024e-05,0.03281967732245518,-0.0003475133869162,0.043428768105117296,0.12394236889437162,-0.1242458223772608,0.2296213892378354,0.07834325942521866,"{""BASIC_ACCEPT"": 1369}",0,0.0,all B3 attempts in this sequence/case/segment,,
BY2__A04__B3__SEQUENCE,BY2,A04,B3,,real_raw,False,False,COMPLETED,NONE,<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2/A04/B3,baseline3d,full,1369,1369,1020,349,0,0,0,True,AVAILABLE,Includes missing sidecar epochs,AVAILABLE,AVAILABLE,AVAILABLE,1369,1369,0,0,15.927900926981588,38.69086799751894,5.639942455808238,57.3012807734191,214.98303953390413,0.0199756206414657,415.83415608039513,1369,1369,0,0,0.003983565509100922,0.037315078298609444,0.0011777537684556,0.0478732445888373,0.16202946001348417,-0.1237676146178717,0.2366781043022869,0.0873750995402567,1369,1369,0,0,-7.934648759150153e-05,0.03281967732245518,-0.0003475133869161,0.043428768105117296,0.12394236889437162,-0.1242458223772608,0.2296213892378354,0.07834325942521866,"{""ACCEPT"": 1020, ""NIS_3DOF_REJECT"": 349}",349,0.25493060628195763,all B3 attempts in this sequence/case/segment,,
BY2__A04__B3__SEQUENCE,BY2,A04,B3,,real_raw,False,False,COMPLETED,NONE,<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2/A04/B3,baseline3d,outside,1369,1369,1020,349,0,0,0,True,AVAILABLE,Includes missing sidecar epochs,AVAILABLE,AVAILABLE,AVAILABLE,1369,1369,0,0,15.927900926981588,38.69086799751894,5.639942455808238,57.3012807734191,214.98303953390413,0.0199756206414657,415.83415608039513,1369,1369,0,0,0.003983565509100922,0.037315078298609444,0.0011777537684556,0.0478732445888373,0.16202946001348417,-0.1237676146178717,0.2366781043022869,0.0873750995402567,1369,1369,0,0,-7.934648759150153e-05,0.03281967732245518,-0.0003475133869161,0.043428768105117296,0.12394236889437162,-0.1242458223772608,0.2296213892378354,0.07834325942521866,"{""ACCEPT"": 1020, ""NIS_3DOF_REJECT"": 349}",349,0.25493060628195763,all B3 attempts in this sequence/case/segment,,
BY2__F04__B3__SEQUENCE,BY2,F04,B3,,real_raw,False,False,COMPLETED,NONE,<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2/F04/B3,baseline3d,full,1369,1369,1012,357,0,0,0,True,AVAILABLE,Includes missing sidecar epochs,AVAILABLE,AVAILABLE,AVAILABLE,1369,1369,0,0,16.09328698595924,39.14961366275895,5.641135626084116,57.510696145735146,218.10518771010334,0.0203555510524075,418.7477025757814,1369,1369,0,0,0.00403859387909894,0.0374219496266593,0.0011922703526074,0.04775848755912265,0.1628732718284914,-0.1236000875059182,0.2370123635917052,0.08736323227096662,1369,1369,0,0,-7.934648759149894e-05,0.03281967732245518,-0.0003475133869161,0.043428768105117296,0.12394236889437155,-0.1242458223772609,0.2296213892378354,0.07834325942521872,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",357,0.26077428780131484,all B3 attempts in this sequence/case/segment,,
BY2__F04__B3__SEQUENCE,BY2,F04,B3,,real_raw,False,False,COMPLETED,NONE,<T5BC_SCRATCH>/04_NATIVE_C00_SEQ/BY2/F04/B3,baseline3d,outside,1369,1369,1012,357,0,0,0,True,AVAILABLE,Includes missing sidecar epochs,AVAILABLE,AVAILABLE,AVAILABLE,1369,1369,0,0,16.09328698595924,39.14961366275895,5.641135626084116,57.510696145735146,218.10518771010334,0.0203555510524075,418.7477025757814,1369,1369,0,0,0.00403859387909894,0.0374219496266593,0.0011922703526074,0.04775848755912265,0.1628732718284914,-0.1236000875059182,0.2370123635917052,0.08736323227096662,1369,1369,0,0,-7.934648759149894e-05,0.03281967732245518,-0.0003475133869161,0.043428768105117296,0.12394236889437155,-0.1242458223772609,0.2296213892378354,0.07834325942521872,"{""ACCEPT"": 1012, ""NIS_3DOF_REJECT"": 357}",357,0.26077428780131484,all B3 attempts in this sequence/case/segment,,
