sequence_id,candidate,reference,evaluator_contract,candidate_status,reference_status,reference_start_convention,interpretation,B3_h_rmse_m,reference_h_rmse_m,B3_position_3d_rmse_m,reference_position_3d_rmse_m,B3_up_rmse_m,reference_up_rmse_m,B3_yaw_rmse_deg,reference_yaw_rmse_deg,B3_yaw_p95_absolute_deg,reference_yaw_p95_absolute_deg,B3_roll_rmse_deg,reference_roll_rmse_deg,B3_pitch_rmse_deg,reference_pitch_rmse_deg,B3_body_forward_bias_m,reference_body_forward_bias_m,B3_body_right_bias_m,reference_body_right_bias_m,B3_body_up_bias_m,reference_body_up_bias_m,B3_output_epoch_count,reference_output_epoch_count,B3_matched_epoch_count,reference_matched_epoch_count,B3_coverage_ratio,reference_coverage_ratio,B3_gap_events_in_window,reference_gap_events_in_window,B3_gnss2_pacc_inflated_epochs,reference_gnss2_pacc_inflated_epochs,B3_gnss2_float_epochs,reference_gnss2_float_epochs,delta_h_rmse_m,delta_position_3d_rmse_m,delta_up_rmse_m,delta_yaw_rmse_deg,delta_yaw_p95_absolute_deg,delta_roll_rmse_deg,delta_pitch_rmse_deg,delta_body_forward_bias_m,delta_body_right_bias_m,delta_body_up_bias_m,delta_output_epoch_count,delta_matched_epoch_count,delta_coverage_ratio,delta_gap_events_in_window,delta_gnss2_pacc_inflated_epochs,delta_gnss2_float_epochs
BY2,F02_prime_B3,LC01-S,evaluator_contract_v3,COMPLETED,COMPLETED,FILE_START,"Descriptive implementation crosscheck, no correctness criterion",0.10191761532045987,0.10352490362681992,0.11304686396221383,0.11298219281551884,0.04891209604057102,0.045250085330977255,2.014722552556668,1.5392385536245534,3.7992268257379957,2.842700226978146,2.5143408212019613,4.243477935993363,2.62405202053982,2.990040090051533,0.047649860814771766,0.03390286321937726,0.0009803067267562975,0.02443361812504349,-0.01744530584524181,-0.02784923952796354,56642,58014,56642,58014,1.0,1.0,NOT_APPLICABLE,0,NOT_APPLICABLE,20,NOT_APPLICABLE,0,-0.00160728830636005,0.00006467114669499,0.003662010709593765,0.4754839989321146,0.9565265987598497,-1.7291371147914017,-0.365988069511713,0.013746997595394506,-0.0234533113982871925,0.01040393368272173,-1372,-1372,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
BY2,F02_prime_B3,LC01,evaluator_contract_v3,COMPLETED,COMPLETED,FILE_START,"Descriptive implementation crosscheck, no correctness criterion",0.10191761532045987,0.0975479714305497,0.11304686396221383,0.10992033421878504,0.04891209604057102,0.05066431825806066,2.014722552556668,2.9948274600591076,3.7992268257379957,4.968141341576708,2.5143408212019613,1.2095627529559005,2.62405202053982,1.5676244070222307,0.047649860814771766,0.044245598415972275,0.0009803067267562975,0.00021692112054168795,-0.01744530584524181,-0.03516772470078074,56642,58014,56642,58014,1.0,1.0,NOT_APPLICABLE,0,NOT_APPLICABLE,20,NOT_APPLICABLE,0,0.00436964388991017,0.00312652974342879,-0.00175222221748964,-0.9801049075024396,-1.1689145158387123,1.3047780682460608,1.0564276135175893,0.003404262398799491,0.00076338560621460955,0.01772241885553893,-1372,-1372,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
BY2H,F02_prime_B3,LC01-S,evaluator_contract_v3,COMPLETED,AVAILABLE_GEOMETRIC_AUDIT_FAIL,CONTRACT_START,"Descriptive implementation crosscheck, no correctness criterion",0.07148084897421121,0.08373314985151889,0.08463077888181361,0.09295432836087884,0.04530846459623671,0.0403641769018664,1.963428750965074,1.9430028350481119,3.6496124867985156,3.757132426132213,1.6327088705487123,4.364596129834245,1.7663631070856733,2.725063976847397,0.034577235689315665,0.021548567231533505,0.007396526232376205,0.03700271292248593,-0.007515440754694201,-0.01970525681192095,58580,59934,58580,59934,1.0,1.0,NOT_APPLICABLE,2,NOT_APPLICABLE,24,NOT_APPLICABLE,0,-0.01225230087730768,-0.00832354947906523,0.00494428769437031,0.0204259159169621,-0.1075199393336974,-2.7318872592855327,-0.9587008697617237,0.013028668457782160,-0.029606186690109725,0.012189816057226749,-1354,-1354,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
BY2H,F02_prime_B3,LC01,evaluator_contract_v3,COMPLETED,AVAILABLE_GEOMETRIC_AUDIT_FAIL,CONTRACT_START,"Descriptive implementation crosscheck, no correctness criterion",0.07148084897421121,0.0746064486934978,0.08463077888181361,0.08702598057754371,0.04530846459623671,0.04480400773175869,1.963428750965074,2.208612313835051,3.6496124867985156,4.538322845863267,1.6327088705487123,1.1679878463679607,1.7663631070856733,1.8254202884875959,0.034577235689315665,0.028815154546869087,0.007396526232376205,0.008762410646978436,-0.007515440754694201,-0.02773346909378872,58580,59934,58580,59934,1.0,1.0,NOT_APPLICABLE,2,NOT_APPLICABLE,24,NOT_APPLICABLE,0,-0.00312559971928659,-0.00239520169573010,0.00050445686447802,-0.245183562869977,-0.8887103590647514,0.4647210241807516,-0.0590571814019226,0.005762081142446578,-0.001365884414602231,0.020218028339094519,-1354,-1354,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
BY2O,F02_prime_B3,LC01-S,evaluator_contract_v3,COMPLETED,COMPLETED,FILE_START,"Descriptive implementation crosscheck, no correctness criterion",0.054375325895639356,0.06046245535470896,0.07155735835932432,0.0724576681721276,0.046516442997157174,0.03993000337367851,2.2253414558582603,4.015602467888004,3.47889096150067,6.909677894819197,1.4801577784088988,4.074428765017513,1.7450619554171338,3.3006897967468083,0.02342435988852719,0.014297762270224574,0.0010960402241636641,0.013637707699183835,-0.01891281829806027,-0.021388567414709507,76548,78441,76548,78441,1.0,1.0,NOT_APPLICABLE,6,NOT_APPLICABLE,52,NOT_APPLICABLE,57,-0.006087129459069604,-0.00090030981280328,0.006586439623478664,-1.7902610120297437,-3.430786933318527,-2.5942709866086142,-1.5556278413296745,0.009126597618302616,-0.0125416674750201709,0.002475749116649237,-1893,-1893,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
BY2O,F02_prime_B3,LC01,evaluator_contract_v3,COMPLETED,COMPLETED,FILE_START,"Descriptive implementation crosscheck, no correctness criterion",0.054375325895639356,0.05430420090026619,0.07155735835932432,0.07036798614715979,0.046516442997157174,0.04475161716620303,2.2253414558582603,2.4536970334279924,3.47889096150067,5.084107946490803,1.4801577784088988,1.3651213087955518,1.7450619554171338,1.4638875207183732,0.02342435988852719,0.025487541019168482,0.0010960402241636641,0.004594168868675647,-0.01891281829806027,-0.02871147564476309,76548,78441,76548,78441,1.0,1.0,NOT_APPLICABLE,6,NOT_APPLICABLE,52,NOT_APPLICABLE,57,0.000071124995373166,0.00118937221216453,0.001764825830954144,-0.2283555775697321,-1.605216984990133,0.1150364696133470,0.2811744346987606,-0.002063181130641292,-0.0034981286445119829,0.00979865734670282,-1893,-1893,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
BY2,F02_prime_B3,LC01-S,evaluator_contract_v2,COMPLETED,COMPLETED,FILE_START,"Descriptive implementation crosscheck, no correctness criterion",0.16567057047599937,0.17652071574947822,0.36345621691420477,0.38272800934051904,0.3235022158992769,0.33958970250148685,2.014722552556668,1.5392385536245534,3.7992268257379957,2.842700226978146,2.5143408212019613,4.243477935993363,2.62405202053982,2.990040090051533,0.013453077870987571,0.012654206244686226,0.1407261212607666,0.15079542326841622,-0.32040820142791815,-0.33764391793427434,56642,58014,56642,58014,1.0,1.0,NOT_APPLICABLE,0,NOT_APPLICABLE,20,NOT_APPLICABLE,0,-0.01085014527347885,-0.01927179242631427,-0.01608748660220995,0.4754839989321146,0.9565265987598497,-1.7291371147914017,-0.365988069511713,0.000798871626301345,-0.01006930200764962,0.01723571650635619,-1372,-1372,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
BY2,F02_prime_B3,LC01,evaluator_contract_v2,COMPLETED,COMPLETED,FILE_START,"Descriptive implementation crosscheck, no correctness criterion",0.16567057047599937,0.16913911659210426,0.36345621691420477,0.3790089605253968,0.3235022158992769,0.33917510432958425,2.014722552556668,2.9948274600591076,3.7992268257379957,4.968141341576708,2.5143408212019613,1.2095627529559005,2.62405202053982,1.5676244070222307,0.013453077870987571,0.015193793113456611,0.1407261212607666,0.1439727687238375,-0.32040820142791815,-0.3371422488877084,56642,58014,56642,58014,1.0,1.0,NOT_APPLICABLE,0,NOT_APPLICABLE,20,NOT_APPLICABLE,0,-0.00346854611610489,-0.01555274361119203,-0.01567288843030735,-0.9801049075024396,-1.1689145158387123,1.3047780682460608,1.0564276135175893,-0.001740715242469040,-0.0032466474630709,0.01673404745979025,-1372,-1372,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
BY2H,F02_prime_B3,LC01-S,evaluator_contract_v2,COMPLETED,AVAILABLE_GEOMETRIC_AUDIT_FAIL,CONTRACT_START,"Descriptive implementation crosscheck, no correctness criterion",0.1586183497861192,0.17408779595517415,0.3517036094557096,0.37466447928168034,0.31390388340271075,0.3317633363331191,1.963428750965074,1.9430028350481119,3.6496124867985156,3.757132426132213,1.6327088705487123,4.364596129834245,1.7663631070856733,2.725063976847397,0.0015602881148872759,-0.003203971578295727,0.1467638775878295,0.16094721250306193,-0.3106400066607672,-0.3298355440174935,58580,59934,58580,59934,1.0,1.0,NOT_APPLICABLE,2,NOT_APPLICABLE,24,NOT_APPLICABLE,0,-0.01546944616905495,-0.02296086982597074,-0.01785945293040835,0.0204259159169621,-0.1075199393336974,-2.7318872592855327,-0.9587008697617237,0.0047642596931830029,-0.01418333491523243,0.0191955373567263,-1354,-1354,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
BY2H,F02_prime_B3,LC01,evaluator_contract_v2,COMPLETED,AVAILABLE_GEOMETRIC_AUDIT_FAIL,CONTRACT_START,"Descriptive implementation crosscheck, no correctness criterion",0.1586183497861192,0.16527957194800608,0.3517036094557096,0.37041987102894325,0.31390388340271075,0.33150195165305263,1.963428750965074,2.208612313835051,3.6496124867985156,4.538322845863267,1.6327088705487123,1.1679878463679607,1.7663631070856733,1.8254202884875959,0.0015602881148872759,-0.0008122055811868802,0.1467638775878295,0.15162425138451616,-0.3106400066607672,-0.32955682428584476,58580,59934,58580,59934,1.0,1.0,NOT_APPLICABLE,2,NOT_APPLICABLE,24,NOT_APPLICABLE,0,-0.00666122216188688,-0.01871626157323365,-0.01759806825034188,-0.245183562869977,-0.8887103590647514,0.4647210241807516,-0.0590571814019226,0.0023724936960741561,-0.00486037379668666,0.01891681762507756,-1354,-1354,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
