sequence_id,method_id,config,start_convention,main_row,manuscript_row,failure_classification,evaluation_status,geometric_audit_status,h_rmse_m,position_3d_rmse_m,up_rmse_m,yaw_rmse_deg,yaw_p95_absolute_deg,roll_rmse_deg,pitch_rmse_deg,body_forward_bias_m,body_right_bias_m,body_up_bias_m,output_epoch_count,matched_epoch_count,coverage_ratio,gap_events_in_window,gnss2_pacc_inflated_epochs,gnss2_float_epochs,evaluator_contract,source_nav_sha256,evaluator_nav_sha256,error_series_source,code_commit,notes,configuration_id,variant,role,data_mode,synthetic_data_used,semisynthetic_data_used,frozen_source_table,frozen_source_line,t5a_r5_source_table,t5a_r5_source_line,delta_vs_frozen_h_rmse_m,delta_vs_frozen_position_3d_rmse_m,delta_vs_frozen_up_rmse_m,delta_vs_frozen_yaw_rmse_deg,delta_vs_frozen_yaw_p95_absolute_deg,delta_vs_frozen_roll_rmse_deg,delta_vs_frozen_pitch_rmse_deg,delta_vs_frozen_body_forward_bias_m,delta_vs_frozen_body_right_bias_m,delta_vs_frozen_body_up_bias_m,delta_vs_frozen_output_epoch_count,delta_vs_frozen_matched_epoch_count,delta_vs_frozen_coverage_ratio,delta_vs_frozen_gap_events_in_window,delta_vs_frozen_gnss2_pacc_inflated_epochs,delta_vs_frozen_gnss2_float_epochs,delta_vs_t5a_r5_h_rmse_m,delta_vs_t5a_r5_position_3d_rmse_m,delta_vs_t5a_r5_up_rmse_m,delta_vs_t5a_r5_yaw_rmse_deg,delta_vs_t5a_r5_yaw_p95_absolute_deg,delta_vs_t5a_r5_roll_rmse_deg,delta_vs_t5a_r5_pitch_rmse_deg,delta_vs_t5a_r5_body_forward_bias_m,delta_vs_t5a_r5_body_right_bias_m,delta_vs_t5a_r5_body_up_bias_m,delta_vs_t5a_r5_output_epoch_count,delta_vs_t5a_r5_matched_epoch_count,delta_vs_t5a_r5_coverage_ratio,delta_vs_t5a_r5_gap_events_in_window,delta_vs_t5a_r5_gnss2_pacc_inflated_epochs,delta_vs_t5a_r5_gnss2_float_epochs,nis_mean,nis_coverage_95,nis_selection_coverage
BY2,F02,NOT_APPLICABLE_V21,FROZEN_V21,True,True,NONE,COMPLETED,NOT_APPLICABLE,0.10193086285530993,0.11269262038758635,0.048059607649174926,2.3131754694996527,4.48170836192737,3.3382092245764645,2.918852028781131,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,56642,56642,1.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,evaluator_contract_v3,73677f36d2b31a252963c9cbf0fc858a39b08746cad680764453a4a3dac050b0,4cfd5ae70b3457dc39dc7c4e66b8689cef5f5ffe6b0fe0307cdf1817f3778cd0,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/RUN_00002/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,521901f0347e367281abed23b46686b84df86055,"{""body_bias_availability"": ""UNAVAILABLE_FULL_RATE_NAV_NOT_RETAINED"", ""frozen_scientific_code_commit"": ""521901f0347e367281abed23b46686b84df86055"", ""rerun"": false, ""result_reused"": true, ""source_line"": 2, ""source_row"": ""<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/RUN_00002/P13_cycle010_attempt01/v3/P13_EVALUATION_RESULT.json"", ""source_table"": ""<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/20_FINALIZE/13_AGGREGATE_SEQUENCES/v3/UNIQUE_EVALUATION_RESULTS.csv"", ""source_table_sha256"": ""e26dfcd830d6c711ffbb7debd68293fbf7b7ea28240e16bce582381b61ea6a0b""}",F02,FROZEN_V21,FROZEN_COMPARATOR_UNCHANGED,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/08_AGGREGATE/HORIZONTAL_TABLE_V3_THREE_SEQUENCES.csv,2,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/05_AGGREGATE/SENSITIVITY_TABLE_V3.csv,4,0E-17,0E-17,0E-18,0E-16,0E-14,0E-16,0E-15,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.00000898950598216,0.00000437134000212,-0.000008814484008944,0.0812232136916397,0.160186373278284,0.0029569764253518,-0.0039434951438478,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
BY2,F02,F02,FROZEN_V21_RUNTIME_CONFIG,False,False,NONE,COMPLETED,NOT_APPLICABLE,0.10192187334932777,0.11268824904758423,0.04806842213318387,2.231952255808013,4.321521988649086,3.3352522481511127,2.9227955239249788,0.044903766524811914,0.001974662156238532,-0.014511788905944617,56642,56642,1.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,evaluator_contract_v3,0126688fd2c772efbdd885b44b5257131257ea481b01393901754afdeaa03b43,7190279b240d4f4a9817c79425fac475fdcb5762e34186917061f70b0a8acf0e,<T5A_SCRATCH>/04_EVAL/v3/BY2/F02/R5/FROZEN_EVALUATOR,d9650fbdf20b2a981a85c1d9875c143c60bc6362,"{""frozen_rows_replaced"": 0, ""native_run_id"": ""BY2__F02__R5"", ""native_status"": ""COMPLETED"", ""sensitivity_only"": true, ""technical_adjudication"": ""NOT_APPLICABLE"", ""variant"": ""R5""}",F02,T5A_R5,T5A_R5_COMPARATOR_UNCHANGED,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/08_AGGREGATE/HORIZONTAL_TABLE_V3_THREE_SEQUENCES.csv,2,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/05_AGGREGATE/SENSITIVITY_TABLE_V3.csv,4,-0.00000898950598216,-0.00000437134000212,0.000008814484008944,-0.0812232136916397,-0.160186373278284,-0.0029569764253518,0.0039434951438478,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0E-17,0E-17,0E-17,0E-15,0E-15,0E-16,0E-16,0E-18,0E-18,0E-18,0,0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
BY2,F02,F02,FROZEN_V21_RUNTIME_CONFIG,False,False,NONE,COMPLETED,NOT_APPLICABLE,0.10191761532045987,0.11304686396221383,0.04891209604057102,2.014722552556668,3.7992268257379957,2.5143408212019613,2.62405202053982,0.047649860814771766,0.0009803067267562975,-0.01744530584524181,56642,56642,1.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,evaluator_contract_v3,0cf8c313544b23a303926bb29d9f1e75cf09f89c1817f5847bf8ee2b09e4e404,db3ca2ae6bf62539872fc17c45465532add4a972f2331fa78e6fed59919e5dbd,<T5BC_SCRATCH>/06_EVAL/v3/BY2__F02__B3__SEQUENCE/FROZEN_EVALUATOR,b0a9230f0711c7b81af9d868a98d0eb537ad6eb9,T5bc sensitivity outside frozen chain; no v2.1 row replaced,F02,B3,SENSITIVITY_OUTSIDE_FROZEN_CHAIN,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/08_AGGREGATE/HORIZONTAL_TABLE_V3_THREE_SEQUENCES.csv,2,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/05_AGGREGATE/SENSITIVITY_TABLE_V3.csv,4,-0.00001324753485006,0.00035424357462748,0.000852488391396094,-0.2984529169429847,-0.6824815361893743,-0.8238684033745032,-0.294800008241311,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,-0.00000425802886790,0.00035861491462960,0.00084367390738715,-0.217229703251345,-0.5222951629110903,-0.8209114269491514,-0.2987435033851588,0.002746094289959852,-0.0009943554294822345,-0.002933516939297193,0,0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,16.275895901313095,0.6683710737764792,1.0
BY2,A04,NOT_APPLICABLE_V21,FROZEN_V21,True,True,NONE,COMPLETED,NOT_APPLICABLE,0.09616685973422963,0.10839664016171717,0.05001766375197666,2.22360844484946,4.161863569389532,2.066601967091301,2.1396053708581535,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,56642,56642,1.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,evaluator_contract_v3,d81b6b62f70a7d9fa96fd830ba00a07fd4b793d05d1b05379551fd212997ed8e,8d5039c8f791b97a02f801fdaebd94a15fbf53aa5e4e5843e971fa6157fd5790,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/RUN_00006/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,521901f0347e367281abed23b46686b84df86055,"{""body_bias_availability"": ""UNAVAILABLE_FULL_RATE_NAV_NOT_RETAINED"", ""frozen_scientific_code_commit"": ""521901f0347e367281abed23b46686b84df86055"", ""rerun"": false, ""result_reused"": true, ""source_line"": 6, ""source_row"": ""<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/RUN_00006/P13_cycle010_attempt01/v3/P13_EVALUATION_RESULT.json"", ""source_table"": ""<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/20_FINALIZE/13_AGGREGATE_SEQUENCES/v3/UNIQUE_EVALUATION_RESULTS.csv"", ""source_table_sha256"": ""e26dfcd830d6c711ffbb7debd68293fbf7b7ea28240e16bce582381b61ea6a0b""}",A04,FROZEN_V21,FROZEN_COMPARATOR_UNCHANGED,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/08_AGGREGATE/HORIZONTAL_TABLE_V3_THREE_SEQUENCES.csv,5,UNAVAILABLE,UNAVAILABLE,0E-17,0E-17,0E-17,0E-14,0E-15,0E-15,0E-16,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
BY2,A04,A04,FROZEN_V21_RUNTIME_CONFIG,False,False,NONE,COMPLETED,NOT_APPLICABLE,0.09691707553291022,0.1090879562515381,0.05007257402296853,1.9263055573233563,3.598184812368621,2.0506461687895166,2.1656098101701504,0.04442776180104211,-0.005816564904421678,-0.017415579835656045,56642,56642,1.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,evaluator_contract_v3,fa2231b4c63bee721fb49565368a640ea948f2ac48b1407bd7e8bef27563110b,747b284cb364fb2aa6003ac85d9f1f7d91c2df48fb88ac5a41949336564572b6,<T5BC_SCRATCH>/06_EVAL/v3/BY2__A04__B3__SEQUENCE/FROZEN_EVALUATOR,b0a9230f0711c7b81af9d868a98d0eb537ad6eb9,T5bc sensitivity outside frozen chain; no v2.1 row replaced,A04,B3,SENSITIVITY_OUTSIDE_FROZEN_CHAIN,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/08_AGGREGATE/HORIZONTAL_TABLE_V3_THREE_SEQUENCES.csv,5,UNAVAILABLE,UNAVAILABLE,0.00075021579868059,0.00069131608982093,0.00005491027099187,-0.2973028875261037,-0.563678757020911,-0.0159557983017844,0.0260044393119969,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,15.927900926981588,0.6742147552958364,1.0
BY2,F04,NOT_APPLICABLE_V21,FROZEN_V21,True,True,NONE,COMPLETED,NOT_APPLICABLE,0.09716199583877864,0.10881571662731311,0.04899394605194471,2.2211070025147257,4.177367108844183,2.254053976093779,2.2633582019083436,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,56642,56642,1.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,evaluator_contract_v3,b4c0ed12ab825542cd63c8c0c1d587153c2526aaf08b7a1857a7cc8925e3a465,bf9f0e30b9b347b5ffa685b61826524e2cc5a1a070f2c82c4af575d7e5ef78a8,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/RUN_00004/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,521901f0347e367281abed23b46686b84df86055,"{""body_bias_availability"": ""UNAVAILABLE_FULL_RATE_NAV_NOT_RETAINED"", ""frozen_scientific_code_commit"": ""521901f0347e367281abed23b46686b84df86055"", ""rerun"": false, ""result_reused"": true, ""source_line"": 4, ""source_row"": ""<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/RUN_00004/P13_cycle010_attempt01/v3/P13_EVALUATION_RESULT.json"", ""source_table"": ""<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/20_FINALIZE/13_AGGREGATE_SEQUENCES/v3/UNIQUE_EVALUATION_RESULTS.csv"", ""source_table_sha256"": ""e26dfcd830d6c711ffbb7debd68293fbf7b7ea28240e16bce582381b61ea6a0b""}",F04,FROZEN_V21,FROZEN_COMPARATOR_UNCHANGED,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/08_AGGREGATE/HORIZONTAL_TABLE_V3_THREE_SEQUENCES.csv,4,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/05_AGGREGATE/SENSITIVITY_TABLE_V3.csv,7,0E-17,0E-17,0E-17,0E-16,0E-15,0E-15,0E-16,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,-0.00074408191072288,-0.00066578273030029,-0.00000195827994476,0.3348351476620790,0.659300132214016,-0.000286426245539,-0.0021325420969704,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
BY2,F04,F04,FROZEN_V21_RUNTIME_CONFIG,False,False,NONE,COMPLETED,NOT_APPLICABLE,0.09790607774950152,0.1094814993576134,0.04899590433188947,1.8862718548526467,3.518066976630167,2.254340402339318,2.265490744005314,0.045168104315556123,-0.0032996815276538083,-0.0168010434396984,56642,56642,1.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,evaluator_contract_v3,2fda678fbc9d760e7bd4b93b6e7f99861b41ea91aef86252566ea059abbeb0f4,375663491799b93d5c69251f7cad0edc21bc8ac8732a59600fede2a67b0fb8db,<T5A_SCRATCH>/04_EVAL/v3/BY2/F04/R5/FROZEN_EVALUATOR,d9650fbdf20b2a981a85c1d9875c143c60bc6362,"{""frozen_rows_replaced"": 0, ""native_run_id"": ""BY2__F04__R5"", ""native_status"": ""COMPLETED"", ""sensitivity_only"": true, ""technical_adjudication"": ""NOT_APPLICABLE"", ""variant"": ""R5""}",F04,T5A_R5,T5A_R5_COMPARATOR_UNCHANGED,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/08_AGGREGATE/HORIZONTAL_TABLE_V3_THREE_SEQUENCES.csv,4,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/05_AGGREGATE/SENSITIVITY_TABLE_V3.csv,7,0.00074408191072288,0.00066578273030029,0.00000195827994476,-0.3348351476620790,-0.659300132214016,0.000286426245539,0.0021325420969704,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0E-17,0E-16,0E-17,0E-16,0E-15,0E-15,0E-15,0E-18,0E-19,0E-16,0,0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
BY2,F04,F04,FROZEN_V21_RUNTIME_CONFIG,False,False,NONE,COMPLETED,NOT_APPLICABLE,0.09788783921242858,0.10946505808021713,0.04899561077103781,1.8972596973175209,3.5139514493770925,2.254144991369393,2.265026889561849,0.045097114026705694,-0.003296535734080204,-0.01680149468561223,56642,56642,1.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,evaluator_contract_v3,7f9f8956583bf16152c80df5d32ad3f369262cd97725ca86f4f0ad4cbae6c504,4556bc00392d5998a44b017ead2358854531621b8713847d535d07edbc350c4a,<T5BC_SCRATCH>/06_EVAL/v3/BY2__F04__R5W__SEQUENCE/FROZEN_EVALUATOR,e54df899db74ff8c11e37e09803c296965bfafba,T5bc sensitivity outside frozen chain; no v2.1 row replaced,F04,R5W,SENSITIVITY_OUTSIDE_FROZEN_CHAIN,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/08_AGGREGATE/HORIZONTAL_TABLE_V3_THREE_SEQUENCES.csv,4,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/05_AGGREGATE/SENSITIVITY_TABLE_V3.csv,7,0.00072584337364994,0.00064934145290402,0.00000166471909310,-0.3238473051972048,-0.6634156594670905,0.000091015275614,0.0016686876535054,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,-0.00001823853707294,-0.00001644127739627,-2.9356085166E-7,0.0109878424648742,-0.0041155272530745,-0.000195410969925,-0.000463854443465,-0.000070990288850429,0.0000031457935736043,-4.5124591383E-7,0,0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,1.4803869031565282,0.9050445103857567,0.9846603360116873
BY2,F04,F04,FROZEN_V21_RUNTIME_CONFIG,False,False,NONE,COMPLETED,NOT_APPLICABLE,0.09801416283952308,0.10957830580282515,0.048996213991337315,1.8570683472786316,3.443721950081792,2.2538879516098143,2.265453806160532,0.04524119166835619,-0.003363466608130044,-0.016802275897241283,56642,56642,1.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,evaluator_contract_v3,547adfbe52529e640d465670a46e22bf14b6f2fdde574d3b8b6f62be0b50a43d,a196b088e45972ebef0d18e4cc3ff073e67fdb27acf14a0ed27855d233ad35cc,<T5BC_SCRATCH>/06_EVAL/v3/BY2__F04__R5SIGMA__SEQUENCE/FROZEN_EVALUATOR,e54df899db74ff8c11e37e09803c296965bfafba,T5bc sensitivity outside frozen chain; no v2.1 row replaced,F04,R5SIGMA,SENSITIVITY_OUTSIDE_FROZEN_CHAIN,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/08_AGGREGATE/HORIZONTAL_TABLE_V3_THREE_SEQUENCES.csv,4,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/05_AGGREGATE/SENSITIVITY_TABLE_V3.csv,7,0.00085216700074444,0.00076258917551204,0.000002267939392605,-0.3640386552360941,-0.733645158762391,-0.0001660244839647,0.0020956042521884,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.00010808509002156,0.00009680644521175,3.09659447845E-7,-0.0292035075740151,-0.074345026548375,-0.0004524507295037,-0.000036937844782,0.000073087352800067,-0.0000637850804762357,-0.000001232457542883,0,0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,1.4450091473368696,0.9050445103857567,0.9846603360116873
BY2,F04,F04,FROZEN_V21_RUNTIME_CONFIG,False,False,NONE,COMPLETED,NOT_APPLICABLE,0.09790949422530941,0.10952711523211388,0.049090935126689696,1.928668136706766,3.608886050884317,2.224712790192665,2.301255427649219,0.04509142684672368,-0.0030393522918988375,-0.017087297172611263,56642,56642,1.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,evaluator_contract_v3,37afc091fd23d7f592b76e9b611842306382652a743d4a6a9850cae587995ac8,a0539475b2bf3610acdf42e8bdc882c68505086dccaa77fbe27811e5cbd5751f,<T5BC_SCRATCH>/06_EVAL/v3/BY2__F04__B3__SEQUENCE/FROZEN_EVALUATOR,e54df899db74ff8c11e37e09803c296965bfafba,T5bc sensitivity outside frozen chain; no v2.1 row replaced,F04,B3,SENSITIVITY_OUTSIDE_FROZEN_CHAIN,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/08_AGGREGATE/HORIZONTAL_TABLE_V3_THREE_SEQUENCES.csv,4,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/05_AGGREGATE/SENSITIVITY_TABLE_V3.csv,7,0.00074749838653077,0.00071139860480077,0.000096989074744986,-0.2924388658079597,-0.568481057959866,-0.029341185901114,0.0378972257408754,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.00000341647580789,0.00004561587450048,0.000095030794800226,0.0423962818541193,0.090819074254150,-0.029627612146653,0.035764683643905,-0.000076677468832443,0.0002603292357549708,-0.000286253732912863,0,0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,16.09328698595924,0.6720233747260774,1.0
