variant,configuration_id,metric,case_count,valid_paired_count,unpaired_count,failure_count,not_run_count,not_applicable_count,paired_delta_mean,paired_delta_median,paired_delta_p95,paired_delta_worst_5pct_mean,worst_5pct_count,tail_definition,quantile_method,status,table_cohort,directional_decision,data_modes,data_mode,synthetic_data_used,semisynthetic_data_used
R5,F04,h_rmse_m,61,57,4,0,3,0,-0.2558819907010814,0.00072348724216779,0.001238414597765376,0.002925778968713723,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
R5,F04,position_3d_rmse_m,61,57,4,0,3,0,-0.25602059380169573,0.00064738920740149,0.0011071057691473024,0.00259511491037063,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
R5,F04,up_rmse_m,61,57,4,0,3,0,-0.019494633843088652,1.96547985855e-06,0.0002953954524151116,0.0026366192388281914,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
R5,F04,yaw_rmse_deg,61,57,4,0,3,0,-1.7098050435465233,-0.334835147662079,-0.2517373041792581,-0.064802317138783,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
R5,F04,yaw_p95_absolute_deg,61,57,4,0,3,0,-3.954145971982036,-0.659300132214016,-0.4996574388444077,-0.19999958720164246,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
R5,F04,roll_rmse_deg,61,57,4,0,3,0,-0.015250276771474556,0.000286426245539,0.018595837092931385,0.06120608515723187,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
R5,F04,pitch_rmse_deg,61,57,4,0,3,0,-0.009773123663825942,0.0021325420969704,0.0030797581959373793,0.009064433988381634,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
R5W,F04,h_rmse_m,61,57,4,0,3,0,-0.2558889951330144,0.00070416765758541,0.0012203322423430681,0.0029708402821993734,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
R5W,F04,position_3d_rmse_m,61,57,4,0,3,0,-0.2560292667761428,0.00063003863308655,0.0010908041513367926,0.0026354105673779397,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
R5W,F04,up_rmse_m,61,57,4,0,3,0,-0.019498079463760636,1.67588982309e-06,0.0002951905026863604,0.002637028419461378,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
R5W,F04,yaw_rmse_deg,61,57,4,0,3,0,-1.7291112439578489,-0.3238473051972048,-0.22608793373235414,-0.0423865988439949,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
R5W,F04,yaw_p95_absolute_deg,61,57,4,0,3,0,-4.052555068089048,-0.663368471352882,-0.4736805499321881,-0.184831935048516,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
R5W,F04,roll_rmse_deg,61,57,4,0,3,0,-0.01693379079378307,9.1015275614e-05,0.010064368326986085,0.03294104763348807,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
R5W,F04,pitch_rmse_deg,61,57,4,0,3,0,-0.012205921386676607,0.0016686876535054,0.002588253368875059,0.004751301832825633,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
