variant,metric,case_count,available_count,unavailable_count,mean,median,worst_5pct_threshold_p95,paired_count,paired_delta_mean,paired_delta_median,paired_delta_p95,failure_count,failure_classifications,not_applicable_count,data_mode,synthetic_data_used,semisynthetic_data_used,quantile_method,directional_decision,record_type,failure_case_ids,not_applicable_case_ids,tail_case_count,worst_5pct_mean,maximum,tail_definition,case_id,B3_value,FROZEN_V21_F04_value,B3_status,B3_failure_classification,FROZEN_V21_F04_status,B3_dual_yaw_accept,B3_dual_yaw_attempt,FROZEN_V21_F04_dual_yaw_accept,FROZEN_V21_F04_dual_yaw_attempt,B3_echo_sha256,FROZEN_V21_F04_echo_sha256,counter_scope,frozen_source_table,frozen_source_line
FROZEN_V21,yaw_rmse_deg,61,60,1,4.049524179986017,2.2211070025147257,14.783993183417675,60,0.0,0.0,0.0,1,"{""UNAVAILABLE_UNCLASSIFIED"": 1}",0,real_clean_and_semisynthetic_separate_cases,False,True,LINEAR,NOT_DEFINED,DISTRIBUTION,"[""D37_seed_00""]",[],3,31.96482618968948,32.472978585312966,largest ceil(0.05*available_count) absolute case RMSE; P95 is linear,,,,,,,,,,,,,,,
FROZEN_V21,h_rmse_m,61,60,1,0.7425608537763295,0.0973580305098467,3.563419172286751,60,0.0,0.0,0.0,1,"{""UNAVAILABLE_UNCLASSIFIED"": 1}",0,real_clean_and_semisynthetic_separate_cases,False,True,LINEAR,NOT_DEFINED,DISTRIBUTION,"[""D37_seed_00""]",[],3,7.8102015208871185,14.892009618229114,largest ceil(0.05*available_count) absolute case RMSE; P95 is linear,,,,,,,,,,,,,,,
R5,yaw_rmse_deg,61,58,3,1.9171972356133993,1.8862017275872942,2.009391277782863,57,-1.7098050435465233,-0.334835147662079,-0.2517373041792581,3,"{""ALGORITHM_FAILURE_DIVERGED"": 2, ""ALGORITHM_FAILURE_NO_VALID_HEADING_INPUT"": 1}",0,real_clean_and_semisynthetic_separate_cases,False,True,LINEAR,NOT_DEFINED,DISTRIBUTION,"[""D27_seed_00"", ""D57_seed_00"", ""D60_seed_00""]",[],3,2.4756710199769016,2.7034286882599177,largest ceil(0.05*available_count) absolute case RMSE; P95 is linear,,,,,,,,,,,,,,,
R5,h_rmse_m,61,58,3,0.4096498716540821,0.09797282497309164,2.157449439860107,57,-0.2558819907010814,0.00072348724216779,0.001238414597765376,3,"{""ALGORITHM_FAILURE_DIVERGED"": 2, ""ALGORITHM_FAILURE_NO_VALID_HEADING_INPUT"": 1}",0,real_clean_and_semisynthetic_separate_cases,False,True,LINEAR,NOT_DEFINED,DISTRIBUTION,"[""D27_seed_00"", ""D57_seed_00"", ""D60_seed_00""]",[],3,3.3662275385243543,3.5569029035745645,largest ceil(0.05*available_count) absolute case RMSE; P95 is linear,,,,,,,,,,,,,,,
R5W,yaw_rmse_deg,61,58,3,1.8984133462861459,1.8972003167290268,1.9225082543066605,57,-1.7291112439578489,-0.3238473051972048,-0.22608793373235414,3,"{""ALGORITHM_FAILURE_DIVERGED"": 2, ""ALGORITHM_FAILURE_NO_VALID_HEADING_INPUT"": 1}",0,real_clean_and_semisynthetic_separate_cases,False,True,LINEAR,NOT_DEFINED,DISTRIBUTION,"[""D27_seed_00"", ""D57_seed_00"", ""D60_seed_00""]",[],3,1.942347539049934,1.9443388858516877,largest ceil(0.05*available_count) absolute case RMSE; P95 is linear,,,,,,,,,,,,,,,
R5W,h_rmse_m,61,58,3,0.4096426735306812,0.09795279057859552,2.1574609242744147,57,-0.2558889951330144,0.00070416765758541,0.0012203322423430681,3,"{""ALGORITHM_FAILURE_DIVERGED"": 2, ""ALGORITHM_FAILURE_NO_VALID_HEADING_INPUT"": 1}",0,real_clean_and_semisynthetic_separate_cases,False,True,LINEAR,NOT_DEFINED,DISTRIBUTION,"[""D27_seed_00"", ""D57_seed_00"", ""D60_seed_00""]",[],3,3.366302303524499,3.5569542506896292,largest ceil(0.05*available_count) absolute case RMSE; P95 is linear,,,,,,,,,,,,,,,
R5SIGMA,yaw_rmse_deg,61,58,3,1.8628349205316967,1.857001327687724,1.8834986136087621,57,-1.7646087412160796,-0.3640386552360941,-0.2677793860363611,3,"{""ALGORITHM_FAILURE_DIVERGED"": 2, ""ALGORITHM_FAILURE_NO_VALID_HEADING_INPUT"": 1}",0,real_clean_and_semisynthetic_separate_cases,False,True,LINEAR,NOT_DEFINED,DISTRIBUTION,"[""D27_seed_00"", ""D57_seed_00"", ""D60_seed_00""]",[],3,1.9790286071852863,2.011632624619754,largest ceil(0.05*available_count) absolute case RMSE; P95 is linear,,,,,,,,,,,,,,,
R5SIGMA,h_rmse_m,61,58,3,0.40974141945471865,0.09807938016398715,2.1574863319836792,57,-0.2557907330283288,0.00083105346538786,0.0013466467920803921,3,"{""ALGORITHM_FAILURE_DIVERGED"": 2, ""ALGORITHM_FAILURE_NO_VALID_HEADING_INPUT"": 1}",0,real_clean_and_semisynthetic_separate_cases,False,True,LINEAR,NOT_DEFINED,DISTRIBUTION,"[""D27_seed_00"", ""D57_seed_00"", ""D60_seed_00""]",[],3,3.366272876244341,3.5569416655432486,largest ceil(0.05*available_count) absolute case RMSE; P95 is linear,,,,,,,,,,,,,,,
B3,yaw_rmse_deg,61,58,3,2.3530993990546003,1.9285758869857743,1.9519367281582527,57,-1.2669992681476536,-0.2924388658079597,-0.19978097572113798,2,"{""ALGORITHM_FAILURE_DIVERGED"": 2}",1,real_clean_and_semisynthetic_separate_cases,False,True,LINEAR,NOT_DEFINED,DISTRIBUTION,"[""D27_seed_00"", ""D60_seed_00""]","[""D57_seed_00""]",3,10.168424074685419,14.314418781235302,largest ceil(0.05*available_count) absolute case RMSE; P95 is linear,,,,,,,,,,,,,,,
B3,h_rmse_m,61,58,3,0.40959540758739366,0.0979785453676891,2.157373033529393,57,-0.2559374702158838,0.00072078085294654,0.0012413527596716262,2,"{""ALGORITHM_FAILURE_DIVERGED"": 2}",1,real_clean_and_semisynthetic_separate_cases,False,True,LINEAR,NOT_DEFINED,DISTRIBUTION,"[""D27_seed_00"", ""D60_seed_00""]","[""D57_seed_00""]",3,3.367047276279756,3.558238951047179,largest ceil(0.05*available_count) absolute case RMSE; P95 is linear,,,,,,,,,,,,,,,
