row_type,quantity,native_leg_index,leg,finite_count,total_count,finite_rate,minimum,p01,p05,p25,p50,p75,p95,p99,maximum,mean,std,bin_index,bin_left,bin_right,bin_count,force_contact_state,data_status,terminal_status,complete_record_count,timestamped_record_starts
quantiles,foot_speed_body_norm,0,FR,63277,63277,1.0,0.0,0.007910116229812008,0.02087978120394059,1.0698139306663748,1.2588338352638975,1.780630759476579,2.4292676092656826,2.565921674240571,2.9172784624440107,1.3592072877732173,0.6303859633162758,,,,,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,0,0.0,0.09116495195137533,4458,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,1,0.09116495195137533,0.18232990390275067,101,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,2,0.18232990390275067,0.27349485585412603,10,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,3,0.27349485585412603,0.36465980780550133,16,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,4,0.36465980780550133,0.45582475975687664,257,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,5,0.45582475975687664,0.5469897117082521,950,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,6,0.5469897117082521,0.6381546636596274,803,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,7,0.6381546636596274,0.7293196156110027,1030,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,8,0.7293196156110027,0.820484567562378,1137,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,9,0.820484567562378,0.9116495195137533,1385,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,10,0.9116495195137533,1.0028144714651286,2369,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,11,1.0028144714651286,1.0939794234165041,4952,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,12,1.0939794234165041,1.1851443753678794,8057,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,13,1.1851443753678794,1.2763093273192547,7295,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,14,1.2763093273192547,1.36747427927063,5505,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,15,1.36747427927063,1.4586392312220053,3343,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,16,1.4586392312220053,1.5498041831733806,2211,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,17,1.5498041831733806,1.640969135124756,1619,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,18,1.640969135124756,1.7321340870761313,1334,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,19,1.7321340870761313,1.8232990390275066,1120,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,20,1.8232990390275066,1.914463990978882,1314,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,21,1.914463990978882,2.005628942930257,1351,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,22,2.005628942930257,2.0967938948816327,1498,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,23,2.0967938948816327,2.1879588468330082,1914,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,24,2.1879588468330082,2.2791237987843833,2252,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,25,2.2791237987843833,2.370288750735759,2348,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,26,2.370288750735759,2.461453702687134,2222,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,27,2.461453702687134,2.5526186546385095,1641,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
histogram,foot_speed_body_norm,0,FR,,,,,,,,,,,,,,,28,2.5526186546385095,2.6437836065898845,651,overall,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
