native_leg_index,leg,row_type,axis,residual_count,center_m,winsor_q0p5_m,winsor_q99p5_m,raw_covariance_x_m2,raw_covariance_y_m2,raw_covariance_z_m2,symmetric_covariance_x_m2,symmetric_covariance_y_m2,symmetric_covariance_z_m2,raw_symmetric_eigenvalue_m2,final_eigenvalue_m2,pre_fallback_final_covariance_x_m2,pre_fallback_final_covariance_y_m2,pre_fallback_final_covariance_z_m2,selected_covariance_x_m2,selected_covariance_y_m2,selected_covariance_z_m2,raw_symmetric_condition_2norm,condition_2norm,well_conditioned,fallback_applied
0,FR,component,x,4285,-1.8981258604222617e-05,-0.00014257680756922132,9.030545139560697e-05,1.4945422267718982e-09,8.571387850921667e-11,-3.322559108637181e-11,1.4945422267718982e-09,8.571387850921667e-11,-3.322559108637181e-11,7.908719165586985e-11,1e-08,1.0000000000000002e-08,-6.203854594147708e-25,2.0679515313825692e-25,1.0000000000000002e-08,-6.203854594147708e-25,2.0679515313825692e-25,21.487003948236296,1.0000000000000002,True,False
0,FR,component,y,4285,-2.8638619765583573e-05,-0.00015509764916498802,6.524360326663689e-05,8.571387850921667e-11,1.5500070813043767e-09,-3.9951238076681096e-10,8.571387850921667e-11,1.5500070813043767e-09,-3.9951238076681096e-10,1.4537830560581398e-09,1e-08,-6.203854594147708e-25,9.999999999999999e-09,4.1359030627651384e-25,-6.203854594147708e-25,9.999999999999999e-09,4.1359030627651384e-25,21.487003948236296,1.0000000000000002,True,False
0,FR,component,z,4285,1.4622446743051132e-05,-1.832254829459895e-05,6.0067792361495006e-05,-3.322559108637181e-11,-3.9951238076681096e-10,1.8766773900233214e-10,-3.322559108637181e-11,-3.9951238076681096e-10,1.8766773900233214e-10,1.6993467993645976e-09,1e-08,2.0679515313825692e-25,4.1359030627651384e-25,1e-08,2.0679515313825692e-25,4.1359030627651384e-25,1e-08,21.487003948236296,1.0000000000000002,True,False
1,FL,component,x,4287,2.1639149146435166e-05,-7.90824672861662e-05,0.00015661214090405547,1.557956889230099e-09,-2.773266706789914e-11,7.2634554941889104e-12,1.557956889230099e-09,-2.773266706789914e-11,7.2634554941889104e-12,9.605538314147609e-11,1e-08,1.0000000000000002e-08,-1.550963648536927e-25,3.877409121342317e-26,1.0000000000000002e-08,-1.550963648536927e-25,3.877409121342317e-26,19.51908345624371,1.0000000000000007,True,False
1,FL,component,y,4287,-2.8776572583127935e-05,-0.00016709097689527108,8.090082960604612e-05,-2.773266706789914e-11,1.7342081676945276e-09,4.768094409812525e-10,-2.773266706789914e-11,1.7342081676945276e-09,4.768094409812525e-10,1.5561956247635392e-09,1e-08,-1.550963648536927e-25,1.0000000000000008e-08,-1.8611563782443123e-24,-1.550963648536927e-25,1.0000000000000008e-08,-1.8611563782443123e-24,19.51908345624371,1.0000000000000007,True,False
1,FL,component,z,4287,-1.5369927062913735e-05,-6.7905378505142e-05,2.192666583523211e-05,7.2634554941889104e-12,4.768094409812525e-10,2.349989909403249e-10,7.2634554941889104e-12,4.768094409812525e-10,2.349989909403249e-10,1.8749130399599376e-09,1e-08,3.877409121342317e-26,-1.8611563782443123e-24,1.0000000000000002e-08,3.877409121342317e-26,-1.8611563782443123e-24,1.0000000000000002e-08,19.51908345624371,1.0000000000000007,True,False
2,RR,component,x,4298,-1.963068886193242e-05,-0.00014870204016998123,9.173265078946256e-05,1.6084878141694221e-09,-4.297665546372827e-11,6.106299645230775e-11,1.6084878141694221e-09,-4.297665546372827e-11,6.106299645230775e-11,8.41918971386242e-11,1e-08,1e-08,-8.271806125530277e-25,2.0679515313825692e-25,1e-08,-8.271806125530277e-25,2.0679515313825692e-25,19.718792622043654,1.0000000000000009,True,False
2,RR,component,y,4298,2.7412121534255846e-05,-6.807702198162457e-05,0.00015735617429288255,-4.297665546372827e-11,1.5250324207958231e-09,-3.2598847718163624e-10,-4.297665546372827e-11,1.5250324207958231e-09,-3.2598847718163624e-10,1.5488428010622267e-09,1e-08,-8.271806125530277e-25,1e-08,-2.3781442610899546e-24,-8.271806125530277e-25,1e-08,-2.3781442610899546e-24,19.718792622043654,1.0000000000000009,True,False
2,RR,component,z,4298,1.0602750657728865e-06,-3.795548840311136e-05,3.647537579947661e-05,6.106299645230775e-11,-3.2598847718163624e-10,1.5967702336856555e-10,6.106299645230775e-11,-3.2598847718163624e-10,1.5967702336856555e-10,1.6601625601329604e-09,1e-08,2.0679515313825692e-25,-2.3781442610899546e-24,9.999999999999995e-09,2.0679515313825692e-25,-2.3781442610899546e-24,9.999999999999995e-09,19.718792622043654,1.0000000000000009,True,False
3,RL,component,x,4302,1.937565940532404e-05,-0.00010333118506998473,0.00014026639327791238,1.6945216229760701e-09,9.491861630674773e-11,5.5453606715179395e-11,1.6945216229760701e-09,9.491861630674773e-11,5.5453606715179395e-11,8.457902448699398e-11,1e-08,1.0000000000000004e-08,-8.271806125530277e-25,-3.101927297073854e-25,1.0000000000000004e-08,-8.271806125530277e-25,-3.101927297073854e-25,21.41067041058341,1.0000000000000009,True,False
3,RL,component,y,4302,2.6724912170164594e-05,-7.052530399585061e-05,0.00016119364496239072,9.491861630674773e-11,1.6188676792862457e-09,3.8344474593682435e-10,9.491861630674773e-11,1.6188676792862457e-09,3.8344474593682435e-10,1.598952749356132e-09,1e-08,-8.271806125530277e-25,1.0000000000000005e-08,-5.169878828456423e-25,-8.271806125530277e-25,1.0000000000000005e-08,-5.169878828456423e-25,21.41067041058341,1.0000000000000009,True,False
3,RL,component,z,4302,-8.229794161498938e-07,-3.85061080594451e-05,3.855482971921495e-05,5.5453606715179395e-11,3.8344474593682435e-10,1.8103608852050156e-10,5.5453606715179395e-11,3.8344474593682435e-10,1.8103608852050156e-10,1.8108936169396912e-09,1e-08,-3.101927297073854e-25,-5.169878828456423e-25,1e-08,-3.101927297073854e-25,-5.169878828456423e-25,1e-08,21.41067041058341,1.0000000000000009,True,False
