entry_id,quantity_role,api_interface,value,unit,continuous_psd_value,continuous_psd_unit,qc_block,square_count,sqrt_dt_preprocessing,qc_input,semantic_boundary,source_identity
N001,gyro_measurement_white_noise_density,ContinuousNoiseDensity,2.865130e-04,rad/s/sqrt(Hz),8.208969916900001e-8,rad^2/s,gyro_measurement,1,false,true,CONTINUOUS_ASD_SQUARED_EXACTLY_ONCE,GO2_IMU_ALLAN_90MIN_RECOVERED_V1
N002,accelerometer_measurement_white_noise_density,ContinuousNoiseDensity,1.285395e-03,m/s^2/sqrt(Hz),1.652240306025e-6,m^2/s^3,accelerometer_measurement,1,false,true,CONTINUOUS_ASD_SQUARED_EXACTLY_ONCE,GO2_IMU_ALLAN_90MIN_RECOVERED_V1
N003,gyro_bias_random_walk_density,ContinuousNoiseDensity,2.996871e-05,rad/s^2/sqrt(Hz),8.981235790641001e-10,rad^2/s^3,gyro_bias_random_walk,1,false,true,CONTINUOUS_ASD_SQUARED_EXACTLY_ONCE,GO2_IMU_ALLAN_90MIN_RECOVERED_V1
N004,accelerometer_bias_random_walk_density,ContinuousNoiseDensity,1.594412e-04,m/s^3/sqrt(Hz),2.542149625744e-8,m^2/s^5,accelerometer_bias_random_walk,1,false,true,CONTINUOUS_ASD_SQUARED_EXACTLY_ONCE,GO2_IMU_ALLAN_90MIN_RECOVERED_V1
N005,accelerometer_bias_instability,DiagnosticScalar,7.781688e-04,m/s^2,,,NONE,0,false,false,IMU_CHARACTERIZATION_DIAGNOSTIC_ONLY,GO2_IMU_ALLAN_90MIN_RECOVERED_V1
N006,gyro_bias_instability,DiagnosticScalar,4.550529e-05,rad/s,,,NONE,0,false,false,IMU_CHARACTERIZATION_DIAGNOSTIC_ONLY,GO2_IMU_ALLAN_90MIN_RECOVERED_V1
N007,fk_proxy_repeatability_lower_bound_covariance,MeasurementCovariance,1.0e-8,m^2_per_axis_isotropic,,,MEASUREMENT_R,0,false,false,GO2_FK_PROXY_REPEATABILITY_LOWER_BOUND_FUTURE_FILTER_PRIMARY_FALSE,H0_H2_INPUT_ONLY_REPEATABILITY_AUDIT
N008,fk_proxy_physical_sensitivity_low,MeasurementStdMeters,0.005,m,,,MEASUREMENT_R,1,false,false,COVARIANCE_2.5e-5_I3_PREREGISTERED_NOT_SELECTED_BY_REFERENCE,HARTLEY_FUTURE_H5_IMU_PROFILE_CONTRACT
N009,fk_proxy_physical_primary,MeasurementStdMeters,0.010,m,,,MEASUREMENT_R,1,false,false,COVARIANCE_1.0e-4_I3_PRIMARY_PREREGISTERED_NOT_SELECTED_BY_REFERENCE,HARTLEY_FUTURE_H5_IMU_PROFILE_CONTRACT
N010,fk_proxy_physical_sensitivity_high,MeasurementStdMeters,0.020,m,,,MEASUREMENT_R,1,false,false,COVARIANCE_4.0e-4_I3_PREREGISTERED_NOT_SELECTED_BY_REFERENCE,HARTLEY_FUTURE_H5_IMU_PROFILE_CONTRACT
N011,paper_table1_stochastic_parameter_family,PaperTable1DiscreteStd,SEE_H5_CONTRACT,mixed_paper_native_units,,,FIVE_PROCESS_EQ61_QBAR_PLUS_ONE_MEASUREMENT_R,1,false,false,PAPER_NATIVE_DISCRETE_STD_FIVE_PROCESS_VALUES_NOT_CONTINUOUS_ASD_AND_ENCODER_ANGLE_MAPPED_THROUGH_FOOT_JACOBIAN,HARTLEY_IJRR2020_TABLE_1_EXPERIMENT_DISCRETE_NOISE_STATISTICS
N012,discrete_sample_standard_deviation,DiscreteSampleStd,EXPLICIT_DT_DEPENDENT_CONVERSION,mixed,,,SYNTHETIC_SAMPLER_ONLY,0,false,false,NEVER_FEED_DISCRETE_SAMPLE_STD_BACK_INTO_QC,continuousPsdFromDensity_and_discreteSampleStdFromDensity
N013,paper_table1_contact_linear_velocity_noise_std,PaperTable1DiscreteStd,0.05,m/s,,,EQ61_QBAR_CONTACT_BLOCK,1,false,false,PAPER_NATIVE_DISCRETE_STD_SQUARED_ONCE_THEN_EQ61_MULTIPLIES_DT_NOT_CONTINUOUS_ASD,HARTLEY_IJRR2020_TABLE_1_EXPERIMENT_DISCRETE_NOISE_STATISTICS
N014,h5_primary_go2_imu_paper_contact_adapter,HartleyInEkf::eq61ProcessCovarianceGo2ImuPaperContact,GO2_FOUR_ASDS_PLUS_PAPER_CONTACT_0.05,mixed,,,DISCRETE_QD,1,false,false,GO2_IMU_ASDS_IN_QC_CONTACT_PAPER_NATIVE_IN_QBAR_ONLY,HARTLEY_FUTURE_H5_IMU_PROFILE_CONTRACT
N015,h5_primary_fk_measurement_std,MeasurementStdMeters,0.010,m,,,MEASUREMENT_R,1,false,false,ISOTROPIC_R_1.0e-4_I3_NEVER_ENTERS_QC,HARTLEY_FUTURE_H5_IMU_PROFILE_CONTRACT
N016,paper_table1_joint_encoder_noise_std,PaperTable1DiscreteStd,1.0,deg,,,MEASUREMENT_R_VIA_FOOT_JACOBIAN,1,false,false,PAPER_NATIVE_ANGLE_STD_CONVERT_TO_RAD_THEN_R_EQUALS_J_SIGMA_RAD_SQUARED_I_J_TRANSPOSE_NO_DEG_TO_M_SCALAR,HARTLEY_IJRR2020_TABLE_1_EXPERIMENT_DISCRETE_NOISE_STATISTICS
N017,paper_table1_joint_encoder_measurement_covariance,contactMeasurementCovarianceFromPaperTable1JointEncoder,J_SIGMA_RAD_SQUARED_I_J_TRANSPOSE,m^2,,,MEASUREMENT_R,1,false,false,SUPPLIED_FOOT_POSITION_JACOBIAN_M_PER_RAD_MEASUREMENT_ONLY_NEVER_QC,HARTLEY_IJRR2020_TABLE_1_EXPERIMENT_DISCRETE_NOISE_STATISTICS
