source_id,title,authors,doi,version,pages,bytes,sha256,hash_scope,license,access_status,endpoint,equation_relevance,relationship,provenance_class,closure_effect,repository_tree_oid
YIN2023_VOR,"A Robust Adaptive Extended Kalman Filter Based on an Improved Measurement Noise Covariance Matrix for the Monitoring and Isolation of Abnormal Disturbances in GNSS/INS Vehicle Navigation","Zhihui Yin; Jichao Yang; Yue Ma; Shengli Wang; Dashuai Chai; Haonan Cui",10.3390/rs15174125,VERSION_OF_RECORD_28_PAGE,28,4550872,b67f07908671bbda54ffd8a3981f7e365ff97f387698d2b558305044f11eec04,OFFICIAL_PDF_BYTES,CC_BY_4_0,FULL_PDF_RENDERED_AND_TEXT_INSPECTED,https://mdpi-res.com/d_attachment/remotesensing/remotesensing-15-04125/article_deploy/remotesensing-15-04125.pdf,"Eqs.6-14; glyphs; Figure3; data/code statement",PRIMARY_METHOD_SOURCE,PAPER_DIRECT,"Preserves unresolved Eq.6 statistic, L/Z relation, standardizer, matrix, and zero operation",NOT_APPLICABLE
YIN2023_V2,"A Robust Adaptive Extended Kalman Filter Based on an Improved Measurement Noise Covariance Matrix for the Monitoring and Isolation of Abnormal Disturbances in GNSS/INS Vehicle Navigation","Zhihui Yin; Jichao Yang; Yue Ma; Shengli Wang; Dashuai Chai; Haonan Cui",10.3390/rs15174125,UPDATED_V2_24_PAGE,24,21097265,198da0283cabddc97446bf9cf9138d8b7ee0b1d1a78f9bdbbe8265c711302f0c,OFFICIAL_PDF_BYTES,CC_BY_4_0,FULL_PDF_RENDERED_AND_TEXT_INSPECTED,https://mdpi-res.com/d_attachment/remotesensing/remotesensing-15-04125/article_deploy/remotesensing-15-04125-v2.pdf,"Whether update repairs Eqs.6-14",UPDATED_PRIMARY_METHOD_SOURCE,PAPER_DIRECT,"Semantically identical equations; layout/pagination update only",NOT_APPLICABLE
YIN2023_DOI,"Remote Sensing 15(17):4125 DOI landing","Zhihui Yin; Jichao Yang; Yue Ma; Shengli Wang; Dashuai Chai; Haonan Cui",10.3390/rs15174125,DOI_RECORD,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_SEPARATELY_HASHED,CC_BY_4_0,OPEN,https://doi.org/10.3390/rs15174125,"Bibliographic identity and license",BIBLIOGRAPHIC_PRIMARY_SOURCE,PAPER_DIRECT,CLOSED,NOT_APPLICABLE
YIN2023_OFFICIAL_HTML,"Official MDPI article HTML","Zhihui Yin; Jichao Yang; Yue Ma; Shengli Wang; Dashuai Chai; Haonan Cui",10.3390/rs15174125,OFFICIAL_HTML,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_CAPTURED,CC_BY_4_0,DIRECT_HTTP_403_IN_CURRENT_ENVIRONMENT,https://www.mdpi.com/2072-4292/15/17/4125,"Official article origin endpoint",OFFICIAL_PRIMARY_ENDPOINT,PAPER_DIRECT,"Direct access boundary; transport capture registered separately",NOT_APPLICABLE
YIN2023_OFFICIAL_HTML_JINA_CAPTURE,"UTF-8 Markdown transport capture of official MDPI article HTML","Zhihui Yin; Jichao Yang; Yue Ma; Shengli Wang; Dashuai Chai; Haonan Cui",10.3390/rs15174125,JINA_TRANSPORT_CAPTURE,NOT_APPLICABLE,104971,26784270d28e208184610db5bfcb1dadae4c810885c7f5d52f5240e5acb73426,JINA_UTF8_MARKDOWN_TRANSPORT_BYTES_NOT_PAPER_BINARY,CC_BY_4_0,FULL_ARTICLE_HTML_TEXT_RETRIEVED_THROUGH_JINA,https://r.jina.ai/http://www.mdpi.com/2072-4292/15/17/4125,"Full HTML sections, references, data statement, and supplement-section search",TRANSPORT_CAPTURE_OF_OFFICIAL_PRIMARY_SOURCE,PAPER_DIRECT_TRANSPORT_CAPTURE,"Supports exact HTML and supplement audit without replacing paper PDF",NOT_APPLICABLE
YIN2023_VERSION_NOTES,"Official MDPI version-notes endpoint","Zhihui Yin; Jichao Yang; Yue Ma; Shengli Wang; Dashuai Chai; Haonan Cui",10.3390/rs15174125,VERSION_NOTES_HTML,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_CAPTURED,CC_BY_4_0,"DIRECT_HTTP_403_IN_CURRENT_ENVIRONMENT; VERSION LOG INSPECTED THROUGH ATTRIBUTABLE TRANSPORT",https://www.mdpi.com/2072-4292/15/17/4125/notes,"Lists HTML, XML, and PDF versions; no supplement entry",OFFICIAL_PRIMARY_ENDPOINT,PAPER_DIRECT,"No attributable mathematical repair or supplement listed",NOT_APPLICABLE
YIN2023_SUPPLEMENT_SEARCH,"Focused attributable supplementary-material search","Zhihui Yin; Jichao Yang; Yue Ma; Shengli Wang; Dashuai Chai; Haonan Cui",10.3390/rs15174125,FOCUSED_SEARCH_2026_08_24,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_CAPTURED,NOT_APPLICABLE,"NOTES_LIST_HTML_XML_PDF_ONLY; FULL_HTML_HAS_NO_SUPPLEMENTARY_MATERIALS_SECTION; S001_PDF_AND_ZIP_HTTP_404","https://www.mdpi.com/2072-4292/15/17/4125/notes ; https://mdpi-res.com/d_attachment/remotesensing/remotesensing-15-04125/article_deploy/remotesensing-15-04125-s001.pdf ; https://mdpi-res.com/d_attachment/remotesensing/remotesensing-15-04125/article_deploy/remotesensing-15-04125-s001.zip","Whether an attributable supplement closes equations or supplies code",ATTRIBUTABLE_ENDPOINT_SEARCH,CURRENTLY_UNKNOWN,NO_ATTRIBUTABLE_SUPPLEMENT_FOUND,NOT_APPLICABLE
YIN2023_PEER_REVIEW_RECORD,"Official MDPI peer-review record","Zhihui Yin; Jichao Yang; Yue Ma; Shengli Wang; Dashuai Chai; Haonan Cui",10.3390/rs15174125,OPEN_PEER_REVIEW_RECORD,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_CAPTURED,NOT_STATED_FOR_REVIEW_RECORD,DIRECT_HTTP_403_IN_CURRENT_ENVIRONMENT,https://www.mdpi.com/2072-4292/15/17/4125/review_report,"Reviewer questions and author clarifications for Eqs.6,8,10,11",OFFICIAL_PRIMARY_ENDPOINT,PAPER_DIRECT,AUTHOR_RESPONSE_CAPTURE_REGISTERED_SEPARATELY,NOT_APPLICABLE
YIN2023_AUTHOR_RESPONSE_DIRECT,"Official Susy author response to peer review","Zhihui Yin; Jichao Yang; Yue Ma; Shengli Wang; Dashuai Chai; Haonan Cui",10.3390/rs15174125,AUTHOR_COVERLETTER_REPORT_31242108,11_REPORTED,NOT_CAPTURED,NOT_APPLICABLE,OFFICIAL_DIRECT_BYTES_NOT_RETRIEVED,NOT_STATED,DIRECT_HTTP_403_IN_CURRENT_ENVIRONMENT,"https://susy.mdpi.com/user/review/displayFile/41299766/4MoqTeV7?file=author-coverletter&report=31242108","Authors clarify bar_V_k residual; L_k observation vector; overloaded bar_A(tilde V_i) equivalent weight; Eq.10 weighting function enters Eq.11 Latin w(tilde V_i); inverse equivalent weight is observation covariance",OFFICIAL_PRIMARY_ENDPOINT,PAPER_DIRECT,"Does not equate L with Z or hat with bar; does not equate Greek omega with Latin w; does not distinguish Eq.11 base/equivalent information symbols or define standardizer/general matrix/zero operation",NOT_APPLICABLE
YIN2023_AUTHOR_RESPONSE_JINA_CAPTURE,"UTF-8 Markdown transport capture of official Susy author response","Zhihui Yin; Jichao Yang; Yue Ma; Shengli Wang; Dashuai Chai; Haonan Cui",10.3390/rs15174125,JINA_TRANSPORT_CAPTURE_OF_11_PAGE_RESPONSE,11_REPORTED,18305,46c6bd33f49aab98ea0b9333f1ddce3298991ae55422ed440806a7d2dca313ce,JINA_UTF8_MARKDOWN_TRANSPORT_BYTES_NOT_ORIGINAL_PDF,NOT_STATED,FULL_TEXT_RETRIEVED_THROUGH_JINA,"https://r.jina.ai/http://susy.mdpi.com/user/review/displayFile/41299766/4MoqTeV7?file=author-coverletter%26report=31242108","Decisive author wording for Eqs.6,8,10,11 including the Eq.10-weighting-function-to-Eq.11-Latin-w semantic relation",TRANSPORT_CAPTURE_OF_OFFICIAL_PRIMARY_SOURCE,PAPER_DIRECT_TRANSPORT_CAPTURE,"Strengthens Outcome B without treating transport hash as original PDF hash or collapsing distinct equation glyphs",NOT_APPLICABLE
