run_id,domain,sequence_id,case_id,method_id,retain_error_series,evaluator_versions,reason
RUN_00001,CORE,BY2,C00_clean_normal,F01,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00002,CORE,BY2,C00_clean_normal,F02,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00003,CORE,BY2,C00_clean_normal,F03,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00004,CORE,BY2,C00_clean_normal,F04,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00005,CORE,BY2,C00_clean_normal,A03,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00006,CORE,BY2,C00_clean_normal,A04,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00007,CORE,BY2,C00_clean_normal,A05,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00008,CORE,BY2,C00_clean_normal,A06,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00009,CORE,BY2,C00_clean_normal,A07,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00010,CORE,BY2,C00_clean_normal,A08,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00011,CORE,BY2,C00_clean_normal,A09,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00012,CORE,BY2,D01_seed_00,F01,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00013,CORE,BY2,D01_seed_00,F02,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00014,CORE,BY2,D01_seed_00,F03,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00015,CORE,BY2,D01_seed_00,F04,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00016,CORE,BY2,D01_seed_00,A03,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00017,CORE,BY2,D01_seed_00,A04,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00018,CORE,BY2,D01_seed_00,A05,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00019,CORE,BY2,D01_seed_00,A06,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00020,CORE,BY2,D01_seed_00,A07,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00021,CORE,BY2,D01_seed_00,A08,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00022,CORE,BY2,D01_seed_00,A09,True,v3;v2,C00_AND_61_CASE_SEED_ZERO
RUN_00023,CORE,BY2,D01_seed_01,F01,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00024,CORE,BY2,D01_seed_01,F02,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00025,CORE,BY2,D01_seed_01,F03,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00026,CORE,BY2,D01_seed_01,F04,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00027,CORE,BY2,D01_seed_01,A03,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00028,CORE,BY2,D01_seed_01,A04,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00029,CORE,BY2,D01_seed_01,A05,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00030,CORE,BY2,D01_seed_01,A06,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00031,CORE,BY2,D01_seed_01,A07,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00032,CORE,BY2,D01_seed_01,A08,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00033,CORE,BY2,D01_seed_01,A09,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00034,CORE,BY2,D01_seed_02,F01,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00035,CORE,BY2,D01_seed_02,F02,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00036,CORE,BY2,D01_seed_02,F03,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00037,CORE,BY2,D01_seed_02,F04,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00038,CORE,BY2,D01_seed_02,A03,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00039,CORE,BY2,D01_seed_02,A04,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00040,CORE,BY2,D01_seed_02,A05,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00041,CORE,BY2,D01_seed_02,A06,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00042,CORE,BY2,D01_seed_02,A07,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00043,CORE,BY2,D01_seed_02,A08,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00044,CORE,BY2,D01_seed_02,A09,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00045,CORE,BY2,D01_seed_03,F01,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00046,CORE,BY2,D01_seed_03,F02,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00047,CORE,BY2,D01_seed_03,F03,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00048,CORE,BY2,D01_seed_03,F04,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00049,CORE,BY2,D01_seed_03,A03,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00050,CORE,BY2,D01_seed_03,A04,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00051,CORE,BY2,D01_seed_03,A05,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00052,CORE,BY2,D01_seed_03,A06,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00053,CORE,BY2,D01_seed_03,A07,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00054,CORE,BY2,D01_seed_03,A08,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00055,CORE,BY2,D01_seed_03,A09,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00056,CORE,BY2,D01_seed_04,F01,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00057,CORE,BY2,D01_seed_04,F02,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00058,CORE,BY2,D01_seed_04,F03,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00059,CORE,BY2,D01_seed_04,F04,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00060,CORE,BY2,D01_seed_04,A03,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00061,CORE,BY2,D01_seed_04,A04,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00062,CORE,BY2,D01_seed_04,A05,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00063,CORE,BY2,D01_seed_04,A06,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00064,CORE,BY2,D01_seed_04,A07,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00065,CORE,BY2,D01_seed_04,A08,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00066,CORE,BY2,D01_seed_04,A09,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00067,CORE,BY2,D01_seed_05,F01,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00068,CORE,BY2,D01_seed_05,F02,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
RUN_00069,CORE,BY2,D01_seed_05,F03,False,v3;v2,OMIT_CORE_NON_RETAINED_ERROR_SERIES_ONLY
