dataset,family,go2_mode,delta_position_rmse_h_mean_vs_G00,delta_up_rmse_mean_vs_G00,delta_roll_rmse_mean_vs_G00,delta_pitch_rmse_mean_vs_G00,delta_yaw_rmse_mean_vs_G00
BY2,downsample,G00_NO_GO2,0.0,0.0,0.0,0.0,0.0
BY2,downsample,G01_GO2_RP_ONLY,0.0017187085217953,0.0001488188631189,-0.0042607514162134,-0.0056631975164336,-0.0394929082443633
BY2,downsample,G02_GO2_HVEL_ONLY,-0.0009136119740773,3.0461974736439856e-05,-0.0001125222636531,-0.0001646741826171,-0.0006762562299349
BY2,downsample,G04_GO2_RP_HVEL,0.0008950996905356,0.0001777741229469,-0.0043512920493418,-0.0057845664202433,-0.0400938987685619
BY2,mixed,G00_NO_GO2,0.0,0.0,0.0,0.0,0.0
BY2,mixed,G01_GO2_RP_ONLY,-0.0046995609304723,-0.0041291293553595,-0.0315642668007696,-0.019357376514284,0.2679645559234451
BY2,mixed,G02_GO2_HVEL_ONLY,-0.0004499885941577,-0.000188487461457,-0.0014554236552968,-0.0008563999255155,0.0115124302810833
BY2,mixed,G04_GO2_RP_HVEL,-0.0050783970535448,-0.0042969550821583,-0.0328263114951075,-0.0201369280256384,0.2734691732789862
BY2,normal,G00_NO_GO2,0.0,0.0,0.0,0.0,0.0
BY2,normal,G01_GO2_RP_ONLY,4.401554397509555e-05,-2.7310908392474964e-05,-0.0048270640346652,-0.0006980821009401,-0.005649247227921
BY2,normal,G02_GO2_HVEL_ONLY,3.88797999872903e-05,-2.7718138584376106e-07,-1.7563749419524655e-05,-5.2809606701842426e-05,-0.0003468660969039
BY2,normal,G04_GO2_RP_HVEL,8.289376682740768e-05,-2.7418954883118296e-05,-0.004842796856328,-0.0007350822212692,-0.0059426574018059
BY2,outage,G00_NO_GO2,0.0,0.0,0.0,0.0,0.0
BY2,outage,G01_GO2_RP_ONLY,0.0001324905608628,-9.37556679381224e-06,-0.0047955871297065,-0.0006963319055544,-0.0058116679004274
BY2,outage,G02_GO2_HVEL_ONLY,-5.512479797431524e-05,1.553228518469396e-06,-1.7747336343632014e-05,-5.203025554045837e-05,-0.0003023831154422
BY2,outage,G04_GO2_RP_HVEL,7.70883667118305e-05,-7.781597944234164e-06,-0.0048115168947935,-0.0007325549527079,-0.0060640279023314
BY2,position_noise,G00_NO_GO2,0.0,0.0,0.0,0.0,0.0
BY2,position_noise,G01_GO2_RP_ONLY,-0.0069097941551476,-0.0081833373723503,-0.064148629278506,-0.022134955508684,0.2764453233832178
BY2,position_noise,G02_GO2_HVEL_ONLY,-0.0004793031937739,-0.0002917316294062,-0.0019748347037698,-0.0009980944148346,0.0077942343920973
BY2,position_noise,G04_GO2_RP_HVEL,-0.0073371898622602,-0.0084427394578305,-0.0659637558160963,-0.0230167488071364,0.287358685947968
BY2,position_spike,G00_NO_GO2,0.0,0.0,0.0,0.0,0.0
BY2,position_spike,G01_GO2_RP_ONLY,-0.003603802799686,-0.0027153099778256,-0.0195797009563636,-0.012564824622032,-0.0272176997753446
BY2,position_spike,G02_GO2_HVEL_ONLY,-0.0001955611129687,-9.865897394989442e-05,-0.0005356507969662,-0.0005203900122936,1.4339018967746142e-05
BY2,position_spike,G04_GO2_RP_HVEL,-0.0037856207636632,-0.002806125154064,-0.0200589081632915,-0.013044747153444,-0.0265785316941675
BY2,position_std,G00_NO_GO2,0.0,0.0,0.0,0.0,0.0
BY2,position_std,G01_GO2_RP_ONLY,0.0007764296314917,-8.818884814809635e-05,-0.0044986780206615,-0.0013152596616108,0.0015873761528895
BY2,position_std,G02_GO2_HVEL_ONLY,-0.0006330463692487,-1.2250654912726588e-05,-0.0001703984266399,-0.0001823989935569,-0.0006473792448273
BY2,position_std,G04_GO2_RP_HVEL,0.0001400408502216,-9.999398213622612e-05,-0.004666182620066,-0.0014807687578515,0.000924200326243
BY2,yaw_noise,G00_NO_GO2,0.0,0.0,0.0,0.0,0.0
BY2,yaw_noise,G01_GO2_RP_ONLY,4.626300846788389e-05,-2.76740309391732e-05,-0.0048179728534565,-0.0007504404798064,-0.0163525855181045
BY2,yaw_noise,G02_GO2_HVEL_ONLY,4.053094488537523e-05,-6.670528351904181e-08,-5.97541643787558e-06,-4.51805890784307e-05,-0.0031500238121253
BY2,yaw_noise,G04_GO2_RP_HVEL,8.508793596700981e-05,-2.7774233558042205e-05,-0.0048330000541452,-0.0007878786347135,-0.0165210583270662
BY2,yaw_std,G00_NO_GO2,0.0,0.0,0.0,0.0,0.0
BY2,yaw_std,G01_GO2_RP_ONLY,-1.1348679921141525e-05,-2.9791086753605533e-05,-0.0048057690580665,-0.0008187845397211,-0.1879814681367824
BY2,yaw_std,G02_GO2_HVEL_ONLY,3.988496315809886e-05,-2.072432367938859e-07,-1.1948131711347898e-05,-5.953553071447182e-05,-0.0010239732463537
BY2,yaw_std,G04_GO2_RP_HVEL,2.920677263457128e-05,-2.9801004267748787e-05,-0.0048154938233291,-0.0008599237518684,-0.1879437984902354
