dataset,source_table,field,dtype,policy
BY2,BY2_GO2_ATTITUDE_PRIORS,time,float64,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_ATTITUDE_PRIORS,roll_rad,float64,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_ATTITUDE_PRIORS,pitch_rad,float64,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_ATTITUDE_PRIORS,std_roll_rad,float64,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_ATTITUDE_PRIORS,std_pitch_rad,float64,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_ATTITUDE_PRIORS,source_status,object,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_ATTITUDE_PRIORS,mode,int64,USED_AS_LSIM_METADATA_DIAGNOSTIC_ONLY
BY2,BY2_GO2_ATTITUDE_PRIORS,gait_type,int64,USED_AS_LSIM_METADATA_DIAGNOSTIC_ONLY
BY2,BY2_GO2_ATTITUDE_PRIORS,foot_force_sum,float64,USED_AS_LSIM_METADATA_DIAGNOSTIC_ONLY
BY2,BY2_GO2_ATTITUDE_PRIORS,body_height,float64,DIAGNOSTIC_ONLY
BY2,BY2_GO2_ATTITUDE_PRIORS,quality_flag,object,DIAGNOSTIC_ONLY
BY2,BY2_GO2_ATTITUDE_PRIORS,go2_roll_pitch_truth_claim,bool,FORBIDDEN_AS_TRUTH
BY2,BY2_GO2_HORIZONTAL_VELOCITY_PRIORS,time,float64,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_HORIZONTAL_VELOCITY_PRIORS,vn,float64,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_HORIZONTAL_VELOCITY_PRIORS,ve,float64,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_HORIZONTAL_VELOCITY_PRIORS,vd,float64,DIAGNOSTIC_ONLY
BY2,BY2_GO2_HORIZONTAL_VELOCITY_PRIORS,std_vn,float64,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_HORIZONTAL_VELOCITY_PRIORS,std_ve,float64,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_HORIZONTAL_VELOCITY_PRIORS,std_vd,float64,DIAGNOSTIC_ONLY
BY2,BY2_GO2_HORIZONTAL_VELOCITY_PRIORS,confidence,float64,USED_AS_LSIM_METADATA_DIAGNOSTIC_ONLY
BY2,BY2_GO2_HORIZONTAL_VELOCITY_PRIORS,confidence_level,object,USED_AS_LSIM_METADATA_DIAGNOSTIC_ONLY
BY2,BY2_GO2_HORIZONTAL_VELOCITY_PRIORS,update_flag,bool,USED_AS_WEAK_PRIOR
BY2,BY2_GO2_HORIZONTAL_VELOCITY_PRIORS,reason_codes,object,DIAGNOSTIC_ONLY
BY2,BY2_GO2_HORIZONTAL_VELOCITY_PRIORS,source_status,object,USED_AS_WEAK_PRIOR
