dataset,case_id,family,go2_mode,resume_action,completed_evaluable,go2_readiness_lsim_metadata_enabled,source_aware_go2_readiness_lsim_enabled,go2_readiness_first_class_lsim,go2_readiness_lsim_provider_status,go2_readiness_lsim_metadata_count,go2_readiness_lsim_matched_metadata_count,go2_readiness_trace_solver_input,go2_readiness_go2_position_truth_claim,go2_readiness_go2_yaw_truth_claim
BY3,BY3_B_ratio_downsample_001,downsample,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,286,False,False,False
BY3,BY3_B_ratio_downsample_001,downsample,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,572,False,False,False
BY3,BY3_B_ratio_downsample_002,downsample,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,148,False,False,False
BY3,BY3_B_ratio_downsample_002,downsample,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,273,False,False,False
BY3,BY3_B_ratio_downsample_003,downsample,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,56,False,False,False
BY3,BY3_B_ratio_downsample_003,downsample,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,112,False,False,False
BY3,BY3_M_mixed_001,mixed,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,598,False,False,False
BY3,BY3_M_mixed_001,mixed,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1122,False,False,False
BY3,BY3_M_mixed_002,mixed,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,562,False,False,False
BY3,BY3_M_mixed_002,mixed,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1239,False,False,False
BY3,BY3_M_mixed_003,mixed,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,580,False,False,False
BY3,BY3_M_mixed_003,mixed,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1118,False,False,False
BY3,BY3_M_mixed_004,mixed,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,286,False,False,False
BY3,BY3_M_mixed_004,mixed,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,572,False,False,False
BY3,BY3_M_mixed_005,mixed,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,286,False,False,False
BY3,BY3_M_mixed_005,mixed,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,572,False,False,False
BY3,BY3_M_mixed_006,mixed,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,286,False,False,False
BY3,BY3_M_mixed_006,mixed,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,648,False,False,False
BY3,BY3_M_mixed_007,mixed,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,720,False,False,False
BY3,BY3_M_mixed_007,mixed,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1188,False,False,False
BY3,BY3_M_mixed_008,mixed,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,570,False,False,False
BY3,BY3_M_mixed_008,mixed,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1138,False,False,False
BY3,BY3_M_mixed_009,mixed,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,570,False,False,False
BY3,BY3_M_mixed_009,mixed,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1138,False,False,False
BY3,BY3_M_mixed_010,mixed,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,555,False,False,False
BY3,BY3_M_mixed_010,mixed,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1098,False,False,False
BY3,BY3_M_mixed_011,mixed,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,550,False,False,False
BY3,BY3_M_mixed_011,mixed,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1098,False,False,False
BY3,BY3_M_mixed_012,mixed,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,550,False,False,False
