dataset,family,resume_action,rows
BY2,downsample,SKIP_ALREADY_COMPLETED,18
BY2,mixed,SKIP_ALREADY_COMPLETED,96
BY2,normal,SKIP_ALREADY_COMPLETED,6
BY2,outage,SKIP_ALREADY_COMPLETED,24
BY2,position_noise,SKIP_ALREADY_COMPLETED,180
BY2,position_spike,SKIP_ALREADY_COMPLETED,180
BY2,position_std,SKIP_ALREADY_COMPLETED,18
BY2,yaw_noise,SKIP_ALREADY_COMPLETED,180
BY2,yaw_std,SKIP_ALREADY_COMPLETED,18
BY3,downsample,SKIP_ALREADY_COMPLETED,18
BY3,mixed,SKIP_ALREADY_COMPLETED,96
BY3,normal,SKIP_ALREADY_COMPLETED,6
BY3,outage,SKIP_ALREADY_COMPLETED,24
BY3,position_noise,SKIP_ALREADY_COMPLETED,180
BY3,position_spike,SKIP_ALREADY_COMPLETED,180
BY3,position_std,SKIP_ALREADY_COMPLETED,18
BY3,yaw_noise,RERUN_MISSING_ONLY,151
BY3,yaw_noise,RERUN_PARTIAL_OR_CORRUPTED,8
BY3,yaw_noise,SKIP_ALREADY_COMPLETED,21
BY3,yaw_std,RERUN_MISSING_ONLY,18
