dataset,go2_mode,resume_action,rows
BY2,G00_NO_GO2,SKIP_ALREADY_COMPLETED,120
BY2,G01_GO2_RP_ONLY,SKIP_ALREADY_COMPLETED,120
BY2,G02_GO2_HVEL_ONLY,SKIP_ALREADY_COMPLETED,120
BY2,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,120
BY2,G04_GO2_RP_HVEL,SKIP_ALREADY_COMPLETED,120
BY2,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,120
BY3,G00_NO_GO2,RERUN_MISSING_ONLY,28
BY3,G00_NO_GO2,RERUN_PARTIAL_OR_CORRUPTED,1
BY3,G00_NO_GO2,SKIP_ALREADY_COMPLETED,91
BY3,G01_GO2_RP_ONLY,RERUN_MISSING_ONLY,28
BY3,G01_GO2_RP_ONLY,RERUN_PARTIAL_OR_CORRUPTED,1
BY3,G01_GO2_RP_ONLY,SKIP_ALREADY_COMPLETED,91
BY3,G02_GO2_HVEL_ONLY,RERUN_MISSING_ONLY,28
BY3,G02_GO2_HVEL_ONLY,RERUN_PARTIAL_OR_CORRUPTED,1
BY3,G02_GO2_HVEL_ONLY,SKIP_ALREADY_COMPLETED,91
BY3,G03_GO2_READINESS_ONLY,RERUN_MISSING_ONLY,28
BY3,G03_GO2_READINESS_ONLY,RERUN_PARTIAL_OR_CORRUPTED,2
BY3,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,90
BY3,G04_GO2_RP_HVEL,RERUN_MISSING_ONLY,28
BY3,G04_GO2_RP_HVEL,RERUN_PARTIAL_OR_CORRUPTED,2
BY3,G04_GO2_RP_HVEL,SKIP_ALREADY_COMPLETED,90
BY3,G05_GO2_FULL_AUX,RERUN_MISSING_ONLY,29
BY3,G05_GO2_FULL_AUX,RERUN_PARTIAL_OR_CORRUPTED,1
BY3,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,90
