dataset,family,go2_mode,completed_rows,yaw_metric_status,position_rmse_h_mean,position_rmse_3d_mean,up_rmse_mean,roll_rmse_mean,pitch_rmse_mean,yaw_rmse_diagnostic_mean,epoch_count_mean
BY3,downsample,G00_NO_GO2,3,diagnostic_only,7.24508304050493,25.780518508985494,24.67312645756643,2.146070747746918,2.1073775823965444,102.75472868744805,61638.666666666664
BY3,downsample,G01_GO2_RP_ONLY,3,diagnostic_only,7.255297612320651,25.781056062100077,24.663631479175404,2.110798203482584,2.1055633807235967,95.26565081648441,61638.666666666664
BY3,downsample,G02_GO2_HVEL_ONLY,3,diagnostic_only,7.247069640411368,25.781668620790214,24.673259914084024,2.147847122619859,2.1063904778894194,102.69238398014026,61638.666666666664
BY3,downsample,G03_GO2_READINESS_ONLY,3,diagnostic_only,7.290615855284023,25.803824506390924,24.68564148778481,2.1485991053071367,2.11013542569522,103.1549983034995,61638.666666666664
BY3,downsample,G04_GO2_RP_HVEL,3,diagnostic_only,7.2625136979605855,25.782308061296575,24.663449869315127,2.1139742721733654,2.105963844700814,99.53613934813154,61638.666666666664
BY3,downsample,G05_GO2_FULL_AUX,3,diagnostic_only,7.3063482619922056,25.806169251356465,24.676405740631527,2.116901051938141,2.1113593901629604,94.65263591174073,61638.666666666664
BY3,mixed,G00_NO_GO2,16,diagnostic_only,6.653822602418041,18.73102262904739,17.02398646319717,2.720277382717204,3.010477344477593,99.50426434936696,61783.5625
BY3,mixed,G01_GO2_RP_ONLY,16,diagnostic_only,6.704527623763568,18.74515550199498,17.022236061100866,2.491883785212325,2.6330871574267687,90.41561813803737,61783.5625
BY3,mixed,G02_GO2_HVEL_ONLY,16,diagnostic_only,6.7073804634602405,18.74200864048575,17.02183313116879,2.866244263352189,3.1701230450413846,97.12685350277133,61783.5625
BY3,mixed,G03_GO2_READINESS_ONLY,16,diagnostic_only,6.88042602242589,18.891832284534782,17.045958596012916,2.731975762052553,3.0207516641030603,99.58703347475688,61783.5625
BY3,mixed,G04_GO2_RP_HVEL,16,diagnostic_only,6.74702283057636,18.750049446697723,17.01409773678303,2.5026926121809394,2.7387398298322605,83.45772314149019,61783.5625
BY3,mixed,G05_GO2_FULL_AUX,16,diagnostic_only,6.977232603970488,18.913350975486274,17.035942842272235,2.512457827040046,2.75115166638832,83.61203530940855,61783.5625
