source_path,package,kind,source_exists_before,source_size_bytes_before,archive_verified,dry_run_action,planned_method,reason,skip_reason
<WSL_PREFLIGHT_ROOT>/PAPER10A_MAINLINE_MEMORY_RECONCILIATION_AND_CODE_EVIDENCE_FREEZE,,runtime,,868637516,not_applicable,SKIP,,completed historical runtime; not selected for deletion in this low-risk pass,ARCHIVE_ONLY_KEEP_SOURCE
<WSL_PREFLIGHT_ROOT>/PAPER10B_R1_SOURCE_AWARE_FULL_120_ABLATION_AND_METRIC_PROVENANCE_CLOSURE,,runtime,,15451105524,not_applicable,SKIP,,completed historical runtime; not selected for deletion in this low-risk pass,ARCHIVE_ONLY_KEEP_SOURCE
<WSL_PREFLIGHT_ROOT>/PAPER10B_R2A_WSL_SPACE_ARCHIVE_COMPACT_AND_RESUME_GUARD,,runtime,,2524466,not_applicable,SKIP,,too small to matter for WSL cleanup,SKIP_TOO_SMALL
<WSL_PREFLIGHT_ROOT>/PAPER10B_R2_BY3_SOURCE_AWARE_FULL_120_ABLATION_AND_CROSS_DATASET_CLOSURE,,runtime,,19185771324,not_applicable,SKIP,,completed historical runtime; not selected for deletion in this low-risk pass,ARCHIVE_ONLY_KEEP_SOURCE
<WSL_PREFLIGHT_ROOT>/PAPER10B_SOURCE_AWARE_LSIM_OIM_PAPER_EVIDENCE_FREEZE,,runtime,,1256537,not_applicable,SKIP,,too small to matter for WSL cleanup,SKIP_TOO_SMALL
<PAPER10Y_STAGE_ROOT>,,runtime,,77027,not_applicable,SKIP,,current PAPER10Y runtime,SKIP_ACTIVE_OR_RECENT_UNVERIFIED
<WSL_PREFLIGHT_ROOT>/PAPER3D_R2_WSL_CLI_RTKLIB_REBUILD_RINEX_DDLOS,,runtime,,830012707,not_applicable,SKIP,,completed historical runtime; not selected for deletion in this low-risk pass,ARCHIVE_ONLY_KEEP_SOURCE
<WSL_PREFLIGHT_ROOT>/PAPER3D_WSL_CLI_PREFLIGHT_DDLOS_FRAME_INTERNAL_BASELINE,,runtime,,94262032,not_applicable,SKIP,,completed historical runtime; not selected for deletion in this low-risk pass,ARCHIVE_ONLY_KEEP_SOURCE
<WSL_PREFLIGHT_ROOT>/PAPER3E_DDLOS_BACKED_TRUE_LIT_FULL_MATRIX,,runtime,,422927108,not_applicable,SKIP,,completed historical runtime; not selected for deletion in this low-risk pass,ARCHIVE_ONLY_KEEP_SOURCE
<WSL_PREFLIGHT_ROOT>/PAPER3F_FULL_BACKEND_UPGRADE_AND_FINAL_EVIDENCE,,runtime,,434971961,not_applicable,SKIP,,completed historical runtime; not selected for deletion in this low-risk pass,ARCHIVE_ONLY_KEEP_SOURCE
