source,exists,size_bytes,role
AGENTS.md,True,87656,core_repository_context
PLANS.md,True,52851,core_repository_context
PHASE_LOG.md,True,48902,core_repository_context
CLAIM_BOUNDARY.md,True,95663,core_repository_context
<REPO_ROOT>/suanfahengxiangduibi/PAPER4A_WRITE_READY_EVIDENCE_PACKAGE_AND_CONTEXT_SYNC/PAPER4A_SUPERVISOR_FINAL_REPORT.md,True,3300,required_stage_input
<REPO_ROOT>/suanfahengxiangduibi/PAPER4A_WRITE_READY_EVIDENCE_PACKAGE_AND_CONTEXT_SYNC/PAPER4A_MAIN_TEXT_EVIDENCE_TABLE.md,True,1991,required_stage_input
<REPO_ROOT>/suanfahengxiangduibi/PAPER4A_WRITE_READY_EVIDENCE_PACKAGE_AND_CONTEXT_SYNC/PAPER4A_FORBIDDEN_CLAIMS.md,True,1907,required_stage_input
<C_LEGSA_SUANFAHENGXIANGDUIBI_ROOT>/PAPER4A_WRITE_READY_EVIDENCE_PACKAGE_AND_CONTEXT_SYNC/PAPER4A_SUPERVISOR_FINAL_REPORT.md,True,3300,required_stage_input
<WSL_PREFLIGHT_ROOT>/PAPER3I_PHYSICAL_YAW_SATPOS_IEKF_EQKF_INTERNAL_JOIN/PAPER3I_SUPERVISOR_FINAL_REPORT.md,True,1164,required_stage_input
<WSL_PREFLIGHT_ROOT>/PAPER3H_MULTIGNSS_DDLOS_AND_FOURTH_LAYER_REPAIR/PAPER3H_PROVIDER_V3_SUMMARY.csv,True,192,required_stage_input
<WSL_PREFLIGHT_ROOT>/PAPER3G_LAMBDA_MLAMBDA_CLAMBDA_BACKEND_AND_MULTIGNSS_DDLOS_REPAIR/PAPER3G_ROW_LEVEL_MASTER_TABLE.csv,True,572546,required_stage_input
<WSL_PREFLIGHT_ROOT>/PAPER3F_FULL_BACKEND_UPGRADE_AND_FINAL_EVIDENCE/PAPER3F_ROW_LEVEL_MASTER_TABLE.csv,True,541321,required_stage_input
