encoding_probe,needle,offset_or_minus1
latin-1,GNSS1,-1
latin-1,GNSS2,-1
latin-1,0.0200,-1
latin-1,0.1750,-1
latin-1,Antenna,-1
latin-1,Fusion,-1
latin-1,extrinsics,-1
latin-1,右手,-1
latin-1,融合,-1
latin-1,天线,-1
utf-8,GNSS1,-1
utf-8,GNSS2,-1
utf-8,0.0200,-1
utf-8,0.1750,-1
utf-8,Antenna,-1
utf-8,Fusion,-1
utf-8,extrinsics,-1
utf-8,右手,-1
utf-8,融合,-1
utf-8,天线,-1
utf-16le,GNSS1,-1
utf-16le,GNSS2,-1
utf-16le,0.0200,-1
utf-16le,0.1750,-1
utf-16le,Antenna,-1
utf-16le,Fusion,-1
utf-16le,extrinsics,-1
utf-16le,右手,-1
utf-16le,融合,-1
utf-16le,天线,-1
utf-16be,GNSS1,-1
utf-16be,GNSS2,-1
utf-16be,0.0200,-1
utf-16be,0.1750,-1
utf-16be,Antenna,-1
utf-16be,Fusion,-1
utf-16be,extrinsics,-1
utf-16be,右手,-1
utf-16be,融合,-1
utf-16be,天线,-1
