source_stage,method_id,native_yaw_column_exists,native_yaw_column,native_yaw_unit,native_yaw_frame,baseline_direction,can_convert_to_canonical_baseline_heading_NED,conversion_expression_to_baseline_heading_NED,can_apply_body_yaw_plus90,body_yaw_metric_valid_after_R2,invalid_reason_if_any,semantic_source,trace_used_online,receiver_imu_data_as_body_imu
PAPER3F,P3F_DD01_PAVLASEK_LC_IEKF_RELATIVE_BASELINE,True,baseline_heading_deg,degrees,NED_heading,GNSS1_to_GNSS2,True,"baseline_heading_deg (already atan2(E,N), degrees)",True,True,,"run_paper3f_backend_upgrade.py: heading = atan2(baseline_x_enu(E), baseline_y_enu(N))",False,False
PAPER3F,P3F_DD02_TEUNISSEN_QCILS_CLAMBDA_STYLE_GPS_L1,True,baseline_heading_deg,degrees,NED_heading,GNSS1_to_GNSS2,True,"baseline_heading_deg (already atan2(E,N), degrees)",True,True,,"run_paper3f_backend_upgrade.py: heading = atan2(baseline_x_enu(E), baseline_y_enu(N))",False,False
PAPER3F,P3F_DD03_LIU_CWLS_WRAPPED_GRID_GPS_L1,True,baseline_heading_deg,degrees,NED_heading,GNSS1_to_GNSS2,True,"baseline_heading_deg (already atan2(E,N), degrees)",True,True,,"run_paper3f_backend_upgrade.py: heading = atan2(baseline_x_enu(E), baseline_y_enu(N))",False,False
PAPER3F,P3F_DD04_YANG_LENGTH_CONSTRAINED_KF_GPS_L1,True,baseline_heading_deg,degrees,NED_heading,GNSS1_to_GNSS2,True,"baseline_heading_deg (already atan2(E,N), degrees)",True,True,,"run_paper3f_backend_upgrade.py: heading = atan2(baseline_x_enu(E), baseline_y_enu(N))",False,False
PAPER3F,P3F_DD05_WU_ROBUST_GNSS_INS_EQKF_REDUCED_DIAGNOSTIC,True,baseline_heading_deg,degrees,NED_heading,GNSS1_to_GNSS2,True,"baseline_heading_deg (already atan2(E,N), degrees)",True,True,,"run_paper3f_backend_upgrade.py: heading = atan2(baseline_x_enu(E), baseline_y_enu(N))",False,False
PAPER3F,P3F_DD06_RTKLIB_MOVING_BASELINE_EXTERNAL_DIAGNOSTIC,True,baseline_heading_deg,degrees,NED_heading,GNSS1_to_GNSS2,True,"baseline_heading_deg (already atan2(E,N), degrees)",True,True,,"run_paper3f_backend_upgrade.py: heading = atan2(baseline_x_enu(E), baseline_y_enu(N))",False,False
PAPER3G,G01_TEUNISSEN_STANDARD_LAMBDA_FLOAT_FIXED,True,baseline_heading_native_deg,degrees,NED_heading,GNSS1_to_GNSS2,True,"baseline_heading_native_deg (already atan2(E,N), degrees)",True,True,,"run_paper3g_lambda_ddprovider.py: heading = atan2(e,n)",False,False
PAPER3G,G02_TEUNISSEN_CLAMBDA_QCILS_BACKEND,True,baseline_heading_native_deg,degrees,NED_heading,GNSS1_to_GNSS2,True,"baseline_heading_native_deg (already atan2(E,N), degrees)",True,True,,"run_paper3g_lambda_ddprovider.py: heading = atan2(e,n)",False,False
PAPER3G,G03_LIU_CWLS_FULLER_WRAPPED_SEARCH,True,baseline_heading_native_deg,degrees,NED_heading,GNSS1_to_GNSS2,True,"baseline_heading_native_deg (already atan2(E,N), degrees)",True,True,,"run_paper3g_lambda_ddprovider.py: heading = atan2(e,n)",False,False
PAPER3G,G04_YANG_LENGTH_CONSTRAINED_KF_MLAMBDA,True,baseline_heading_native_deg,degrees,NED_heading,GNSS1_to_GNSS2,True,"baseline_heading_native_deg (already atan2(E,N), degrees)",True,True,,"run_paper3g_lambda_ddprovider.py: heading = atan2(e,n)",False,False
PAPER3G,G05_WU_PAR_ADOP_CONSTRAINED_AMBIGUITY_MODULE,True,baseline_heading_native_deg,degrees,NED_heading,GNSS1_to_GNSS2,True,"baseline_heading_native_deg (already atan2(E,N), degrees)",True,True,,"run_paper3g_lambda_ddprovider.py: heading = atan2(e,n)",False,False
PAPER3G,G06_PAVLASEK_TWO_RECEIVER_IEKF_MEASUREMENT_READY,True,baseline_heading_native_deg,degrees,NED_heading,GNSS1_to_GNSS2,True,"baseline_heading_native_deg (already atan2(E,N), degrees)",True,True,,"run_paper3g_lambda_ddprovider.py: heading = atan2(e,n)",False,False
PAPER3H,H01_TEUNISSEN_STANDARD_LAMBDA_HELPER,True,baseline_heading_native_deg,degrees,NED_heading,GNSS1_to_GNSS2,True,"baseline_heading_native_deg (already atan2(E,N), degrees)",True,True,,"run_paper3h_multignss_fourth_layer.py reuses/derives provider heading as atan2(e,n)",False,False
PAPER3H,H02_TEUNISSEN_CLAMBDA_SEARCH_SHRINK,True,baseline_heading_native_deg,degrees,NED_heading,GNSS1_to_GNSS2,True,"baseline_heading_native_deg (already atan2(E,N), degrees)",True,True,,"run_paper3h_multignss_fourth_layer.py reuses/derives provider heading as atan2(e,n)",False,False
PAPER3H,H03_LIU_CWLS_REFINED_SEARCH,True,baseline_heading_native_deg,degrees,NED_heading,GNSS1_to_GNSS2,True,"baseline_heading_native_deg (already atan2(E,N), degrees)",True,True,,"run_paper3h_multignss_fourth_layer.py reuses/derives provider heading as atan2(e,n)",False,False
PAPER3H,H04_YANG_KF_MLAMBDA_FULLER,True,baseline_heading_native_deg,degrees,NED_heading,GNSS1_to_GNSS2,True,"baseline_heading_native_deg (already atan2(E,N), degrees)",True,True,,"run_paper3h_multignss_fourth_layer.py reuses/derives provider heading as atan2(e,n)",False,False
PAPER3H,H05_WU_PAR_ADOP_EQKF_MODULE,True,baseline_heading_native_deg,degrees,NED_heading,GNSS1_to_GNSS2,True,"baseline_heading_native_deg (already atan2(E,N), degrees)",True,True,,"run_paper3h_multignss_fourth_layer.py reuses/derives provider heading as atan2(e,n)",False,False
PAPER3H,H06_PAVLASEK_FULL_IEKF_ATTEMPT,True,baseline_heading_native_deg,degrees,NED_heading,GNSS1_to_GNSS2,True,"baseline_heading_native_deg (already atan2(E,N), degrees)",True,True,,"run_paper3h_multignss_fourth_layer.py reuses/derives provider heading as atan2(e,n)",False,False
PAPER3I,P3I_WU_EQKF_NATIVE_DIAGNOSTIC,True,baseline_heading_native_deg,degrees,DDLOS_ROW_HEADING_NED_NOT_BASELINE_STATE,not_a_baseline_state_estimate,False,,False,False,P3I_WU_TABLE_IS_DDLOS_ROW_HEADING_DIAGNOSTIC_NOT_METHOD_BASELINE_STATE; no case-level epoch_output pointer,"run_paper3i...py computes atan2(los_diff_e, los_diff_n) for DDLOS rows",False,False
PAPER3I,P3I_PAVLASEK_IEKF_NATIVE_DIAGNOSTIC,False,,none,none,unknown,False,,False,False,P3I_PAVLASEK_REPORT_HAS_INNOVATION_DIAGNOSTICS_NO_BASELINE_HEADING_EPOCH_OUTPUT,PAVLASEK_IEKF_ROW_LEVEL.csv summary only,False,False
