file,exists,size_bytes,render_ok,dimensions
<PAPER4B_R2_WSL_RUNTIME_ROOT>/08_joined_tables_and_figures/BY2_body_yaw_recomputed_rmse_bar.png,True,200722,True,2198x750
<PAPER4B_R2_WSL_RUNTIME_ROOT>/08_joined_tables_and_figures/BY2_body_yaw_recomputed_rmse_bar.pdf,True,21824,True,
<PAPER4B_R2_WSL_RUNTIME_ROOT>/08_joined_tables_and_figures/BY2_body_yaw_recomputed_family_heatmap.png,True,221492,True,1596x896
<PAPER4B_R2_WSL_RUNTIME_ROOT>/08_joined_tables_and_figures/BY2_body_yaw_recomputed_family_heatmap.pdf,True,23890,True,
<PAPER4B_R2_WSL_RUNTIME_ROOT>/08_joined_tables_and_figures/BY2_body_yaw_recomputed_case_boxplot.png,True,85526,True,1111x896
<PAPER4B_R2_WSL_RUNTIME_ROOT>/08_joined_tables_and_figures/BY2_body_yaw_recomputed_case_boxplot.pdf,True,16594,True,
<PAPER4B_R2_WSL_RUNTIME_ROOT>/08_joined_tables_and_figures/frame_policy_before_after_dashboard.png,True,91081,True,1397x771
<PAPER4B_R2_WSL_RUNTIME_ROOT>/08_joined_tables_and_figures/frame_policy_before_after_dashboard.pdf,True,19385,True,
<PAPER4B_R2_WSL_RUNTIME_ROOT>/08_joined_tables_and_figures/yaw_reevaluation_coverage_dashboard.png,True,43043,True,1001x663
<PAPER4B_R2_WSL_RUNTIME_ROOT>/08_joined_tables_and_figures/yaw_reevaluation_coverage_dashboard.pdf,True,14044,True,
